	terstond/adv	inmiddels/adv	als/prep	na/prep	Rintje/name	Hakkinen/name	ermee/pp	in/adv	voor/comp	trio/noun	gisteren/adv	maar/adv	prompt/adj	ten/prep	deal/noun	Afrikaan/noun	namelijk/adv	alsnog/adv	atleet/noun	om/comp	stuk/noun	nummer/noun	al/adv	bij/adv	VS/name	echter/adv	vervolgens/adv	wegens/prep	die/det	Canadees/noun	zangeres/noun	Australië/name	zij/pron	deelnemer/noun	Kim/name	onderzoeker/noun	behoefte/noun	geenszins/adv	je/pron	jury/noun	stichting/noun	Spirit/name	definitief/adj	wereldkampioen/noun	daarna/adv	zwemmer/noun	veroorzaker/noun	1996/noun	Zuid-Koreaan/noun	Frankrijk/name	Donovan/name	Jon/name	Ferrari/name	kandidaat/noun	staatssecretaris/noun	erg/adj	Engeland/name	plaats/verb	laat/adj	bevolking_groep/noun	A_merk/noun	woensdag/noun	iedereen/pron	land_genoot/noun	's/adv	tegenstander/noun	ze/pron	toen/adv	genetisch/adj	niet/adv	nadat/comp	tijdens/prep	ploeg/noun	Thorpe/name	daarmee/pp	als/comp	omdat/comp	Durand/name	door/comp	toch/adv	echt/adj	Nederland/name	men/pron	nationaal-socialisme/noun	daarop/pp	impliciet/adj	haar/pron	gisteravond/adv	overdaad/noun	tijdperk/noun	Belg/noun	Martina/name	zich/pron	logischerwijze/adv	elftal/noun	meteen/adv	IOC/name	hiermee/pp	Joegoslavië/name	door/prep	luchtvaart_autoriteit/noun	mens/noun	donderdag/noun	Melkert/name	liberaal/noun	uiteraard/adv	misschien/adv	Carpenter/name	kinderloos/adj	Bauer/name	Jack/name	weinig/noun	coureur/noun	getuige/noun	winnaar/noun	auto/noun	daardoor/pp	NU/name	11/num	zaterdag/noun	automatisch/adj	bestuur_lid/noun	voor/prep	achteraf/pp	toen/comp	zondag/noun	Schumacher/name	hen/pron	hij/pron	kwartet/noun	Maij/name	Gordon/name	partij/noun	scheidsrechter/noun	Brussel/name	commissie/noun	Brit/noun	dag/noun	Marcus/name	opponent/noun	vanmorgen/adv	Italiaan/noun	rest/noun	renner/noun	management/noun	volgens/prep	aanvankelijk/adj	sector/noun	boek/noun	mensheid/noun	Deen/noun	Mexicaan/noun	voorlopig/adj	Libië/name	eerst/adv	Duitsland/name	gistermiddag/adv	Van/name	noodzakelijkerwijs/adv	zichzelf/pron	viertal/noun	twee/num	hem/pron	Tweede/name	Groenewold/name
terstond/adv	0.0	0.789123	0.8346851	0.8497872	0.82997984	0.8857519	0.8296888	0.9001015	0.78813267	0.8799256	0.7957291	0.88289255	0.66019416	0.90724194	0.8695104	0.8546214	0.8166123	0.7602937	0.8794467	0.7651317	0.8838916	0.91729707	0.87629247	0.8883816	0.88677466	0.8116919	0.7089112	0.82647586	0.7958205	0.831439	0.8947002	0.8902951	0.7444037	0.9108503	0.9172363	0.8678121	0.8591404	0.8317877	0.8212552	0.87525356	0.8861337	0.8971934	0.83274364	0.9274513	0.7684756	0.86676115	0.8802254	0.88987195	0.8590328	0.9053969	0.92535156	0.8929618	0.86772436	0.8761099	0.8741672	0.9082267	0.89308804	0.88326764	0.8829521	0.8634906	0.9259241	0.8890478	0.8031729	0.8905951	0.8724961	0.8847226	0.7538487	0.7900604	0.8565408	0.8440628	0.7624744	0.8607384	0.89864504	0.8956296	0.8184266	0.7910341	0.7626609	0.9223657	0.804343	0.8504241	0.83855474	0.8853538	0.81298697	0.87201834	0.7426102	0.83405495	0.7853992	0.81037104	0.8711451	0.88013643	0.8926146	0.91459376	0.81379	0.8800114	0.90439475	0.65111935	0.8293309	0.82888776	0.85130656	0.78421247	0.9097014	0.8336868	0.8804752	0.83431923	0.8746723	0.8601469	0.8901673	0.91736126	0.85728776	0.8902698	0.88494074	0.87946963	0.87096524	0.8298484	0.92584467	0.847883	0.84097064	0.893834	0.9582174	0.9300646	0.800659	0.8952039	0.8307213	0.8411058	0.78428954	0.93172497	0.89272577	0.78451425	0.75122166	0.86346096	0.84703916	0.89324486	0.8709879	0.8855097	0.9185662	0.8280605	0.85296595	0.8717724	0.8939101	0.86721957	0.824583	0.877593	0.8854779	0.89540714	0.8720075	0.83349717	0.8388152	0.91952515	0.8689947	0.84108484	0.8510245	0.8530237	0.8186107	0.8531155	0.797974	0.9148629	0.79634035	0.93905735	0.84747255	0.8387077	0.81528497	0.85010314	0.7749855	0.8700475	0.8627499
inmiddels/adv	0.789123	0.0	0.75290036	0.8009	0.8580853	0.8547059	0.8749488	0.6836082	0.7432512	0.8106583	0.6819195	0.8621718	0.70640385	0.78593826	0.7572466	0.7602666	0.73165214	0.71946216	0.7472792	0.8126165	0.79810005	0.7786865	0.6269828	0.8334883	0.81907266	0.7604566	0.7273129	0.74317336	0.8126734	0.78330415	0.7591178	0.8156074	0.7044068	0.7460925	0.8857224	0.7965272	0.87009734	0.81401217	0.88717115	0.8667994	0.75505614	0.89514905	0.778656	0.88059187	0.7760787	0.7966162	0.8463656	0.73534125	0.7979898	0.8178052	0.8891998	0.8220084	0.8006886	0.7943228	0.8540757	0.8946787	0.8065207	0.89511114	0.7712908	0.8036428	0.8505304	0.83940905	0.85296774	0.8122159	0.89709854	0.8840132	0.7684014	0.716066	0.8315891	0.84823376	0.6476517	0.87860936	0.86848485	0.8374057	0.7307308	0.8292839	0.7408886	0.87186396	0.8277767	0.85971326	0.86957777	0.7166018	0.8220716	0.8984672	0.74120295	0.7979179	0.8369938	0.73604757	0.8950882	0.83221805	0.78458583	0.88874847	0.8367571	0.90695614	0.86384237	0.7861096	0.79829764	0.73712754	0.78169304	0.7602192	0.8607979	0.72946036	0.8280078	0.8382975	0.8670224	0.85629356	0.88113636	0.8998095	0.7897868	0.810246	0.8284162	0.8575061	0.7674024	0.7979151	0.8841029	0.85829675	0.7666114	0.8793484	0.889729	0.9137167	0.8036005	0.79073805	0.83414906	0.8400329	0.76852465	0.92053914	0.85192204	0.79148877	0.73925024	0.79877996	0.8441145	0.80481344	0.83168894	0.8978002	0.8945041	0.7869959	0.74300444	0.7760869	0.827575	0.86719334	0.69204795	0.8143282	0.8616999	0.76008004	0.76867616	0.7128414	0.7366288	0.80853003	0.80897355	0.8500617	0.7975732	0.7982316	0.7453114	0.7508842	0.8039455	0.7966659	0.6899191	0.91022587	0.86768216	0.85652804	0.77252346	0.78355813	0.80772966	0.8417434	0.87300956
als/prep	0.8346851	0.75290036	0.0	0.88822263	0.82874	0.8646104	0.8785824	0.9012643	0.85914946	0.85589516	0.8246891	0.8954824	0.80189025	0.8631215	0.83320373	0.78843987	0.75620663	0.8359573	0.8220604	0.8109529	0.86535	0.8592307	0.8850755	0.8738586	0.82015085	0.8328132	0.8400388	0.8665246	0.7960657	0.7978528	0.78327024	0.8172958	0.7652799	0.8804075	0.85367835	0.83162934	0.8316495	0.77949005	0.85716265	0.7900372	0.83210737	0.85158783	0.8755179	0.8080653	0.8923847	0.83292305	0.87133086	0.8243748	0.84922034	0.84781176	0.85634303	0.75463045	0.82132185	0.75000674	0.8774988	0.8626805	0.8030951	0.8649688	0.9026173	0.80501074	0.8605287	0.9278686	0.881016	0.81107616	0.9450329	0.82091117	0.854443	0.83219314	0.8244667	0.8698336	0.8074833	0.88020486	0.8270011	0.8175861	0.79725754	0.79558456	0.7997019	0.88929874	0.82212925	0.8580762	0.7665169	0.79642254	0.84817415	0.8628211	0.85778534	0.7592992	0.842358	0.81964487	0.80166614	0.76656014	0.8254098	0.8580095	0.79399043	0.87184906	0.7996154	0.8311741	0.81413776	0.7933197	0.81938416	0.7552123	0.91954404	0.8597662	0.9282948	0.7676941	0.80151665	0.7908663	0.8318459	0.86604685	0.8258962	0.79333824	0.7492043	0.8259328	0.79277694	0.8290883	0.81896913	0.9157434	0.84139305	0.87071794	0.96996695	0.93295395	0.8320492	0.7654729	0.7275425	0.8447681	0.8339192	0.9282882	0.8289293	0.8437142	0.76720834	0.77179545	0.8493246	0.74914944	0.81441796	0.8552092	0.9136386	0.8285817	0.8142079	0.94050705	0.7851401	0.79866076	0.86878276	0.8013843	0.8912874	0.8472723	0.7904652	0.7630448	0.798143	0.83381563	0.81106365	0.7805266	0.7996166	0.8539122	0.8472459	0.8099332	0.87131596	0.8363832	0.8337017	0.8783894	0.80593765	0.73156047	0.79002523	0.81440246	0.8170606	0.8930762	0.8486161
na/prep	0.8497872	0.8009	0.88822263	0.0	0.853662	0.8039846	0.9377855	0.8685121	0.73778313	0.8578842	0.71930814	0.8895087	0.7357335	0.8330252	0.88984656	0.8438183	0.9087483	0.6901995	0.8196263	0.88794076	0.9014492	0.8442317	0.711253	0.8553512	0.8616828	0.81688154	0.7888598	0.68985206	0.8144592	0.80600446	0.90257835	0.79515684	0.8864982	0.8058387	0.83447963	0.92366314	0.94528043	0.83059084	0.933824	0.90622187	0.93123555	0.9228826	0.73825675	0.80381846	0.66817856	0.8200242	0.85442734	0.7371801	0.8008051	0.8300996	0.860248	0.8486433	0.8087615	0.8448622	0.9319139	0.90679914	0.76854527	0.8531127	0.54204977	0.8890983	0.93690574	0.7608213	0.92542464	0.8187883	0.8070237	0.77466714	0.88350207	0.73819345	0.9098954	0.94426423	0.5241199	0.5187942	0.689095	0.8226402	0.8447814	0.86804175	0.8371577	0.86263525	0.8559292	0.85761994	0.8929444	0.85716516	0.93319654	0.89628893	0.7539186	0.8673633	0.90668386	0.65019405	0.89604783	0.8712797	0.82366675	0.827242	0.91933876	0.8486339	0.7619549	0.6693951	0.84768593	0.8793269	0.80498195	0.7626569	0.89072084	0.90106815	0.7733875	0.83246005	0.8927683	0.87560284	0.9194081	0.9163523	0.87096894	0.8695782	0.9112601	0.86988646	0.7910631	0.80003977	0.77243286	0.87620056	0.83132637	0.9244544	0.85442543	0.7651944	0.8516499	0.8666239	0.7485917	0.8354306	0.62383485	0.758081	0.7752648	0.90851444	0.78147	0.8205875	0.89726967	0.90310156	0.83279616	0.7373093	0.88715017	0.87726694	0.83829236	0.6696363	0.85165185	0.7570019	0.7635143	0.78869724	0.9076667	0.75989175	0.8865404	0.9240749	0.8172165	0.91686773	0.910346	0.9062645	0.7749659	0.84277815	0.8204381	0.8289113	0.80946565	0.81855166	0.6698512	0.8827385	0.92517555	0.9337052	0.7380643	0.6731764	0.89588445	0.8491105	0.81351286
Rintje/name	0.82997984	0.8580853	0.82874	0.853662	0.0	0.7962596	0.83647907	0.9166587	0.81630445	0.8823638	0.8916629	0.797063	0.783926	0.9307387	0.90806407	0.82698035	0.846421	0.83553654	0.7790745	0.8512055	0.880166	0.874448	0.8289695	0.86262316	0.93243617	0.866081	0.78043944	0.92135656	0.7994142	0.7851642	0.8527615	0.85384095	0.8096095	0.8659308	0.8167995	0.9114877	0.9121159	0.84859496	0.7165946	0.88073105	0.90519565	0.90981376	0.8559313	0.7802265	0.7824421	0.7714473	0.90686715	0.85812855	0.820392	0.8939047	0.85695386	0.8231648	0.7879642	0.87557834	0.91469365	0.8420841	0.88096803	0.8945559	0.85612506	0.9104698	0.9014586	0.91433704	0.7553078	0.7851796	0.8491646	0.85543597	0.69080245	0.77020496	0.9229852	0.81865126	0.8552833	0.8530853	0.83109045	0.7322525	0.86196434	0.7272436	0.849697	0.88096243	0.83504707	0.7743589	0.74585164	0.8940527	0.8291001	0.9212985	0.8404462	0.9102799	0.7634047	0.8584937	0.87846357	0.90517634	0.84406024	0.84452045	0.8443136	0.91114855	0.8361507	0.7785976	0.86216754	0.89272404	0.9157623	0.85130775	0.9374971	0.84683263	0.91516894	0.81836504	0.90590084	0.80705255	0.8175908	0.89675426	0.8863409	0.7909505	0.8438957	0.86392254	0.77833	0.89681154	0.82423407	0.87897897	0.8745993	0.90721816	0.9264554	0.8870748	0.8745531	0.8742187	0.86185974	0.81290317	0.8018062	0.8768593	0.76600724	0.8316071	0.7251469	0.8118532	0.84687716	0.83363664	0.91596395	0.85736024	0.9291544	0.91733086	0.8510824	0.8669919	0.8279941	0.82581484	0.88070554	0.7785343	0.8873571	0.81514156	0.9036469	0.9215104	0.852624	0.9282983	0.88854885	0.8899239	0.78823286	0.86603385	0.8777582	0.9030347	0.82248324	0.90697914	0.84586513	0.8944813	0.91910666	0.86525905	0.8243617	0.8368899	0.7760522	0.9346751	0.66609645
Hakkinen/name	0.8857519	0.8547059	0.8646104	0.8039846	0.7962596	0.0	0.90643805	0.88189876	0.86859995	0.87081474	0.8651009	0.8779057	0.8029746	0.9036102	0.90101933	0.84977984	0.86733836	0.78745306	0.7948692	0.84342027	0.8899662	0.80214345	0.82390875	0.87491924	0.8621863	0.8267548	0.8265772	0.91264904	0.82939976	0.7683969	0.8617933	0.79765886	0.8102854	0.81466395	0.7927629	0.9280107	0.92373544	0.87282866	0.8425939	0.88897246	0.93430775	0.8964728	0.8400672	0.70852804	0.82600695	0.80304015	0.9103517	0.84029645	0.8428265	0.83705294	0.85093576	0.8271161	0.57774866	0.86811036	0.9485865	0.8893875	0.84235907	0.8826897	0.8136834	0.91587055	0.90844387	0.9255316	0.85129625	0.7177266	0.9042121	0.8202762	0.79483426	0.81550694	0.93027484	0.86429656	0.82193017	0.88095355	0.79239106	0.76054746	0.80137885	0.8487797	0.8645125	0.75604886	0.82672405	0.83350486	0.859449	0.87798744	0.8412188	0.9237705	0.8718011	0.90187055	0.85274094	0.859247	0.8989187	0.89790416	0.7834388	0.769012	0.8911825	0.8897099	0.84969544	0.78582925	0.88823533	0.8535526	0.87816006	0.8597213	0.92518795	0.89744556	0.91563356	0.86338687	0.88886076	0.832126	0.8769338	0.881781	0.8912443	0.826646	0.8909202	0.89624286	0.654197	0.90680826	0.7981436	0.8466398	0.8279921	0.912595	0.8249179	0.8875306	0.8646237	0.92230827	0.86605185	0.85395825	0.80458045	0.8686504	0.41317254	0.86927533	0.7458449	0.830909	0.8829763	0.85259223	0.8804201	0.89910674	0.9430313	0.9381301	0.800641	0.8528616	0.7724166	0.80593663	0.89543015	0.70812863	0.8945578	0.73090625	0.89975685	0.9419749	0.8613465	0.9187288	0.91559404	0.8757076	0.77696735	0.8612025	0.8643158	0.8792218	0.85717285	0.8335846	0.8447609	0.8786219	0.91207635	0.85766304	0.79821646	0.8307924	0.83136153	0.9285582	0.73810136
ermee/pp	0.8296888	0.8749488	0.8785824	0.9377855	0.83647907	0.90643805	0.0	0.91183704	0.7918608	0.9172487	0.859681	0.793327	0.8150893	0.95061255	0.85195565	0.87428844	0.83767873	0.8091396	0.9145891	0.78023875	0.92264074	0.95763427	0.8560954	0.9226256	0.9234069	0.83846027	0.7408382	0.9230041	0.83589125	0.9108195	0.93514097	0.91901475	0.7308141	0.95037866	0.9546799	0.91306674	0.90231353	0.8477963	0.706002	0.9247354	0.90719163	0.90468633	0.8344269	0.93787664	0.75765145	0.9096531	0.93031186	0.90573406	0.9159798	0.92732316	0.9504652	0.9315296	0.9050441	0.91750854	0.9278311	0.90653074	0.92247033	0.94492245	0.92196715	0.90541005	0.9338641	0.92251873	0.7643714	0.9200938	0.8561948	0.9134717	0.6519104	0.7836094	0.9047191	0.78321075	0.84470034	0.9333768	0.9500644	0.91932774	0.6410897	0.7444614	0.8309116	0.9409728	0.7993976	0.80873984	0.80937386	0.9158628	0.7600645	0.890736	0.82576346	0.84332055	0.76623243	0.8698635	0.89479554	0.89223975	0.9175172	0.93676347	0.7952621	0.8935192	0.94062495	0.76677966	0.8761378	0.63996375	0.89871895	0.87079823	0.88464403	0.82386434	0.9127829	0.87890714	0.8607257	0.86616075	0.84897745	0.9506904	0.90147084	0.9268991	0.9261696	0.89225954	0.88962954	0.90705884	0.95827687	0.84534645	0.88051903	0.9010198	0.98478633	0.9606663	0.8478901	0.92294264	0.9170715	0.8551078	0.8176261	0.95167124	0.9357585	0.76432073	0.7132424	0.89785576	0.8923846	0.92927104	0.8596744	0.91365397	0.91825014	0.8851036	0.90922874	0.8848349	0.9474692	0.8860439	0.881236	0.916404	0.89032084	0.9027444	0.88608557	0.8795057	0.84331703	0.935887	0.92732775	0.8636153	0.8977941	0.9070626	0.8621287	0.88330317	0.7617103	0.93125254	0.8743992	0.9577164	0.85820186	0.816677	0.86613566	0.8940047	0.7714093	0.8858834	0.91730535
in/adv	0.9001015	0.6836082	0.9012643	0.8685121	0.9166587	0.88189876	0.91183704	0.0	0.883087	0.879882	0.9039944	0.82156354	0.86857486	0.79048306	0.86343956	0.7942091	0.8296576	0.88961434	0.76143515	0.8912898	0.77310896	0.76266074	0.78789604	0.9096207	0.9382884	0.8991156	0.8725395	0.8640326	0.8610666	0.8563775	0.8742122	0.92185485	0.8311311	0.61249554	0.9294957	0.9139422	0.9180051	0.89333665	0.8535731	0.91172594	0.87922657	0.929495	0.9247545	0.91421795	0.9049246	0.8127053	0.91943383	0.86681855	0.84793866	0.9358667	0.90962243	0.88474894	0.89650667	0.8116718	0.9614358	0.94133264	0.9284624	0.9164945	0.8663601	0.88575596	0.91527164	0.9324943	0.89160943	0.9018304	0.900744	0.9443063	0.8531389	0.8444612	0.9022782	0.8805425	0.85089254	0.9265077	0.9141593	0.87904197	0.83864564	0.8793676	0.84691447	0.8720896	0.89068216	0.8883758	0.8892885	0.85107785	0.8685797	0.90707684	0.8894395	0.8774043	0.9126193	0.8972349	0.9157626	0.9018031	0.79550666	0.9089782	0.88403	0.91316843	0.9473622	0.8873594	0.9079159	0.8532446	0.90196264	0.88670576	0.94260716	0.67586803	0.9281991	0.9209268	0.91641724	0.8876686	0.9105084	0.94883454	0.8983288	0.8986507	0.9395299	0.89922947	0.85426253	0.87113214	0.8932848	0.86108184	0.8649782	0.9132171	0.7499212	0.92958075	0.85564244	0.9131962	0.81155485	0.9060725	0.85554504	0.9329599	0.8875828	0.8585061	0.8681458	0.91061974	0.9234665	0.9093048	0.8944262	0.9247895	0.9215453	0.9324964	0.83006644	0.7464817	0.8996615	0.93393815	0.89324284	0.88173395	0.9036948	0.7485362	0.89659	0.90054226	0.8843685	0.89085233	0.89820445	0.9071069	0.87125045	0.83072996	0.8839866	0.8650366	0.91635454	0.91607565	0.8515663	0.9296738	0.9107844	0.8844137	0.8573321	0.7791078	0.90417564	0.95271295	0.9145185
voor/comp	0.78813267	0.7432512	0.85914946	0.73778313	0.81630445	0.86859995	0.7918608	0.883087	0.0	0.8988967	0.8294578	0.7537439	0.73610556	0.92726445	0.86316586	0.8358599	0.7934346	0.7197533	0.8681456	0.69098294	0.85058475	0.90584826	0.6834298	0.8662385	0.90804315	0.78119916	0.5997218	0.8419783	0.77588886	0.8575295	0.8931856	0.88505584	0.7280824	0.8993169	0.93256587	0.9008133	0.8896856	0.8417809	0.70796204	0.8809419	0.92673254	0.8962669	0.71675986	0.920774	0.5172209	0.8536906	0.91116405	0.81829923	0.8547375	0.9102399	0.9251219	0.8890345	0.8709694	0.87198514	0.9337342	0.90052295	0.87936497	0.8984168	0.6755974	0.9109291	0.9262369	0.86849105	0.76682925	0.91105527	0.7292659	0.88333845	0.62300646	0.630684	0.8813119	0.7543005	0.64293724	0.83044887	0.88461983	0.87446254	0.8384595	0.59147316	0.7337464	0.91898847	0.76868504	0.7372756	0.78016645	0.8938229	0.75289685	0.89012605	0.732038	0.86419326	0.767869	0.8213935	0.8864837	0.8752458	0.8799872	0.91271436	0.8689611	0.8828102	0.9006412	0.6571721	0.86356044	0.8482497	0.89264715	0.82928056	0.88069606	0.7943147	0.8533709	0.8725709	0.9141717	0.83917755	0.77920127	0.92609566	0.87838006	0.87302494	0.91448724	0.8521184	0.83376616	0.843973	0.9257392	0.7979998	0.81535864	0.9266201	0.965676	0.90717155	0.7808508	0.9330599	0.8034394	0.80363977	0.58524156	0.90173507	0.8884912	0.77934	0.65852344	0.8740432	0.8905365	0.90368384	0.9021677	0.90463746	0.91940063	0.87768483	0.86518335	0.73005927	0.92524916	0.8560505	0.84640944	0.8877241	0.8677073	0.83220184	0.8962357	0.9000448	0.84959733	0.922184	0.88780457	0.8602662	0.8543605	0.85169005	0.7696199	0.8395058	0.5879872	0.9218578	0.7958239	0.9777206	0.87706363	0.84780693	0.77674675	0.7777488	0.76953113	0.9018537	0.88207567
trio/noun	0.8799256	0.8106583	0.85589516	0.8578842	0.8823638	0.87081474	0.9172487	0.879882	0.8988967	0.0	0.8477687	0.95756584	0.8218024	0.91275126	0.8966317	0.85903096	0.9028528	0.862998	0.7771971	0.92071056	0.8805535	0.7543782	0.89113986	0.91180015	0.9005796	0.9033313	0.844477	0.86661255	0.9095887	0.7465013	0.66010785	0.8751385	0.8346109	0.7956171	0.7993643	0.8825851	0.95279086	0.8768036	0.93856055	0.85313416	0.9165009	0.8404852	0.90802103	0.83572096	0.8418703	0.8296701	0.9418881	0.8448721	0.88688695	0.9007617	0.84827846	0.7542841	0.8399012	0.89256215	0.9468417	0.9329595	0.87961507	0.9196596	0.8698205	0.90667725	0.94979024	0.85430783	0.9373837	0.74701345	0.9266256	0.8557582	0.83892405	0.8643533	0.93747675	0.94074374	0.8211651	0.85470307	0.7838938	0.8444249	0.91743153	0.9346658	0.8928214	0.82121766	0.8767172	0.9281196	0.9172058	0.9136493	0.92513394	0.9307092	0.85284734	0.9176019	0.865129	0.8278969	0.89467084	0.88937443	0.8077237	0.86610174	0.9017035	0.90778255	0.8202921	0.83310413	0.9093454	0.92013466	0.90952855	0.79957247	0.9377033	0.91147447	0.8600066	0.9202973	0.89496493	0.89416337	0.9501945	0.89769334	0.89514804	0.79987323	0.7880525	0.879515	0.7956569	0.8107144	0.83714664	0.8482429	0.9003283	0.91186047	0.85772204	0.84384906	0.8913129	0.85564953	0.90038097	0.9108799	0.83617735	0.85251987	0.82934195	0.83903486	0.8258404	0.5597435	0.93989134	0.7888512	0.8975616	0.837052	0.8825895	0.91532636	0.7946191	0.8981206	0.7920379	0.7988329	0.9137622	0.82914996	0.9223444	0.75153774	0.89071465	0.9045167	0.8806722	0.94466835	0.8931686	0.9244308	0.78660107	0.8671206	0.9000454	0.89965284	0.9158107	0.9183719	0.8175598	0.7794089	0.91216874	0.91060877	0.5859649	0.75863904	0.86010766	0.9650301	0.89798915
