	hersencellen/noun	deur/noun	morgen/adv	inmiddels/adv	waas/noun	hoofd/noun	vilt/noun	nevel/noun	pantalon/noun	kuif/noun	blok/noun	Flandria/noun	gewaad/noun	klei/noun	alles/noun	kort/adj	natuur_steen/noun	bastion/noun	brij/noun	bak/noun	muis_DIM/noun	lul/noun	omlijsting/noun	poes_DIM/noun	regenjas/noun	sok/noun	poeder/noun	gans/noun	krul/noun	lucht/noun	water/noun	stad/noun	massa/noun	zak/noun	druk/noun	vloer/noun	outfit/noun	klinker/noun	tand/noun	zo/adv	wolf/noun	figuur/noun	hoed/noun	kimono/noun	aluminium/noun	pruik/noun	zeehond/noun	schemer_zone/noun	gevel/noun	tovenaar/noun	haar_kleur/noun	krijt_streep/noun	imago/noun	steen/noun	erg/adj	kapsel/noun	overweeg/adj	zoveelste/num	uiterst/adj	vest/noun	schelp/noun	plastic/noun	schakering/noun	jas/noun	veelal/adv	man/noun	hout/noun	vlucht_wagen/noun	pak/noun	werkelijkheid/noun	brood/noun	heer/noun	dun/adj	midden/noun	rot/noun	voorstad/noun	lok/noun	golf/noun	bestaan/noun	haar/noun	haar/pron	vooruitblik/noun	ambtenaar/noun	garnaal/noun	marmer/noun	tint/noun	te/adv	brommer/noun	even/adv	doek/noun	robot/noun	doos/noun	handel/noun	straat/noun	rookwolk/noun	kubus/noun	licht/noun	gebied/noun	muis/noun	middenmoot/noun	graniet/noun	vuilniszak/noun	hemel/noun	monster/noun	raam/noun	dag/noun	seizoen/noun	verleden/noun	kous/noun	vaak/adj	wolk/noun	zone/noun	sanitair/noun	wat/adv	blad/noun	achtergrond/noun	mist/noun	start/noun	rok_DIM/noun	baard/noun	tapijt/noun	beton/noun	nauwelijks/adv	wolkendek/noun	baard_DIM/noun	glans/adj	rook_gordijn/noun	panter/noun
hersencellen/noun	0.0	0.9890314	1.0	0.857862	0.9308981	0.92000246	0.99205625	0.9375709	0.9586794	0.89170504	0.93236035	1.0	0.9835944	0.96299154	1.0	1.0	0.9655113	0.9633716	0.9523285	0.89072746	0.7936934	0.9326186	1.0	0.7292875	0.9436139	0.8843854	0.9584981	0.84864044	0.9307314	0.9275091	0.9343908	0.9530307	0.9126979	0.9197715	0.7874598	0.9166074	0.9312292	0.9408019	0.9508596	0.9664708	0.92960894	0.9366945	0.8790414	0.9460986	0.9513639	0.93790275	0.97961295	0.92577285	0.95889914	0.9473902	1.0	0.8941018	0.98143685	0.96146137	1.0	0.93623775	0.9832182	0.9036269	0.99686515	0.8650276	0.9361294	0.9647437	0.8736488	0.9340285	0.93843615	0.8871994	0.9659937	1.0	0.86128193	1.0	0.8966966	0.925411	0.9390104	0.7884325	0.932461	0.9320849	0.927605	0.9516459	0.95294636	0.8987905	0.9690736	0.91444933	1.0	0.9617224	0.9486957	0.9375484	0.84250134	1.0	0.98217267	0.90110034	0.9923612	0.832822	1.0	0.9164927	0.9988671	0.9223043	0.69878554	0.97945166	0.2469415	1.0	0.9539303	0.9460202	0.93717587	0.9451265	0.9323665	1.0	1.0	1.0	0.9587849	0.9949875	0.91030645	0.9743461	0.94808966	1.0	0.7121821	0.9757029	0.9637642	0.99983954	0.88363105	0.9509671	0.94266236	0.97913355	0.9834351	0.9532477	0.9503185	0.9024242	1.0	0.99291605
deur/noun	0.9890314	0.0	0.8474059	0.81889135	0.8814613	0.833485	0.7958228	0.95287913	0.9315734	0.9912655	0.7267889	0.7850746	0.94921684	0.8408036	0.86426234	0.98412734	0.66045177	0.947136	0.8318501	0.73907256	0.91914195	0.8587026	0.43917596	0.8366908	0.81081957	0.89007074	0.87173456	0.8226387	0.8556774	0.8014183	0.83406985	0.9361977	0.78172374	0.77839166	0.98604363	0.47134984	0.9259844	0.86378145	0.96483755	0.9656627	0.92194307	0.8413498	0.8972088	0.92356104	0.42083472	0.9297316	0.8777654	0.99004364	0.32365388	0.94501156	0.98972976	0.8462516	0.9680426	0.5827004	1.0	0.9660097	0.9088323	0.8069296	0.8847692	0.9263481	0.8178888	0.5228759	0.98989874	0.8671657	0.86086226	0.9089371	0.596355	0.9567127	0.8546356	0.850516	0.9457497	0.9513062	0.8403075	0.7402861	0.7407598	0.9927045	0.97911733	0.9097814	0.97585225	0.91940075	0.90186733	0.9991588	0.98765624	0.86812925	0.6481676	0.8588413	0.93247247	0.7825639	0.73153335	0.6158112	0.96489125	0.6203114	0.8156582	0.67069125	0.8315495	0.5591975	0.67272604	0.9508319	0.9360726	1.0	0.7098299	0.5899347	0.8555627	0.92948437	0.2923149	0.96022457	0.99895006	0.9912674	0.9045043	0.9099435	0.93639034	0.98796	0.5357535	0.9602824	0.8675815	0.92965287	0.9421985	0.9164218	0.9153669	0.9795267	0.6391684	0.6202663	0.94886047	0.99313265	0.97099555	0.6718993	0.9413697	0.793319
morgen/adv	1.0	0.8474059	0.0	0.9200843	0.54646885	0.7350793	0.97989726	0.45685434	1.0	0.98104817	0.99080485	1.0	0.89064234	0.8553432	0.8829198	1.0	0.9263247	0.77179027	0.6751796	0.9444948	0.9280968	0.92436594	0.90012217	0.95016706	0.99377626	0.986541	0.8110714	0.90586036	0.9168182	0.7043087	0.7338252	0.738219	0.8241956	0.9597304	0.97406113	0.9236932	0.924991	0.9862646	0.9931111	0.99842936	0.9010705	0.8981782	0.96516585	0.9707395	0.92004037	0.93446636	0.8667437	1.0	0.8795805	0.96037596	1.0	0.9944147	0.9994647	0.85693216	0.85392135	0.9149983	0.47402585	0.98780346	0.74016905	0.9881716	0.91201365	0.94006217	1.0	0.95924515	0.6874851	0.89755005	0.9196764	0.901353	0.879927	0.9101148	0.9567974	0.8440295	0.64617956	0.96345544	0.9723215	0.7392522	1.0	0.7785843	0.8261727	0.9368341	0.9788363	0.9108079	0.84723115	0.9400069	0.99998343	0.69900805	0.999931	1.0	0.6742247	0.7154767	0.99546236	0.9638804	0.9146887	0.97736317	0.7355445	0.9625783	0.5835075	0.7198906	0.9945887	0.87449193	0.87233436	0.95288014	0.51610124	0.96322536	0.8143658	0.38367194	0.65772176	0.90287995	1.0	0.7033307	0.41571212	0.7856724	0.9657922	0.845339	0.97302735	0.63233244	0.40250796	0.6197555	0.9874633	0.92772394	0.8149624	0.9386057	0.78429097	0.44830823	0.9766315	0.94585836	0.7230802	0.9800401
inmiddels/adv	0.857862	0.81889135	0.9200843	0.0	0.7170383	0.82995486	0.99006194	0.82483435	0.96018034	0.80041146	0.8470869	1.0	0.8947699	0.9272874	0.73150676	0.92452526	0.94417536	0.8510508	0.94071007	0.8631613	0.9660252	0.84237826	0.965775	0.8438435	0.9119702	0.898622	0.93602955	0.91300035	0.86852586	0.7113364	0.82445145	0.89076394	0.93017304	0.86915857	0.7901865	0.92393994	0.96008456	0.9897932	0.7849053	0.9357132	0.65839124	0.6808462	0.79613423	0.9775348	0.8273735	0.89733934	0.8525731	0.9031215	0.69050324	0.9588573	0.9403802	0.8530774	0.83141214	0.96037406	0.9919904	0.86528486	0.85433304	0.777648	0.942368	0.9536809	0.9599595	0.77088106	0.87487024	0.90692604	0.79132503	0.93067825	0.7644473	0.99692243	0.7884463	0.77943045	0.91041964	0.81261075	0.80263764	0.60731244	0.7041919	0.9776313	0.852931	0.9096039	0.88148606	0.8546057	0.8875053	0.9112717	0.7110505	0.75002617	0.96307266	0.9217194	0.94035995	0.9260541	0.88228893	0.93220145	0.9897517	0.8326992	0.9406372	0.983527	0.9682976	0.7230197	0.7711962	0.73600376	0.8301684	0.8377917	0.96768004	0.93930316	0.83955586	0.87588507	0.7530848	0.97866917	0.9031832	0.8997618	0.97390574	0.7874248	0.9249672	0.9097287	0.9570184	0.81579214	0.8126823	0.99032307	0.86684746	0.92728645	0.8451426	0.87284863	0.9393358	0.95131177	0.896821	0.9990733	0.8678487	0.7793293	0.99075055	0.66600966
waas/noun	0.9308981	0.8814613	0.54646885	0.7170383	0.0	0.75979286	0.94158965	0.39683282	0.8840268	0.7274018	0.96136767	1.0	0.798934	0.8135673	0.46364468	0.9249644	0.98067534	0.9194477	0.7933335	0.7855845	0.9490654	0.76371163	0.8671843	0.97693807	0.8297864	0.8676583	0.69885063	0.78706205	0.7632346	0.5570657	0.61542165	0.8849943	0.7698482	0.75882536	0.94032836	0.8730136	0.90385056	0.92496264	0.9065769	0.8268114	0.9048483	0.85255796	0.8603993	0.87296253	0.7957144	0.85322505	0.8925163	0.87590593	0.9022864	0.9239057	0.9498077	0.81950974	0.95121765	0.7858423	0.73179483	0.83298993	0.6892357	0.9909448	0.8407362	0.88280815	0.9041343	0.6621912	0.7738712	0.84583557	0.87984693	0.8741685	0.8281343	0.9119646	0.7033168	0.76639694	0.7780838	0.7763337	0.54557836	0.8970933	0.9197685	0.9643453	0.8706075	0.7577086	0.8364631	0.8223672	0.8858572	0.9825388	0.9627392	0.91365737	0.8677341	0.6671897	0.8341491	0.9223634	0.7576827	0.8128068	0.9537873	0.84842515	0.87341624	0.9191074	0.6937897	0.8308117	0.39493316	0.84802854	0.9711674	0.99841744	0.7734883	0.8042496	0.62821233	0.81528705	0.74839854	0.825901	0.84997123	0.71173775	0.9089771	0.58872277	0.38383055	0.97489965	0.8853353	0.75920856	0.92380077	0.79908776	0.3026752	0.73059976	0.88175064	0.8512421	0.76638275	0.83795774	0.809941	0.73474103	0.83952475	0.81906766	0.7410892	0.9864752
hoofd/noun	0.92000246	0.833485	0.7350793	0.82995486	0.75979286	0.0	0.57168937	0.6984602	0.7805886	0.51098305	0.7766541	1.0	0.5023966	0.6791009	0.9200506	0.61789066	0.77891177	0.93756604	0.7078159	0.74942994	0.96991646	0.78857696	0.750071	0.9288522	0.55692244	0.5174594	0.5489998	0.8642783	0.40748078	0.62934256	0.6941253	0.8930128	0.7105419	0.63406813	0.8998775	0.74607825	0.4373961	0.8788947	0.62340003	0.9514967	0.8767686	0.5786027	0.4183954	0.7168031	0.8651622	0.40334713	0.9598808	0.9902533	0.7486663	0.69996357	0.41539156	0.8768164	0.98223656	0.62590706	0.9088666	0.42901438	0.69537306	0.70654523	0.9429611	0.5688455	0.6397613	0.65380144	0.6982653	0.35306042	0.78760386	0.50029254	0.7259236	0.76954275	0.34381878	0.8697856	0.7623806	0.57588863	0.49318498	0.67905897	0.97514325	0.9706375	0.4103669	0.6066525	0.95541584	0.45801097	0.43221265	1.0	0.93962455	0.8359009	0.8231075	0.5990824	0.8660319	0.74014676	0.7132375	0.635559	0.9000386	0.6658039	0.9494562	0.7212608	0.8050585	0.87256	0.69365597	0.9278791	0.78512	0.99979985	0.7816271	0.68097186	0.68261147	0.77616084	0.73198783	0.75759923	0.9542098	0.9443529	0.52175087	0.8265463	0.654757	0.92228925	0.867605	0.63891214	0.81297815	0.7370873	0.7481146	0.9431629	0.57830715	0.3404544	0.7597078	0.7887074	0.7915873	0.71978694	0.61178994	0.575663	0.8643285	0.93119735
vilt/noun	0.99205625	0.7958228	0.97989726	0.99006194	0.94158965	0.57168937	0.0	0.9412844	0.5664408	0.7155218	0.62673664	1.0	0.7124888	0.56752276	0.87791145	0.84273946	0.68909186	0.8536607	0.6870469	0.74903417	0.9899985	0.90415597	0.9342485	0.96930546	0.5268038	0.5134471	0.7020295	0.99419343	0.54783785	0.8293041	0.7662577	0.9788406	0.66733193	0.69370204	0.92179435	0.7179181	0.5583426	0.6929893	0.79831696	0.87917316	0.9245213	0.69806516	0.4799912	0.8239074	0.6654998	0.5841111	0.92376745	0.9039477	0.8089261	0.81263685	0.563127	0.93960774	0.9249387	0.6314584	0.80959475	0.6757318	0.7706082	0.85866797	0.8071924	0.5017238	0.70185053	0.5989044	1.0	0.5005709	0.8551624	0.66571903	0.6709157	0.81223726	0.48571414	0.79771334	0.9139637	0.694258	0.6595906	0.7426309	0.90026736	1.0	0.7139222	0.98769677	0.98214525	0.62676084	0.68090475	1.0	0.9925484	0.9337629	0.6291014	0.77841395	0.79194295	0.8715417	0.86118245	0.67176235	0.85178375	0.6943072	0.77291584	0.82870454	0.9962556	0.784107	0.92485315	0.92793655	0.84011716	1.0	0.7134763	0.92635715	0.86827403	0.7941032	0.77252996	0.9994588	0.9972173	0.8390569	0.5540006	0.90071505	0.8776681	0.957327	0.8533136	0.72912294	0.8705061	0.77000725	0.85374177	1.0	0.46364158	0.5855095	0.6624768	0.6736281	0.9186014	0.8746167	0.65732306	0.5850163	0.98022354	0.9378773
nevel/noun	0.9375709	0.95287913	0.45685434	0.82483435	0.39683282	0.6984602	0.9412844	0.0	0.9385538	0.7380403	0.91853815	0.99591905	0.68669564	0.7799544	0.7553565	0.9088071	0.87605584	0.84933996	0.6981402	0.91210806	0.8350172	0.88508666	0.92240644	0.8805469	0.922431	0.87199885	0.7263295	0.7395934	0.8075086	0.56115484	0.56000316	0.8571025	0.7288686	0.82533264	0.9197179	0.77740264	0.9255165	0.90572596	0.93302953	0.91709715	0.8192103	0.76843065	0.903645	0.91125286	0.8772111	0.7256885	0.8494667	0.9460835	0.8587406	0.8506253	1.0	0.9753571	0.97057396	0.83697766	0.7256694	0.8225655	0.6241239	0.8827797	0.82775205	0.9600663	0.8814106	0.7886064	0.87333024	0.867973	0.9005976	0.907056	0.8209141	0.9672802	0.7605063	0.85735506	0.78220403	0.8258638	0.58392715	0.8444557	0.97249585	0.88614255	0.81499386	0.6344629	0.848004	0.769178	0.8672642	0.97915465	0.94572157	0.8888992	0.81131625	0.60933125	0.87257564	0.9005479	0.81994385	0.79273564	0.9728335	0.8737452	0.76613516	0.8761764	0.66150343	0.94902444	0.569821	0.7196347	0.9404893	0.9788133	0.83016616	0.94442177	0.611765	0.83562243	0.78263485	0.8480964	0.7249558	0.80608886	0.9402556	0.5940407	0.37629014	0.96492714	0.95746565	0.73542804	0.6997168	0.7638285	0.46744853	0.65660733	0.91240495	0.8017792	0.78679806	0.8760165	0.7776595	0.6603371	0.7870993	0.82446826	0.5939622	0.9954628
pantalon/noun	0.9586794	0.9315734	1.0	0.96018034	0.8840268	0.7805886	0.5664408	0.9385538	0.0	0.7938826	0.9984835	0.95180637	0.87895983	0.8885424	0.96871334	0.5464158	0.9967918	0.93770283	0.8593425	0.89383507	0.99340004	0.76524156	1.0	0.98009986	0.33892977	0.53712726	0.875707	0.97000515	0.78351206	0.87789524	0.9425374	0.9908069	0.8198762	0.5370051	0.95511186	0.96421504	0.47185117	0.90421057	0.98426324	0.8729509	0.99099815	0.8409497	0.41602927	0.66755474	0.9378847	0.43827075	0.94890594	0.99735016	0.97463286	0.84188145	0.8718694	0.78487396	0.91587985	0.88810366	0.7725245	0.65441704	0.9130705	0.87991834	0.69700795	0.20395017	0.93681496	0.81071925	1.0	0.2876482	0.83063334	0.6194006	0.8987511	0.7357793	0.36687773	0.9311025	0.84624434	0.6298429	0.7061559	0.857677	0.766816	0.992962	0.78259027	0.97650373	0.9447818	0.56456375	0.65966046	0.9377682	0.94271326	0.93342716	0.97287136	0.7227781	0.626479	0.80279964	0.89123833	0.8184376	0.8220762	0.81426245	0.8489405	0.7299566	0.9981279	0.9418704	0.978364	0.93458587	0.7223724	0.9973906	0.9655454	0.8370302	0.99342185	0.9333744	0.9545003	0.9968085	0.9372976	0.98685604	0.37504333	0.9030197	0.8822832	0.9307066	0.9797182	0.78075606	0.94282293	0.9052113	0.94589615	0.9998274	0.29220337	0.58212036	0.9412905	0.9758983	0.9835108	0.8886395	0.4843306	0.74360013	0.9929768	0.99748456
kuif/noun	0.89170504	0.9912655	0.98104817	0.80041146	0.7274018	0.51098305	0.7155218	0.7380403	0.7938826	0.0	0.9396407	0.9859386	0.48163813	0.8625003	0.99902266	0.6763459	0.8653978	0.8917071	0.81892216	0.93482006	0.9622201	0.6075741	0.91359913	0.9514341	0.6744234	0.66538274	0.683192	0.9940301	0.3662371	0.7893193	0.8107084	0.97165346	0.81043744	0.869385	0.9379726	0.82895756	0.6955604	0.86050344	0.6670188	0.8498366	0.9862681	0.81286514	0.5493717	0.7887332	0.8997088	0.48886383	0.8960545	0.9517887	0.8844323	0.86912876	0.5902399	0.5617763	0.9685778	0.95169187	0.71414137	0.44404167	0.9062596	0.7504686	0.7870649	0.6418737	0.9528429	0.87010264	0.7700016	0.5678109	0.9223899	0.6910991	0.8401259	0.90786207	0.57252884	0.8811371	0.72246444	0.619738	0.6277212	0.75026697	0.9736825	0.9628463	0.32440287	0.7404272	0.9748539	0.4431646	0.48173726	0.9255332	0.99940026	0.9413589	0.93012536	0.71614254	0.7605303	0.88754725	0.84967077	0.7830826	1.0	0.8782265	0.78784245	0.91752195	0.9502017	0.96038294	0.8671334	0.900889	0.9399222	0.9965064	0.9345529	0.89815056	0.8873922	0.77420014	0.85516906	0.9937039	0.99974895	0.9178555	0.6437335	0.86757356	0.8210684	0.967046	0.95706	0.5609398	0.77938193	0.9448429	0.82271993	0.9997367	0.59361297	0.43698066	0.9311297	0.9539748	0.9602365	0.7793794	0.42151946	0.6695201	0.99375635	0.99488485
