	KLM/name	been/noun	immers/adv	langzaam/adj	alsof/comp	mag/verb	inmiddels/adv	zoals/comp	dan/adv	per/prep	Litmanen/name	hoofd/noun	regering/noun	hoog/adj	in/verb	vorder_terug/verb	accijns/noun	loon_belasting/noun	belasting_dienst/noun	teatraal/adj	nergens/adv	verzekeraar/noun	hand/noun	ministerie/noun	ook/adv	Lanaken/name	sanctie/noun	te/prep	tegelijk/adj	handpalm/noun	om/comp	belasting/noun	louter/adj	Camiel/name	premie/noun	frank/noun	heffing/noun	echter/adv	boete/noun	stad/noun	die/det	zij/pron	nu/adv	arm/adj	Informatie/name	glas/noun	hierover/pp	land/noun	daarna/adv	voortaan/adv	en/vg	entree/noun	vinger_DIM/noun	sinds/prep	LPF_minister/noun	hulpeloos/adj	maandag_avond/noun	feestganger/noun	anno/prep	ze/pron	Canada/name	toegang/noun	alvast/adv	rente/noun	voorheffing/noun	bovendien/adv	Henk/name	heer/noun	als/comp	opcentiemen/noun	omdat/comp	tarief/noun	toch/adv	zondag_middag/noun	energie/prefix	het/det	vertwijfeld/adj	Francis/name	lach/adj	netjes/adj	instantie/noun	men/pron	lidstaat/noun	procent/noun	Griek/noun	onroerend_zaak_belasting/noun	verontschuldig/adj	op/prep	beeld_DIM/noun	vinger/noun	ter/prep	boven/prep	over/prep	provincie/noun	terwijl/comp	glas_DIM/noun	dankbaar/adj	inkomst_belasting/noun	toeslag/noun	statie_geld/noun	opslag/noun	meer/adj	staat/noun	toegang_prijs/noun	arm/noun	hij/pron	bovenop/prep	successie_recht/noun	hak/noun	invoer_recht/noun	even/adj	keer/noun	overheid/noun	wanneer/comp	triomfantelijk/adj	tol/noun	fiscus/noun	laag/adj	percentage/noun	administratie/noun	aanvankelijk/adj	taksen/noun	vanaf/prep	hoopvol/adj	zonder/comp	gemeente/noun	eventueel/adj	toelage/noun	dwingend/adj	college_geld/noun	milieu_belasting/noun	taks/noun	of/vg
KLM/name	0.0	0.9729199	0.9381693	0.95686215	0.98766935	0.86837447	0.7992119	0.9019342	0.9057343	0.7179092	0.95531833	0.97211534	0.9083373	0.77358234	0.8271258	0.9194939	0.8735585	0.6880237	0.78466314	0.9574279	0.9716719	0.715397	0.9312854	0.9032717	0.8296915	0.98658043	0.8429084	0.9623045	0.8648596	0.96839464	0.86965287	0.769076	0.9292503	0.9650675	0.77004004	0.8207804	0.77425694	0.7814107	0.79565775	0.94083315	0.7780247	0.76760006	0.80321753	0.98529595	0.9434116	0.92471135	0.89907044	0.91256356	0.91395175	0.7568727	0.84528935	0.8310757	0.9597406	0.82787126	0.8817785	0.9664692	0.9141847	0.9366539	0.9481144	0.9554567	0.9149256	0.88975656	0.9844013	0.7584957	0.73355746	0.7074498	0.9917547	0.9508854	0.8833095	0.81739634	0.7731223	0.7050612	0.96275586	0.9277789	0.8771735	0.908258	0.9401764	0.95531493	0.9630049	0.95439464	0.8016976	0.87499595	0.8900838	0.6262501	0.966203	0.7971793	0.9741038	0.8487787	0.97696066	0.9578464	0.90459126	0.7909225	0.8270287	0.9366971	0.7961576	0.9508021	0.987344	0.75548047	0.48181927	0.9637953	0.9184888	0.87985975	0.9658181	0.8919152	0.9763031	0.93164307	0.6822559	0.7690722	0.95893127	0.8229233	0.985116	0.9732221	0.86086714	0.9387827	0.96309054	0.9175753	0.83016163	0.6908338	0.72157943	0.8294427	0.7134833	0.87067014	0.6167103	0.9370365	0.897369	0.77562493	0.70034885	0.9053865	0.9064386	0.9131333	0.8589263	0.8173631	0.87146515
been/noun	0.9729199	0.0	0.9723608	0.6235976	0.513317	0.9148352	0.88308007	0.939207	0.88134414	0.92202985	0.86515665	0.48725188	0.9500629	0.8914046	0.946865	0.96523005	0.96229863	0.9458486	0.9389451	0.6304718	0.8040934	0.9398587	0.401331	0.9712204	0.9514743	0.9500024	0.96519053	0.529933	0.82165235	0.40180886	0.8494195	0.9372178	0.8755317	0.9400472	0.9542041	0.98304605	0.9690336	0.91925263	0.963706	0.903335	0.8580524	0.76981175	0.8714372	0.40631878	0.941606	0.72679174	0.98383826	0.72547436	0.69437873	0.94210297	0.70709693	0.9662422	0.64714414	0.98488164	0.9038678	0.38274395	0.95566326	0.92815953	0.8144234	0.62435454	0.9665049	0.85053766	0.8982803	0.9485639	0.970722	0.9493592	0.8980656	0.7455675	0.82792073	0.9733105	0.90517855	0.97456104	0.8583143	0.9148491	0.9548842	0.77578855	0.4880175	0.9765335	0.6060482	0.77520275	0.90619427	0.8252123	0.8559029	0.9744199	0.875334	0.9858709	0.49241006	0.76694673	0.81743383	0.43095064	0.8116381	0.6865525	0.7212633	0.92655426	0.5708592	0.82034713	0.7933933	0.9497632	0.95189726	0.9145725	0.88725394	0.92382026	0.89639807	0.95503974	0.2807399	0.67046857	0.9285928	0.9412078	0.69446695	0.94368917	0.58993113	0.9471506	0.9128544	0.73990726	0.588463	0.949892	0.93521106	0.9592538	0.8257154	0.9261314	0.87880665	0.9604941	0.9634831	0.7688345	0.7694995	0.9473248	0.94132084	0.9788735	0.78506863	0.92466944	0.97092587	0.96547943	0.65330255
immers/adv	0.9381693	0.9723608	0.0	0.83595926	0.7558834	0.6049577	0.7189567	0.54699814	0.5841583	0.61548716	0.9333004	0.93200094	0.3974839	0.4535058	0.2764321	0.5605273	0.30240887	0.4803359	0.45471263	0.9469688	0.7089937	0.651546	0.95312446	0.75182873	0.7036953	0.87936914	0.7345141	0.7777587	0.7465458	0.9908918	0.49788356	0.2611906	0.8046144	0.9946789	0.51192117	0.52838576	0.30834502	0.55830187	0.4806741	0.70896906	0.53075635	0.70491546	0.64916855	0.8520322	0.9396668	0.9349837	0.37724727	0.6641242	0.90309954	0.35666108	0.64456046	0.8919038	0.9137226	0.84800524	0.93196505	0.90994054	0.9492644	0.9623239	0.7889177	0.92533916	0.7076875	0.7929989	0.7513911	0.41856986	0.45727056	0.31368548	0.9829013	0.9487556	0.54960644	0.430968	0.37012154	0.35284132	0.8135394	0.9619939	0.617638	0.92917854	0.86406755	0.9329226	0.87851804	0.62846315	0.64745224	0.6585782	0.50992703	0.42151135	0.8901473	0.6576685	0.93055147	0.48393226	0.94505084	0.9363742	0.73147297	0.72458243	0.60111123	0.6734857	0.7126839	0.9445032	0.86217654	0.40132397	0.69386494	0.75041807	0.7408526	0.66956645	0.5716429	0.95137537	0.9627751	0.9667735	0.40698195	0.47597873	0.8813338	0.42692447	0.94592613	0.82376516	0.34734815	0.4797209	0.97565293	0.6553895	0.36843336	0.4006948	0.53886104	0.50557256	0.8249266	0.47188455	0.5380099	0.96260035	0.49404633	0.6221701	0.36965334	0.763311	0.8278184	0.7638139	0.5097169	0.5686618	0.599222
langzaam/adj	0.95686215	0.6235976	0.83595926	0.0	0.65948325	0.8629831	0.83055097	0.8269759	0.84324163	0.765539	0.75321347	0.6587919	0.86416644	0.79206324	0.8429588	0.95982265	0.86712956	0.87346286	0.90339655	0.68985385	0.7676632	0.9388671	0.6498728	0.9781129	0.8179909	0.94326854	0.9173309	0.8346671	0.7492213	0.71170413	0.785469	0.8456733	0.8735961	0.9775973	0.9070859	0.82924604	0.8740828	0.68427455	0.94067985	0.8853522	0.80478567	0.7632538	0.66429424	0.723562	0.9547193	0.71534425	0.9195007	0.8819806	0.66909313	0.90944594	0.7470474	0.82871425	0.7942048	0.8717363	0.9757	0.6387399	0.94253117	0.7026292	0.7788571	0.6473838	0.9577675	0.86272234	0.86057746	0.78073645	0.8725658	0.7934833	0.87602603	0.76941824	0.7974492	0.8544368	0.9005623	0.8440297	0.72757924	0.9587773	0.7784324	0.7421864	0.7322219	0.9935766	0.7173133	0.7826553	0.95199406	0.6688647	0.78818834	0.8378457	0.7543524	0.980594	0.74715745	0.89918613	0.87051016	0.77066076	0.83467084	0.6122521	0.91008496	0.9289468	0.63778615	0.60843694	0.8954238	0.9242941	0.8835272	0.93755174	0.8387599	0.89909613	0.97907996	0.794542	0.6540897	0.6672125	0.7690463	0.9368883	0.89307606	0.9402011	0.62547266	0.92191243	0.80150783	0.6525272	0.76140016	0.7293731	0.94429976	0.76985157	0.76576424	0.9574483	0.71671957	0.8022916	0.86355084	0.69658494	0.78938556	0.92583746	0.84140676	0.9451082	0.7398455	0.9193211	0.79911685	0.9414999	0.7388524
alsof/comp	0.98766935	0.513317	0.7558834	0.65948325	0.0	0.7337409	0.82165164	0.7640041	0.56786376	0.897565	0.77816343	0.6073939	0.8742323	0.8852075	0.86443406	0.8067777	0.9198548	0.9679675	0.8497024	0.6671509	0.8549392	0.90744007	0.46938205	0.9341762	0.7854151	0.9626569	0.9662266	0.6396558	0.69778204	0.59266436	0.79261315	0.8732993	0.72052073	0.8897269	0.8685636	0.92994994	0.8613581	0.76146954	0.8746934	0.92239076	0.8560514	0.7763117	0.66109514	0.5912433	0.96982414	0.6770781	0.81413513	0.89014053	0.5745151	0.8226718	0.6903139	0.685204	0.7239189	0.9818792	0.8685099	0.4878078	0.8361412	0.8810958	0.7579206	0.57519805	0.99773026	0.9350391	0.67941034	0.9179373	0.87908363	0.7394537	0.7477865	0.68166864	0.44753855	0.9409534	0.6306626	0.8926496	0.689106	0.79967105	0.9880495	0.8173804	0.5093229	0.95218974	0.48002803	0.66253746	0.6978837	0.7754558	0.8908711	0.945085	0.69867265	0.90647906	0.44455528	0.8008805	0.8421998	0.676596	0.9578747	0.6910733	0.7040173	0.9628964	0.42680752	0.79351926	0.714257	0.8633664	0.88329196	0.9459182	0.9090894	0.80430627	0.85065913	0.966769	0.43976104	0.5222088	0.84042364	0.90970236	0.77958024	0.9118986	0.5573133	0.8919206	0.88733596	0.42149758	0.5040986	0.8833009	0.8530135	0.9121765	0.8769084	0.8662676	0.6941216	0.9638691	0.7805493	0.74503374	0.68547016	0.943083	0.89509356	0.9806566	0.69969314	0.97515756	0.85337716	0.9671142	0.6768664
mag/verb	0.86837447	0.9148352	0.6049577	0.8629831	0.7337409	0.0	0.8276275	0.7003028	0.5480931	0.5926402	0.9580672	0.9263329	0.72371197	0.69578624	0.67634344	0.56321967	0.7292851	0.6945541	0.6769589	0.9687169	0.7689558	0.67530876	0.87136286	0.8419297	0.48468798	0.91278553	0.7117852	0.85241514	0.730914	0.895283	0.52943826	0.65279335	0.8537998	0.97740996	0.68144923	0.75914365	0.58986735	0.7091848	0.68569744	0.83809566	0.6609816	0.5987998	0.64354086	0.865446	0.9065701	0.84354067	0.69403434	0.8507402	0.76808375	0.59353256	0.7057134	0.9361068	0.75645995	0.9505631	0.8212409	0.9077248	0.8412618	0.8148614	0.86690164	0.6822903	0.8864045	0.71749425	0.66002035	0.7037549	0.7907509	0.5286517	0.9588738	0.8466751	0.5064423	0.8530402	0.4860847	0.6805395	0.6044333	0.7226853	0.95312023	0.73818433	0.87327373	0.9286434	0.75912035	0.64588153	0.79740185	0.55671597	0.6803153	0.8038138	0.86943376	0.6765374	0.9016875	0.84736764	0.7522436	0.866364	0.8719648	0.86263824	0.7241899	0.8288351	0.6823081	0.674186	0.55188453	0.65271777	0.76105666	0.8605565	0.8291758	0.7018821	0.8043802	0.8393505	0.9076763	0.80199194	0.81084913	0.80983055	0.91130525	0.7320857	0.6894201	0.75478137	0.64169896	0.598464	0.9229696	0.81369674	0.6819	0.70418036	0.7965322	0.68803227	0.69667876	0.71727717	0.69051623	0.7915964	0.6811124	0.7290891	0.59658694	0.7541123	0.80367804	0.62180215	0.757303	0.77751267	0.65042984
inmiddels/adv	0.7992119	0.88308007	0.7189567	0.83055097	0.82165164	0.8276275	0.0	0.67677075	0.82205766	0.8968613	0.6568954	0.8854965	0.79921335	0.77303416	0.7466247	0.7316399	0.8270019	0.7304086	0.8238862	0.9807542	0.84136766	0.69547844	0.87326765	0.76553655	0.7856819	0.97099674	0.9081664	0.85422456	0.9443036	0.857878	0.74385583	0.76561105	0.9808612	0.92260486	0.7678501	0.9134127	0.78727436	0.645812	0.8261881	0.9144448	0.949358	0.83680093	0.7666882	0.85261345	0.85645115	0.9001559	0.79594266	0.86011	0.90186983	0.68819344	0.70623136	0.86250424	0.73505855	0.7795472	0.96453106	0.9659468	0.95444816	0.9112076	0.9528973	0.94534403	0.7483964	0.82588565	0.9006743	0.7067507	0.8113967	0.7025319	0.90473795	0.7469504	0.6804243	0.9049474	0.7043916	0.7880009	0.9403645	0.9880697	0.8926625	0.70179176	0.8457906	0.86044836	0.73643446	0.7839188	0.6789319	0.9170122	0.73048824	0.766494	0.98321056	0.9343479	0.9559129	0.87967	0.9836933	0.8207239	0.7923461	0.80638	0.8511727	0.87293077	0.7581121	0.99569833	0.9379437	0.74100757	0.79455733	0.9495972	0.8436726	0.91566604	0.9508501	0.9795504	0.84107316	0.9646498	0.8246691	0.8174643	0.8481676	0.80899286	0.79039085	0.81988704	0.75107247	0.7773767	0.96711516	0.87788707	0.6897136	0.7632407	0.8482873	0.80390793	0.88560474	0.86572987	0.84678966	0.93190944	0.69933486	0.8728825	0.7891987	0.92200804	0.7152066	0.950833	0.9337347	0.94143915	0.8182212
zoals/comp	0.9019342	0.939207	0.54699814	0.8269759	0.7640041	0.7003028	0.67677075	0.0	0.71098566	0.73321384	0.81637734	0.87696266	0.5305499	0.58074784	0.5881791	0.6895301	0.59103274	0.79873747	0.7642476	0.7539833	0.7953117	0.83672607	0.8783978	0.86367756	0.7017015	0.94279736	0.73548925	0.79412353	0.7469412	0.9600872	0.5547083	0.6046126	0.7075287	0.9111582	0.8182875	0.70932317	0.5443703	0.6800864	0.6965802	0.8099723	0.6500319	0.73650575	0.82256806	0.789967	0.9378614	0.78080124	0.6993355	0.70328426	0.8827298	0.6501523	0.42277688	0.83231777	0.90975076	0.90111697	0.983462	0.87762636	0.94757104	0.93121004	0.8507933	0.8764235	0.6698838	0.799945	0.8648106	0.8030292	0.73552823	0.68132746	0.89002454	0.88077676	0.61110866	0.7561654	0.5774977	0.6528717	0.79366285	0.93382293	0.79067653	0.8053844	0.93582153	0.90301085	0.776232	0.69865185	0.796958	0.68737113	0.6587585	0.73569775	0.7813316	0.8403467	0.9052845	0.7007908	0.8805349	0.93702453	0.73959243	0.71550655	0.74271905	0.83919215	0.8155111	0.8400415	0.8598113	0.74653876	0.8672616	0.5998082	0.7707295	0.69573057	0.7174861	0.9511065	0.9086726	0.8923403	0.6332012	0.78971946	0.92432004	0.67528665	0.8167437	0.83721507	0.5147276	0.68170947	0.89654773	0.71235377	0.7242812	0.6841421	0.82651854	0.837793	0.71485984	0.72937584	0.6618118	0.8752167	0.6153156	0.7227813	0.4873683	0.90089065	0.8165477	0.75781024	0.6437979	0.7589813	0.49253064
dan/adv	0.9057343	0.88134414	0.5841583	0.84324163	0.56786376	0.5480931	0.82205766	0.71098566	0.0	0.819807	0.9294702	0.8671832	0.7507595	0.8033785	0.6722421	0.6894575	0.737476	0.7988478	0.6549523	0.9405101	0.7530992	0.7832634	0.7952306	0.8988079	0.6641847	0.9390316	0.80876976	0.8668338	0.6957102	0.8951495	0.6429094	0.6579725	0.7345259	0.9949067	0.74092305	0.804426	0.6598766	0.6928118	0.69734657	0.8906562	0.6055023	0.627756	0.46391773	0.87801445	0.990079	0.8051873	0.65933114	0.8548885	0.55324996	0.61651075	0.7810723	0.8939102	0.7310273	0.93417966	0.8226624	0.79336154	0.92663777	0.7936659	0.8571332	0.5882968	0.93294895	0.94452846	0.58940655	0.7694432	0.7309197	0.6310427	0.8875301	0.7882639	0.37807167	0.7921198	0.570205	0.7165264	0.52997935	0.81821793	0.9205688	0.8856676	0.86437446	0.9059969	0.7916508	0.6377251	0.73478866	0.5432395	0.8011831	0.7952075	0.8227592	0.8230816	0.859177	0.7790571	0.85146415	0.8348979	0.85050774	0.83890975	0.6716859	0.9425901	0.5978627	0.7700065	0.55877316	0.68905765	0.80448574	0.8727472	0.8867981	0.7224506	0.67940426	0.90541995	0.80273956	0.6722992	0.7222343	0.70387465	0.9353758	0.76743805	0.5544982	0.800904	0.7268449	0.51278424	0.8297393	0.74818075	0.62543464	0.7660683	0.7983805	0.7804622	0.81524026	0.7802759	0.6720891	0.7784238	0.6679652	0.8464136	0.6750146	0.90753466	0.8315114	0.8272902	0.7751829	0.8331443	0.6422801
per/prep	0.7179092	0.92202985	0.61548716	0.765539	0.897565	0.5926402	0.8968613	0.73321384	0.819807	0.0	0.93092626	0.8594614	0.63299894	0.46419793	0.48610407	0.6426236	0.58567595	0.6022174	0.67250776	0.9501243	0.80989814	0.6590789	0.8450387	0.8580907	0.8282364	0.9008059	0.8195236	0.8627275	0.790755	0.9140028	0.5901096	0.48297065	0.88351315	0.98620766	0.4728229	0.34020787	0.41176522	0.7890751	0.5724683	0.64561224	0.624931	0.71255755	0.83163476	0.8075882	0.9261902	0.5877474	0.7293591	0.8434275	0.86909413	0.387419	0.68213165	0.713609	0.962417	0.82817364	0.998449	0.9430207	0.89983296	0.78559935	0.9247156	0.9272773	0.89958626	0.60815406	0.78189754	0.62268466	0.6128738	0.41831893	0.94881195	0.9662113	0.7624027	0.66938734	0.6344038	0.5101646	0.910908	0.88979816	0.7098254	0.7245916	0.9312216	0.9933346	0.8941315	0.77442205	0.8754393	0.82674044	0.70913625	0.49306297	0.9267629	0.56150967	0.9297683	0.6209551	0.7345325	0.9361993	0.66654134	0.54070616	0.7005789	0.65395737	0.70076466	0.70849895	0.9273144	0.62092644	0.51526284	0.56560314	0.55277264	0.5925381	0.78457564	0.5542168	0.9265192	0.92417246	0.34423274	0.7118703	0.95473754	0.6430793	0.91294295	0.64377236	0.5633427	0.7143146	0.8873439	0.7809539	0.7380334	0.4234498	0.6539023	0.70278347	0.7172312	0.5867176	0.4560458	0.9427543	0.66062415	0.5373244	0.57278645	0.55836594	0.92755914	0.69577646	0.56578445	0.4762187	0.47126234
