	blik_DIM/noun	Albanees/noun	been/noun	langzaam/adj	immers/adv	word/verb	miniem/adj	mag/verb	inmiddels/adv	hamer/noun	dan/adv	kersvers/adj	bestuur_kamer/noun	hoofd/noun	omhoog/adv	ogenblik/noun	regering/noun	kerst_pakket/noun	enkel/adv	honderd/adj	hoog/adj	weg/noun	poot/noun	mogelijkheid/noun	gouden/adj	gebruik/noun	accijns/noun	loon_belasting/noun	ingevoerd/adj	teatraal/adj	nergens/adv	hand/noun	ministerie/noun	ook/adv	sanctie/noun	vermaan/adj	vlees/noun	product/noun	tegelijk/adj	handpalm/noun	belasting/noun	staal/noun	nieuw/adj	vriendschap/noun	premie/noun	smaak/noun	frank/noun	ga/verb	echter/adv	stad/noun	rekening/noun	gewicht/noun	soort/noun	nu/adv	zal/verb	arm/adj	glas/noun	rekeningrijden/noun	kop_positie/noun	ontbreek/adj	meest/adj	verlaag/verb	land/noun	Europees/adj	daarna/adv	koers_winst/noun	stijg/verb	euro/noun	voortaan/adv	zenuwachtig/adj	entree/noun	extra/adj	vinger_DIM/noun	deelstaat/noun	vlucht/noun	vermogen/noun	afkomstig/adj	teelt/noun	LPF_minister/noun	hulpeloos/adj	maandag_avond/noun	omroepbijdrage/noun	vrijwel/adv	feestganger/noun	kan/verb	voorwaarde/noun	tel/noun	moet/verb	toegang/noun	boer_DIM/noun	overlast/noun	rente/noun	voorheffing/noun	bovendien/adv	heer/noun	parkeer_plaats/noun	voortreffelijk/adj	binnenlands/adj	verzekerd/adj	tarief/noun	stuk_DIM/noun	particulier/noun	ere_burger/noun	toch/adv	fiets_rek/noun	zondag_middag/noun	hal/noun	hand/adv	roerend/adj	Vlaams/adj	netjes/adj	stroom/noun	lidstaat/noun	procent/noun	onroerend_zaak_belasting/noun	verschil/adj	financieel/adj	beeld_DIM/noun	vinger/noun	te/adv	overschrijding/noun	even/adv	eerst/adj	flink/adj	lokaal/adj	pensioen_premie/noun	provincie/noun	glas_DIM/noun	gewoon/adj	her_stelling_werk/noun	waarschuw/verb	overgekomen/adj	wil/verb	dankbaar/adj	groen/adj	inkomst_belasting/noun	promotie/noun	toeslag/noun	gehuld/adj	statie_geld/noun	meen/verb	meer/adj	1930/noun	staat/noun	arm/noun	toegang_prijs/noun	schoen/noun	troon/noun	successie_recht/noun	hak/noun	hemel/noun	even/adj	invoer_recht/noun	keer/noun	landelijk/adj	overheid/noun	schouder/noun	toekomst/noun	triomfantelijk/adj	tol/noun	procent/adj	fiscus/noun	dringend/adj	alleenstaand/adj	Brits/adj	administratie/noun	aanvankelijk/adj	behaal/verb	taksen/noun	sigaret/noun	Amerikaans/adj	overweeg/verb	borst/noun	hoopvol/adj	kerosine/noun	tentoonstelling/noun	zwaar/adj	zelf/adv	gemeente/noun	eventueel/adj	toelage/noun	steenkool/noun	Londens/adj	box/noun	en/noun	grif/adj	liter/noun	prinses/noun	dwingend/adj	pub/noun	vorm/noun	sport_wereld/noun	kijk-/noun	college_geld/noun	het/adj	huize/noun	fles_DIM/noun	luistergeld/noun	taks/noun	verondersteld/adj	afkomst/noun	spaar_geld/noun
blik_DIM/noun	0.0	0.9097122	0.85306644	0.8732251	0.92117983	0.8204192	0.8916182	0.8344843	0.91169864	0.71359026	0.87691617	0.95476854	0.81664467	0.7857932	0.8777907	0.91146237	0.90232915	0.81028175	0.8095894	0.9812706	0.9454623	0.8907096	0.91705513	0.926346	0.9544658	0.8162473	0.86519	0.97256947	0.8303489	0.9304482	0.8292045	0.61665094	0.9689627	0.85662043	0.9694669	0.9798884	0.672114	0.7287872	0.8842301	0.85023445	0.9382641	0.77373266	0.95262647	0.9832579	0.94877416	0.6684605	0.77758163	0.8969063	0.93584603	0.965773	0.9243556	0.81011117	0.7024001	0.9285854	0.8902802	0.8444939	0.35569233	0.9592771	0.9350721	0.93151736	0.8745224	0.86774063	0.944337	0.9493399	0.8049105	0.9727769	0.93393487	0.87494993	0.78978753	0.9123234	0.8700582	0.9178074	0.9485952	0.9491251	0.92263883	0.9396364	0.7462572	0.8282444	0.9857137	0.93384904	0.6711135	0.9667454	0.9457463	0.5951158	0.886357	0.8782091	0.91220015	0.90709245	0.9171355	0.90858495	0.86353004	0.9767311	0.9750274	0.91080755	0.9423189	0.8753035	0.7374361	0.91720384	0.9419921	0.95473266	0.7428973	0.86511064	0.9679657	0.91659844	0.9895501	0.8971709	0.89653563	0.95894843	0.90869844	0.9759029	0.724406	0.8901648	0.9646507	0.9514553	0.9629096	0.8893875	0.94734466	0.8824981	0.83562124	0.86163133	0.92118007	0.9102969	0.9887272	0.83062994	0.89488065	0.9422079	0.948849	0.48409402	0.5737932	0.9832485	0.87539417	0.9912003	0.7767704	0.8927659	0.7131953	0.9586659	0.96173686	0.9520551	0.88788635	0.28499973	0.87018913	0.86593103	0.9908278	0.93107307	0.8736071	0.91559225	0.83221966	0.9734637	0.9906248	0.85192984	0.86486626	0.75615466	0.89490175	0.97896546	0.98432624	0.9507462	0.89215755	0.95765483	0.6528825	0.96987003	0.9540201	0.9582073	0.9376864	0.9761043	0.91495854	0.96142805	0.8931794	0.9977399	0.9033148	0.6382154	0.92595196	0.7589084	0.8302899	0.8215507	0.90353847	0.99458677	0.95945513	0.86082953	0.94628304	0.96023744	0.94382125	0.8617464	0.9551102	0.97007436	0.9927639	0.78335536	0.613989	0.9143338	0.9175835	0.8667851	0.7321054	0.98307043	0.9639243	0.9271203	0.99421465	0.94449943	0.196504	0.96052605	0.70227104	0.9461857	0.92702216	0.93928546
Albanees/noun	0.9097122	0.0	0.9346934	0.8965486	0.9110912	0.9001162	0.916351	0.9552326	0.83791095	0.99157524	0.9664116	0.98339075	0.95465213	0.96761245	0.9385118	0.97823304	0.92573607	0.89730144	0.8486981	0.7268971	0.90743923	0.95649177	0.9616791	0.93097395	0.9526649	0.96270335	0.91814566	0.90760237	0.92276645	0.85499847	0.9031816	0.91161066	0.92055964	0.95305055	0.95091176	0.9482297	0.9478191	0.9196877	0.8834274	0.9322155	0.7829255	0.9303907	0.95952743	0.96968925	0.89006615	0.9660727	0.88744485	0.9035222	0.8612733	0.7751696	0.81022227	0.9616249	0.9431319	0.888499	0.9116504	0.73088133	0.9568366	0.84919715	0.9722772	0.96129763	0.7762221	0.9555405	0.74008954	0.751918	0.94157577	0.83393717	0.9287604	0.88006985	0.8121514	0.9395508	0.91794455	0.8992117	0.9867321	0.84325874	0.7693578	0.7675527	0.79609233	0.83892626	0.9497505	0.8462496	0.85914516	0.94881934	0.6986599	0.84398776	0.94152755	0.94106823	0.934098	0.9451028	0.866693	0.8966017	0.913709	0.7470278	0.75638103	0.8808793	0.91423494	0.93132603	0.9381827	0.8092231	0.77852714	0.8355052	0.9483996	0.77647495	0.8777527	0.9333053	0.9272148	0.76804113	0.914426	0.9964205	0.7506149	0.8818309	0.87949455	0.7815938	0.7992787	0.83049345	0.9689704	0.8848941	0.88789546	0.9303123	0.95855343	0.9696321	0.8692569	0.86210394	0.9886221	0.9024095	0.8653603	0.90675443	0.710276	0.9280602	0.82166135	0.9605424	0.8976891	0.9733806	0.865759	0.9498058	0.7934022	0.81565565	0.93848115	0.8506314	0.8769553	0.9135879	0.9595131	0.89653647	0.8875523	0.72263026	0.89142466	0.91680634	0.96010524	0.9640434	0.84481955	0.9550876	0.920366	0.944059	0.94495124	0.9759219	0.85532415	0.88016844	0.97299767	0.90513474	0.84878564	0.98708355	0.7375213	0.7948596	0.90119725	0.8484807	0.9413988	0.89015967	0.8525697	0.8904548	0.8833122	0.9177225	0.8885401	0.84613955	0.934348	0.88876766	0.90519893	0.9770661	0.9573949	0.93731505	0.8407507	0.90977573	0.8843818	0.8530726	0.92473453	0.767676	0.99304444	0.8711519	0.94361544	0.9716769	0.9318135	0.94904464	0.9410565	0.93672574	0.9915738	0.94224143	0.9438015	0.9019034	0.88702023	0.99147296	0.8668959	0.88044834	0.8680388	0.751228
been/noun	0.85306644	0.9346934	0.0	0.6582086	0.9072354	0.86488587	0.9024468	0.8594551	0.8774452	0.69972265	0.86007017	0.98520213	0.91762054	0.40539324	0.5926937	0.9667682	0.97859967	0.88124585	0.8891758	0.9788258	0.84097576	0.8046931	0.67650366	0.93437207	0.70355856	0.93483055	0.9257219	0.93665224	0.9491129	0.7103423	0.88530993	0.47547835	0.9930374	0.9378667	0.9505133	0.6508205	0.7828115	0.9125215	0.86831486	0.4124766	0.91777587	0.78703696	0.9741548	0.9199997	0.9145615	0.8704332	0.98461777	0.77140415	0.9154238	0.9511091	0.97655565	0.6409142	0.8555293	0.89500225	0.96660745	0.49253106	0.75000197	0.98479426	0.8824692	0.6775412	0.8716965	0.977333	0.8438146	0.9372842	0.6799202	0.93431836	0.9222552	0.9540438	0.931927	0.65543073	0.9685716	0.9304379	0.6774417	0.88556236	0.9505425	0.91568965	0.7860012	0.9240872	0.9792411	0.37168187	0.9118006	0.988507	0.91880417	0.9301614	0.8762285	0.9616895	0.87125576	0.8969804	0.90131986	0.8726154	0.9078602	0.9198202	0.97375375	0.91839415	0.82723707	0.88932073	0.8959855	0.91279227	0.9610228	0.93909353	0.711681	0.95342547	0.9543216	0.8705685	0.97581613	0.86027706	0.9401459	0.89845884	0.97185415	0.9886608	0.7818372	0.80146116	0.9010007	0.9030412	0.94137746	0.9207142	0.92724717	0.7930669	0.55436337	0.74657726	0.9328971	0.7143682	0.9553056	0.7303126	0.9640522	0.9076835	0.93163735	0.80006677	0.8549509	0.989637	0.8793138	0.92862517	0.95441836	0.84233105	0.83957064	0.96917176	0.9722269	0.9724985	0.5937047	0.944722	0.9198144	0.9310182	0.86155635	0.93336004	0.27655435	0.934312	0.738961	0.8595224	0.98286456	0.65154266	0.5138749	0.63016903	0.9619491	0.9268704	0.96015924	0.9382002	0.19319183	0.94324386	0.5332672	0.88882434	0.94210106	0.9606209	0.8992195	0.9076254	0.91532046	0.9334128	0.813052	0.97465813	0.93418264	0.7811443	0.9670742	0.9701688	0.16546565	0.8398586	0.8833972	0.9270127	0.74455833	0.91353416	0.9590891	0.9504915	0.99288666	0.8558825	0.96596104	0.9586828	0.9733138	0.8827549	0.92117935	0.87307733	0.82244074	0.9527567	0.89896005	0.8138251	0.9809241	0.8942805	0.9858519	0.88207436	0.8687782	0.98234874	0.9309267	0.80833185	0.7461911	0.92015004
langzaam/adj	0.8732251	0.8965486	0.6582086	0.0	0.8112935	0.8431528	0.8507805	0.83480036	0.8563721	0.87699115	0.8132627	0.930819	0.81577957	0.7918736	0.6982027	0.91121995	0.96904016	0.9214722	0.8589412	0.95473087	0.8419477	0.5852806	0.8097209	0.87467027	0.9017245	0.86672086	0.844065	0.90614015	0.9430141	0.57085526	0.80751234	0.73082525	0.9778121	0.8800794	0.94122475	0.8669133	0.73608804	0.8883289	0.76874	0.6941488	0.8203006	0.8153614	0.9110775	0.60137784	0.8549721	0.72872186	0.9345969	0.57540107	0.79899275	0.9411033	0.9176362	0.7560621	0.8114087	0.7807144	0.87147385	0.7925862	0.7704225	0.84473354	0.867036	0.7715465	0.7864104	0.91808516	0.9407042	0.84077877	0.61135656	0.8632706	0.8030914	0.8536078	0.8700817	0.8099295	0.8750853	0.91836566	0.7515226	0.96403015	0.9489044	0.78411853	0.8678099	0.8473028	0.9469904	0.7008203	0.8940302	0.9760681	0.79654175	0.7899568	0.8518398	0.88498706	0.6307349	0.78110796	0.9113613	0.9370761	0.83823526	0.78040916	0.7940916	0.79885364	0.84980524	0.87927693	0.8668531	0.8996588	0.8864732	0.80980724	0.6959533	0.8817443	0.842913	0.80896914	0.9575731	0.84314156	0.83847976	0.88543737	0.82523906	0.9756025	0.8035786	0.72456175	0.8795605	0.75350887	0.8897115	0.85844904	0.90815914	0.8392839	0.79892004	0.67652035	0.9633976	0.73093855	0.893052	0.69929624	0.8827262	0.8007033	0.97033215	0.73254216	0.7584007	0.9648031	0.83062875	0.9805066	0.937569	0.87592566	0.77151656	0.8939906	0.9076605	0.9158368	0.85755956	0.92541206	0.88820046	0.83625245	0.891431	0.9560087	0.732494	0.8128801	0.94027686	0.8590851	0.8852776	0.87385964	0.5944796	0.68236303	0.96199983	0.9069336	0.89698815	0.89364207	0.76930785	0.96484035	0.7375296	0.76289755	0.85196346	0.90455914	0.81487274	0.9228604	0.86947864	0.98290807	0.7415166	0.9437584	0.83108354	0.8460809	0.931183	0.944636	0.74963707	0.78851384	0.7726639	0.9084023	0.7882325	0.9172176	0.96413106	0.88764983	0.97141856	0.7849005	0.78026533	0.93191516	0.9755875	0.8633777	0.8181448	0.88945013	0.7847657	0.820869	0.7456536	0.8571166	0.9743882	0.84688044	0.9534553	0.9332009	0.8312503	0.96391016	0.90901333	0.82848334	0.8825978	0.8312179
immers/adv	0.92117983	0.9110912	0.9072354	0.8112935	0.0	0.515903	0.79306996	0.6828228	0.683838	0.94669926	0.620083	0.9521928	0.9041092	0.88782185	0.62107635	0.8126297	0.63728553	0.856611	0.5592756	0.9198537	0.5057743	0.90604186	0.9087266	0.73421293	0.8828299	0.595424	0.4553479	0.6299232	0.703078	0.8815433	0.71158046	0.90690684	0.7359202	0.6956105	0.7894236	0.95932907	0.74749386	0.5905018	0.69073343	0.96150684	0.3349316	0.6795914	0.6951946	0.9252428	0.5305063	0.8290155	0.61269593	0.7803497	0.5909044	0.805298	0.5186943	0.71971923	0.7737193	0.7121604	0.5709892	0.84562516	0.8369288	0.76937234	0.8650384	0.8638464	0.7781966	0.41973436	0.70205474	0.50196266	0.7842337	0.71391857	0.5371895	0.6045582	0.3868664	0.93404007	0.942506	0.46193194	0.8992456	0.78781486	0.7392246	0.5649917	0.6925458	0.7169336	0.8908805	0.94905305	0.9336571	0.684229	0.65073085	0.88183194	0.7254939	0.5981635	0.8449553	0.43602604	0.76473826	0.9426723	0.6890178	0.5697848	0.48717707	0.40941215	0.92278785	0.8776504	0.89358956	0.6618301	0.7759448	0.44453418	0.81757903	0.59996146	0.83017844	0.7943249	0.9142424	0.8984316	0.96863425	0.98031783	0.5775908	0.6501434	0.62842155	0.7254071	0.5818933	0.48567027	0.7715994	0.73426056	0.6073412	0.9395802	0.8611547	0.7762116	0.8203362	0.8640429	0.86909044	0.5343127	0.66292083	0.7162411	0.7294413	0.881079	0.720711	0.84562135	0.77854156	0.9589019	0.63723063	0.9381553	0.8146329	0.4911275	0.7635603	0.6895968	0.9320604	0.8320721	0.7216674	0.6094229	0.9153347	0.6718662	0.9538702	0.94306755	0.9741605	0.90176016	0.4922266	0.92189246	0.8904135	0.862941	0.55916405	0.7173253	0.7988128	0.4887454	0.9303853	0.7530414	0.9581872	0.6279589	0.5473676	0.4855153	0.7528809	0.70269334	0.8551558	0.61322963	0.8039581	0.78794754	0.6381718	0.69241244	0.75945264	0.71089983	0.9636977	0.9524006	0.796136	0.94721854	0.67692506	0.7291639	0.71648335	0.43615723	0.7736109	0.73572725	0.9621374	0.7195343	0.71929264	0.9453329	0.7232555	0.91546446	0.81420916	0.9219839	0.63087595	0.9183888	0.7445786	0.82739955	0.8661392	0.9431089	0.88071144	0.6820928	0.6337484	0.83236843	0.872311	0.48197562
word/verb	0.8204192	0.9001162	0.86488587	0.8431528	0.515903	0.0	0.87799436	0.6346042	0.7909336	0.8892264	0.5906378	0.7863645	0.8840598	0.88177776	0.71182334	0.78490424	0.6975446	0.76727337	0.5952134	0.9309034	0.6714181	0.81469834	0.8068905	0.6053375	0.8832867	0.72998595	0.63638484	0.69333327	0.6654007	0.8860396	0.6115961	0.9060715	0.7866359	0.59162366	0.7249776	0.9413432	0.80216336	0.7157949	0.6704213	0.8868237	0.5261184	0.7581962	0.6688881	0.909851	0.63486147	0.8670002	0.6921861	0.7407279	0.6898974	0.62228936	0.64971554	0.7813308	0.72631824	0.6430242	0.45316964	0.87779045	0.8151737	0.79094326	0.8671121	0.84163475	0.82395065	0.57665706	0.7467874	0.7307148	0.73950404	0.8358809	0.7258712	0.7032651	0.45563686	0.7737693	0.84465975	0.51822466	0.85439175	0.73748964	0.8337197	0.79019874	0.8170161	0.87157494	0.94321734	0.8683699	0.8412449	0.7978082	0.7486607	0.86565113	0.6612739	0.6622552	0.8131705	0.45318973	0.78542334	0.9292643	0.7542624	0.70170915	0.6501701	0.47922623	0.94158936	0.7110596	0.90952754	0.76793885	0.7732098	0.58116686	0.80917597	0.7255963	0.88815975	0.6574768	0.7865191	0.8086689	0.86730266	0.9596904	0.6518036	0.786275	0.7243815	0.8083021	0.7149453	0.70105064	0.7100917	0.7939716	0.67600214	0.90744936	0.8562138	0.6678407	0.7745837	0.74661803	0.748751	0.6431947	0.67862034	0.7028576	0.755903	0.837067	0.6822644	0.6977627	0.78307146	0.9680433	0.61896193	0.87834615	0.86082286	0.5549103	0.7951214	0.72213197	0.83409244	0.7772938	0.69722325	0.70489466	0.82500285	0.69131994	0.9133378	0.87544566	0.80918026	0.8803791	0.6941421	0.92598194	0.8786675	0.7816955	0.6873194	0.69494426	0.7627213	0.5567227	0.92314935	0.71853316	0.94312507	0.7657404	0.70046675	0.5660665	0.6407143	0.8572018	0.8760997	0.7175808	0.64867187	0.9105221	0.7100823	0.73559856	0.85670215	0.6163714	0.93367285	0.8475735	0.82563365	0.8058321	0.75058657	0.6930526	0.56952786	0.5340905	0.80666375	0.70895565	0.9430359	0.80205584	0.72233015	0.8928102	0.78649676	0.88241214	0.7915511	0.8981525	0.72219115	0.8917471	0.69655484	0.73515326	0.81434643	0.86768407	0.8346277	0.661131	0.6514336	0.8950265	0.8929142	0.73778963
miniem/adj	0.8916182	0.916351	0.9024468	0.8507805	0.79306996	0.87799436	0.0	0.90907896	0.8872404	0.88750064	0.94484276	0.89600813	0.96431136	0.88044673	0.7654731	0.8163067	0.9682647	0.9545914	0.850859	0.9655517	0.7558934	0.8927186	0.85418427	0.8585901	0.85746944	0.84606045	0.93351585	0.92651254	0.8731433	0.8494599	0.92138004	0.91862905	0.8290348	0.93618035	0.83479017	0.9249337	0.686365	0.8140712	0.90500855	0.94349074	0.84075975	0.69655895	0.9161069	0.98674285	0.8642259	0.8812785	0.91506565	0.9289998	0.85998654	0.8559311	0.8234011	0.7299659	0.90799016	0.9453328	0.8374715	0.90218693	0.767979	0.9498698	0.9077912	0.7004894	0.86391735	0.8846147	0.9055995	0.76019675	0.9105019	0.7272999	0.7618534	0.8074837	0.8725049	0.9473781	0.77696294	0.77094686	0.9792827	0.75882506	0.7436563	0.8565087	0.87494856	0.81887627	0.9865246	0.92195463	0.8502482	0.9514743	0.8652377	0.9141383	0.8609865	0.9000805	0.7014965	0.87764215	0.9491376	0.8855406	0.71100235	0.83125967	0.9137124	0.8184252	0.93203014	0.92167276	0.74442124	0.7430247	0.8578736	0.8205981	0.776564	0.82691	0.98736656	0.9138603	0.93664205	0.87183326	0.89156246	0.98499376	0.8826102	0.9023518	0.92093176	0.94666094	0.88319725	0.6754068	0.9313718	0.83759224	0.84817654	0.8932374	0.8547689	0.8987785	0.71934986	0.91978	0.9614739	0.7600443	0.8297806	0.89418334	0.83786666	0.91965175	0.88330513	0.9577	0.8651881	0.9642719	0.92656904	0.96379006	0.90590596	0.87134194	0.8256929	0.86218935	0.89176726	0.98892665	0.9242575	0.76489997	0.8849957	0.9439231	0.8772138	0.9763795	0.93471694	0.94414586	0.93853706	0.9638479	0.8627151	0.8846212	0.86512816	0.8344475	0.8481225	0.8746189	0.81231964	0.97802764	0.76355886	0.93746567	0.758136	0.90505743	0.94659585	0.9444338	0.9390743	0.93090975	0.80247414	0.69456136	0.8028455	0.9268023	0.86745596	0.9460259	0.8091687	0.80859494	0.8254255	0.94661117	0.8162441	0.8922253	0.84613496	0.75278693	0.93943465	0.81734467	0.89817643	0.89178175	0.99597126	0.93563575	0.89160913	0.99075025	0.957047	0.83093274	0.83056617	0.96897984	0.9806613	0.8153825	0.9684652	0.9502607	0.9029244	0.97887856	0.8876965	0.84037536	0.8627381	0.8976728
mag/verb	0.8344843	0.9552326	0.8594551	0.83480036	0.6828228	0.6346042	0.90907896	0.0	0.83046424	0.9075309	0.63826334	0.8119772	0.8559326	0.8758673	0.7094569	0.8118589	0.85401726	0.6787287	0.6256052	0.9519122	0.70865124	0.83345497	0.8247406	0.649966	0.7746816	0.70724773	0.78247154	0.7098219	0.81002694	0.94975024	0.7568554	0.79705775	0.8686209	0.57018054	0.81706715	0.80212784	0.7989984	0.75591016	0.78735566	0.83861583	0.67793536	0.84769636	0.78168553	0.8997236	0.6833453	0.87665796	0.80997396	0.5556135	0.767976	0.8096306	0.6140162	0.8789147	0.8083517	0.7556722	0.48467565	0.79709625	0.8476963	0.86166245	0.82423055	0.84851366	0.7868563	0.7045297	0.8470281	0.797129	0.75841075	0.8712423	0.77078277	0.71475923	0.5767507	0.8599087	0.96599877	0.67770123	0.82408834	0.7807562	0.8557659	0.8253757	0.80378366	0.81421673	0.88444996	0.884034	0.8691335	0.8277749	0.70610404	0.8573187	0.35932183	0.6407753	0.8414119	0.4683808	0.7589226	0.8551593	0.8313105	0.7737136	0.772918	0.5972371	0.8538224	0.83206874	0.8557699	0.8328288	0.7110282	0.6970782	0.796378	0.66442716	0.8031017	0.71287996	0.93191564	0.8191606	0.9092047	0.9029981	0.8026359	0.87404406	0.71866727	0.8398421	0.7540066	0.81079096	0.6800689	0.8206973	0.7120477	0.76918566	0.86879706	0.7726425	0.7290541	0.81311405	0.8535331	0.71453416	0.7413261	0.72452587	0.86285263	0.7218224	0.5690447	0.9313415	0.8343238	0.9691957	0.49847376	0.7218287	0.8669042	0.69072676	0.80926955	0.8005026	0.8510911	0.84976375	0.72456837	0.7641021	0.9334919	0.8580786	0.83866155	0.87609076	0.8984488	0.8847983	0.8436879	0.8843113	0.83624506	0.74719775	0.77150047	0.77944916	0.80862755	0.7275816	0.90101624	0.8188523	0.84910816	0.86777216	0.79886746	0.7216173	0.82326674	0.8423693	0.81091654	0.75273484	0.762963	0.9300102	0.7258197	0.66015565	0.89755625	0.64246035	0.8703188	0.8515457	0.874288	0.9135505	0.8665372	0.642016	0.7182431	0.63501906	0.7597418	0.877661	0.9286326	0.82989347	0.9607172	0.93816346	0.8533182	0.79857796	0.7741115	0.86938727	0.8095437	0.88404864	0.9044714	0.6850292	0.856994	0.8786738	0.7912396	0.9051507	0.7570451	0.8973514	0.8856337	0.78123367
inmiddels/adv	0.91169864	0.83791095	0.8774452	0.8563721	0.683838	0.7909336	0.8872404	0.83046424	0.0	0.9350093	0.8172842	0.75589466	0.93827516	0.9532067	0.7224537	0.8671801	0.8317262	0.9310804	0.89925146	0.889655	0.7766852	0.8142789	0.8884	0.7784275	0.8136657	0.89310664	0.78729117	0.821859	0.92498785	0.9096401	0.7063268	0.7756585	0.8443617	0.68518865	0.8815621	0.82176596	0.93465495	0.8239567	0.7921707	0.87348884	0.7533041	0.87107956	0.83681244	0.95321614	0.7551074	0.8983129	0.91820455	0.8009331	0.735772	0.77059203	0.7659267	0.8591522	0.8693187	0.6845984	0.7373514	0.83410484	0.84698296	0.76789224	0.9381812	0.80429196	0.868406	0.7860594	0.82084656	0.70419323	0.787542	0.7688615	0.73519623	0.8232676	0.7712909	0.8676404	0.8507432	0.7614603	0.83707905	0.8254292	0.9267566	0.7589562	0.6958482	0.91037947	0.89105904	0.9618956	0.9307892	0.9022168	0.7962902	0.9029171	0.83848333	0.80940914	0.8646839	0.72651577	0.74867	0.9149488	0.91673076	0.70668685	0.8614411	0.68427575	0.768877	0.8655517	0.89019686	0.8299462	0.740584	0.75445616	0.947555	0.77020013	0.93361723	0.86767554	0.88447887	0.8418171	0.9234569	0.9876024	0.8645505	0.9050864	0.8616304	0.73860896	0.76987165	0.7707676	0.8689655	0.80116767	0.76701075	0.9708106	0.84773237	0.94148165	0.9016248	0.8822828	0.92693204	0.739958	0.8007449	0.81646943	0.7949804	0.8829644	0.89819217	0.96832067	0.7616899	0.65585953	0.69844246	0.94145244	0.8132682	0.8012887	0.8402134	0.80878735	0.9048115	0.8893914	0.7609148	0.894309	0.88863325	0.8006149	0.89992726	0.87947524	0.9023658	0.88030237	0.87116927	0.87805337	0.80842435	0.7308361	0.838882	0.8481208	0.75723815	0.7448865	0.9223079	0.88317794	0.9539933	0.7783353	0.7900767	0.82043946	0.8804409	0.8064389	0.7890673	0.8967165	0.7196498	0.8255431	0.83482635	0.8794271	0.7359473	0.7766378	0.87696403	0.9612889	0.8332828	0.9466791	0.9692686	0.77060205	0.8375577	0.7976595	0.86738753	0.90613633	0.84850395	0.8542185	0.92181844	0.9027929	0.9038017	0.88380456	0.9630373	0.94450927	0.7710987	0.81452584	0.9483967	0.82247245	0.8750576	0.8354387	0.91479075	0.9220747	0.86960316	0.78397393	0.7602406	0.7505871
hamer/noun	0.71359026	0.99157524	0.69972265	0.87699115	0.94669926	0.8892264	0.88750064	0.9075309	0.9350093	0.0	0.92484486	0.8782169	0.8324014	0.55158997	0.77965903	0.8748845	0.9715746	0.88778234	0.87152857	0.97139555	0.92862654	0.95649856	0.78957653	0.9941228	0.7550568	0.9131744	0.9306545	0.96953857	0.9210003	0.8800863	0.98672146	0.56404626	0.992835	0.96549845	0.90192175	0.8302597	0.8745307	0.93474114	0.9002411	0.7137588	0.95103896	0.7044854	0.9679309	0.966657	0.95007086	0.8682447	0.90433574	0.79357994	0.9392997	0.9821252	0.9609379	0.68562883	0.8935817	0.94430184	0.9559564	0.90181845	0.5462942	0.9659263	0.7931466	0.8225854	0.96234167	0.96410406	0.9723686	0.93293554	0.77580047	0.93637556	0.90406394	0.91590244	0.93708307	0.91097695	0.8315654	0.90990305	0.91719025	0.9583644	0.9791854	0.9675506	0.80599165	0.8894662	0.8970688	0.87590915	0.8254655	0.98971397	0.9287967	0.82066333	0.9244655	0.99255466	0.8614242	0.9507518	0.9152222	0.95263416	0.9421719	0.9687692	0.9806165	0.9494313	0.9665606	0.9893154	0.8363614	0.9298798	0.94223654	0.9602628	0.75057775	0.9434682	0.8492721	0.9218371	0.983927	0.82098085	0.89572686	0.9265824	0.94605625	0.96006745	0.88192433	0.99053997	0.9617893	0.95097977	0.9740911	0.8967587	0.8846795	0.58759713	0.72717524	0.84294635	0.83799	0.9192987	0.99565166	0.8256422	0.9376005	0.9284915	0.9831553	0.7234189	0.84891057	0.93820673	0.9756085	0.9289006	0.95808387	0.9220955	0.78821135	0.97844404	0.96224856	0.9474448	0.71931976	0.8157713	0.99625415	0.92335874	0.95629585	0.9756847	0.7568959	0.8316698	0.78619236	0.8842471	0.95432985	0.81194514	0.8295289	0.77583754	0.87294734	0.78507805	0.9968334	0.9495754	0.6691739	0.96515715	0.73761976	0.8612922	0.9830238	0.97093475	0.9838781	0.9586416	0.87876815	0.93231446	0.9190602	0.9234184	0.9313153	0.79581726	0.93293613	0.9651855	0.5754988	0.8955786	0.8598064	0.8431294	0.7767684	0.84991723	0.9734843	0.97569203	0.9465407	0.8244947	0.8159867	0.9723364	0.98049104	0.8021456	0.8325659	0.8356156	0.9489136	0.8068139	0.8643364	0.98910475	0.99168915	0.9464588	0.99954313	0.97166824	0.7255606	0.99073416	0.90730214	0.97461176	0.87995243	0.9539511
