	bank/noun	overheid_schuld/noun	ver/adj	daarom/pp	eerder/noun	voor/comp	voetbal_bond/noun	keer/adv	activiteit/noun	dochter/noun	maar/adv	namelijk/adv	organisatie/noun	economie/noun	familie_bedrijf/noun	binnen/prep	om/comp	staal_industrie/noun	landbouw_sector/noun	drastisch/adj	spoor_weg/noun	al/adv	bank_sector/noun	Belgische/name	luchtvaart_maatschappij/noun	huishouding/noun	vervolgens/adv	diep/noun	Fabricom/name	die/det	netwerk/noun	nu/adv	Hof/name	druk/noun	ingekort/adj	Europa/name	brandweer/noun	volop/adv	luchtvaart_bedrijf/noun	snel/adj	secretariaat/noun	slechts/adv	afdeling/noun	tijd/noun	choreografie/noun	en/vg	schooljaar/noun	AG/name	mede/adv	grotendeels/adv	vermogen/noun	Nissan/name	tak/noun	ze/pron	moet/verb	opleiding/noun	Chrysler/name	weer/adv	bovendien/adv	filiaal/noun	fabriek/noun	Top/name	jaar/noun	dus/adv	fors/adj	het/det	waardoor/pp	opnieuw/adv	Philips/name	intussen/adv	zich/pron	jeugd_beleid/noun	merk/noun	directie/noun	Bax/name	marketing_afdeling/noun	groep/noun	productie/noun	flink/adj	terwijl/comp	volledig/adj	gewoon/adj	regio/noun	jeugd_voetbal/noun	ten/adv	lening/noun	vermoedelijk/adj	totaal/noun	gebied/noun	dienst/noun	voetbal/noun	zonder/prep	Franse/name	we/pron	bestuurder/noun	markt/noun	zodat/comp	container_park/noun	Unilever/name	topman/noun	marketing/noun	Italiaan/noun	top/noun	dringend/adj	1999/noun	grondig/adj	dagenlang/adj	management/noun	administratie/noun	uiteindelijk/adj	sector/noun	volgens/prep	club/noun	zwaar/adj	zonder/comp	eerst/adv	medium_groep/noun	doorgaans/adv	schuld/noun	concern/noun	traject/noun	onderneming/noun	leger/noun	zichzelf/pron	tot/prep	wij/pron	staat_bedrijf/noun	bedrijf/noun	er/adv	bedrijf_terrein/noun
bank/noun	0.0	0.77758116	0.8471781	0.79224974	0.74369216	0.89758563	0.7178205	0.87872016	0.7249787	0.7652368	0.93111604	0.79995286	0.7429986	0.70813113	0.725837	0.8343417	0.79431134	0.81459373	0.82260597	0.79374427	0.7435734	0.8810286	0.60050255	0.8494781	0.5359707	0.84134316	0.7833227	0.9032209	0.80928624	0.84860146	0.7440589	0.87114906	0.885824	0.8158574	0.92751604	0.7666387	0.9234975	0.8810562	0.74431264	0.8747673	0.8309722	0.87335414	0.7961191	0.924819	0.9109537	0.8033724	0.89092517	0.6867063	0.78744435	0.77566046	0.7190029	0.7634089	0.7280799	0.842815	0.78599465	0.8691362	0.7677364	0.8825855	0.7240254	0.590061	0.7659213	0.9171454	0.8816854	0.8536329	0.65270555	0.85491097	0.75228435	0.8261193	0.6236463	0.83074784	0.8869065	0.8995393	0.76423407	0.6901536	0.9022328	0.8285444	0.78870696	0.7901198	0.7641466	0.78066146	0.8050435	0.89440495	0.8845356	0.9191318	0.86782587	0.53099346	0.89265245	0.8260381	0.8786825	0.77648646	0.8913183	0.86513704	0.7876231	0.8615115	0.8241982	0.64916134	0.79602176	0.84926164	0.61875397	0.7275717	0.8329568	0.8961971	0.8551779	0.88167214	0.8121681	0.9162073	0.87308973	0.64238155	0.7634171	0.849815	0.681038	0.7945774	0.7661256	0.90508544	0.8204607	0.84875625	0.6635821	0.8001434	0.722813	0.47166854	0.8855145	0.4753595	0.81281066	0.89663506	0.8845364	0.8347559	0.62064624	0.44038206	0.89271796	0.85808134
overheid_schuld/noun	0.77758116	0.0	0.8079131	0.8378757	0.8820985	0.9149698	0.8760854	0.9235107	0.82036424	0.9354098	0.8852443	0.83572155	0.8870228	0.6728034	0.8468798	0.83252877	0.81016743	0.81163144	0.77672136	0.7141801	0.8545605	0.85646296	0.75471544	0.9199054	0.806008	0.889327	0.8917334	0.9219346	0.8923254	0.8241761	0.86368114	0.89540905	0.937496	0.8007084	0.88086	0.7820331	0.9352218	0.90071106	0.8690714	0.81006	0.925277	0.8041665	0.92166364	0.89796513	0.9097843	0.87423295	0.8688345	0.905763	0.7521924	0.8235017	0.7174095	0.8605365	0.88899165	0.8839084	0.80971205	0.8868014	0.8734348	0.8689933	0.76680446	0.8583051	0.87538373	0.9427433	0.81700057	0.83822787	0.6863791	0.88432854	0.7588506	0.85315925	0.83818066	0.8573327	0.89449936	0.86712015	0.8731613	0.8754202	0.9340738	0.9188775	0.88704425	0.747194	0.76681495	0.8312463	0.85625964	0.9296274	0.901865	0.9131848	0.81513256	0.71966994	0.9086948	0.82863283	0.90341383	0.88955104	0.9192729	0.8953453	0.9023558	0.86208606	0.9141624	0.7708794	0.7979319	0.90914327	0.81518507	0.9080224	0.8926457	0.92627954	0.8870063	0.8442444	0.8279922	0.88670045	0.9160497	0.8288218	0.8275924	0.88371015	0.7584585	0.8853495	0.88556725	0.89010274	0.8308215	0.88381326	0.8423616	0.8428798	0.70290613	0.7617109	0.86538637	0.7420786	0.8797523	0.90228623	0.81862056	0.85164917	0.80803794	0.75927424	0.84887207	0.85761786
ver/adj	0.8471781	0.8079131	0.0	0.7510803	0.8598429	0.8316076	0.89377433	0.8580996	0.8305087	0.9346519	0.80213296	0.82029027	0.88210404	0.78068125	0.8628316	0.8459409	0.75051475	0.8642214	0.8568772	0.7258035	0.8192195	0.8418343	0.820495	0.9483404	0.8537561	0.9069124	0.74623895	0.83349043	0.90521824	0.77922434	0.84930086	0.7883352	0.9469776	0.82374144	0.901592	0.73296607	0.91483444	0.8054266	0.9107154	0.6778532	0.91608053	0.85591865	0.9267504	0.8535634	0.8949297	0.8347581	0.8780389	0.90793097	0.83191323	0.82150495	0.8402225	0.86891353	0.878016	0.7762599	0.74799085	0.89232945	0.8860504	0.74553055	0.74926275	0.9089953	0.8787584	0.9465732	0.8876221	0.77825844	0.69969046	0.8417375	0.7461177	0.7681947	0.8424367	0.75513834	0.86453354	0.8646215	0.9044877	0.8250379	0.933045	0.8845428	0.912707	0.81991893	0.70636225	0.77782536	0.82256854	0.8375393	0.8657264	0.89218503	0.86565536	0.8890447	0.8976872	0.9037152	0.8185202	0.9110624	0.9082175	0.8542387	0.93240184	0.7274754	0.9283782	0.8492938	0.75500643	0.87145966	0.83179	0.9232795	0.8796619	0.9241046	0.8512814	0.8255161	0.91293615	0.8026421	0.8115221	0.8382291	0.8675307	0.8002928	0.8085079	0.87952495	0.88808024	0.8741596	0.75695235	0.7253505	0.8725931	0.8425752	0.87738216	0.8173608	0.8281152	0.8367362	0.9076437	0.86740494	0.81804025	0.7658504	0.8767991	0.8287057	0.83201224	0.82202375
daarom/pp	0.79224974	0.8378757	0.7510803	0.0	0.78955853	0.79314995	0.762499	0.7861149	0.7762079	0.91829926	0.727408	0.6252719	0.76215875	0.8258908	0.8371151	0.7870937	0.5285603	0.83634424	0.78815544	0.7151206	0.82766044	0.81483275	0.79481465	0.87623376	0.80611503	0.8455224	0.72417605	0.8728584	0.8342505	0.66763425	0.80971754	0.66381395	0.8464372	0.8068923	0.8946581	0.8149011	0.86244124	0.808288	0.82602084	0.76201636	0.8436737	0.8803097	0.8630376	0.80760825	0.850318	0.81923276	0.79953873	0.8596018	0.8134797	0.81866944	0.81941426	0.8384609	0.89007604	0.6271332	0.5735878	0.78988653	0.8547893	0.8074533	0.5268842	0.8897305	0.8797653	0.94035614	0.89930236	0.52506113	0.811495	0.81454384	0.7069092	0.745816	0.83233964	0.69601387	0.72560155	0.75526595	0.800289	0.7036827	0.9028827	0.8642478	0.8570688	0.81674016	0.83753335	0.808602	0.7764449	0.74767655	0.8843803	0.8509851	0.78107107	0.82294583	0.9053528	0.90651137	0.8212162	0.8111748	0.880102	0.8195284	0.88699967	0.58257735	0.8746927	0.8179386	0.6569818	0.81423795	0.8146429	0.89711297	0.8111887	0.88401103	0.88210905	0.642138	0.901654	0.7656219	0.824169	0.74775845	0.7325324	0.74310464	0.7642833	0.74758387	0.83245003	0.8694763	0.6766689	0.685067	0.8616915	0.7141279	0.8477843	0.7970661	0.8174635	0.7665026	0.85917234	0.7213228	0.86924064	0.5095842	0.82846826	0.7521288	0.77945703	0.8053646
eerder/noun	0.74369216	0.8820985	0.8598429	0.78955853	0.0	0.8064058	0.73824245	0.7690629	0.8200292	0.8122822	0.92244285	0.8201887	0.79353756	0.8512004	0.8123528	0.82005465	0.840385	0.8553174	0.86523545	0.82328737	0.82582843	0.779618	0.82570446	0.8485304	0.7334626	0.8910973	0.7179582	0.8464083	0.857926	0.8304552	0.84637994	0.8612496	0.82728255	0.82140756	0.88245153	0.80933195	0.89220136	0.9042285	0.8233285	0.85735416	0.8810985	0.8742701	0.86299735	0.92223614	0.8879342	0.7900513	0.89106166	0.8102717	0.7872526	0.7986855	0.85174406	0.79961383	0.81807196	0.8215704	0.8094034	0.89584005	0.80048275	0.84692967	0.7878544	0.7959432	0.8209931	0.8793254	0.83014876	0.8916098	0.7722416	0.82925665	0.81266606	0.7294285	0.6929115	0.74034315	0.82193947	0.8983304	0.85742474	0.7132286	0.8850962	0.891453	0.83263457	0.83710295	0.8381932	0.8438424	0.8244123	0.9266832	0.8664818	0.92163527	0.80799794	0.7901573	0.7725817	0.81636286	0.8084961	0.8701184	0.8776659	0.8809306	0.83094245	0.8835044	0.8142177	0.8161907	0.86041504	0.90069336	0.6935823	0.7146484	0.8616395	0.83316064	0.8314044	0.8791041	0.71979415	0.8806918	0.77940124	0.800681	0.85652673	0.7621117	0.85000134	0.69699	0.82121575	0.8398747	0.8111247	0.82218504	0.8076615	0.8364921	0.7957896	0.65653145	0.8705031	0.72481036	0.7353784	0.85127723	0.8351972	0.872474	0.75978786	0.7095286	0.86912024	0.8768005
voor/comp	0.89758563	0.9149698	0.8316076	0.79314995	0.8064058	0.0	0.8835697	0.83573055	0.92269194	0.8570336	0.7537439	0.7934346	0.93631685	0.93103445	0.8631669	0.8197175	0.69098294	0.89867425	0.8967062	0.86604285	0.8617507	0.6834298	0.8912625	0.92764133	0.89674485	0.895476	0.5997218	0.7885488	0.8825757	0.77588886	0.9079542	0.6647976	0.90064836	0.8990287	0.9003748	0.8947099	0.8196147	0.79801625	0.89010423	0.6744194	0.8846778	0.8509606	0.9368347	0.7429459	0.89361995	0.8088954	0.7957541	0.90590227	0.9209053	0.83137965	0.91981584	0.8583595	0.8838924	0.62300646	0.6156179	0.8743271	0.8665154	0.6591694	0.82219636	0.91077685	0.85482574	0.9330983	0.82620823	0.7236438	0.9127447	0.83298135	0.7566634	0.70626056	0.9111001	0.6642792	0.8689611	0.89842016	0.90437657	0.86054265	0.9374564	0.92260313	0.9095459	0.88089395	0.8445271	0.73563135	0.7818722	0.73928106	0.93736655	0.9069095	0.82328266	0.8967882	0.75274014	0.85743725	0.8942486	0.92286533	0.91373765	0.75665677	0.902807	0.6766817	0.8717782	0.8995075	0.6561964	0.8520192	0.913463	0.94063646	0.91593766	0.8877241	0.8994826	0.81647116	0.85347104	0.8066013	0.7407971	0.8962357	0.85636836	0.7002934	0.922184	0.9000448	0.8955479	0.8557033	0.62107956	0.5879872	0.9091259	0.82989025	0.90849394	0.90271	0.81706804	0.9176666	0.86364675	0.84780693	0.8492018	0.76230854	0.890683	0.8900727	0.73849344	0.83347857
voetbal_bond/noun	0.7178205	0.8760854	0.89377433	0.762499	0.73824245	0.8835697	0.0	0.8636986	0.88214266	0.87985873	0.93528455	0.8450176	0.74341	0.8471689	0.8601408	0.8492186	0.8006305	0.8635808	0.8302787	0.8712673	0.7845858	0.8797669	0.7919863	0.8029926	0.6638011	0.8742814	0.8057761	0.90075487	0.83133954	0.8520167	0.8822921	0.87753636	0.73356616	0.874622	0.90983	0.8852319	0.88472897	0.8881706	0.8261496	0.9139655	0.76012015	0.8940377	0.8093106	0.9447305	0.9176532	0.8565792	0.88483924	0.8342342	0.8540144	0.86440164	0.9308349	0.85111475	0.8617592	0.85366	0.7764678	0.8886176	0.8868041	0.91588324	0.8310532	0.81331336	0.86316633	0.87979394	0.918144	0.8927934	0.87877053	0.82744384	0.87309253	0.7859377	0.8358405	0.7797652	0.8523909	0.84679013	0.8889605	0.64089346	0.8713339	0.9159175	0.8340086	0.8958379	0.9221244	0.91548187	0.84086126	0.9461277	0.90870583	0.8069515	0.87949	0.8427636	0.87354183	0.90887946	0.9160048	0.7915722	0.643692	0.8544513	0.7769276	0.86505485	0.85617054	0.88292265	0.8582836	0.8981269	0.84866315	0.82412654	0.87972504	0.865783	0.8539652	0.80678344	0.8654934	0.8585317	0.865055	0.7936386	0.7675179	0.8429095	0.8845241	0.7663295	0.57531136	0.88747174	0.8423728	0.81354654	0.80723476	0.87317353	0.85535514	0.76846755	0.9240396	0.79892254	0.73687816	0.8818155	0.87294	0.8228893	0.78093964	0.7657262	0.88929445	0.91202074
keer/adv	0.87872016	0.9235107	0.8580996	0.7861149	0.7690629	0.83573055	0.8636986	0.0	0.92332757	0.9050858	0.8475318	0.7859429	0.8736442	0.8976142	0.9066723	0.88219327	0.8023125	0.8831061	0.9001118	0.87775147	0.87017363	0.87426305	0.87964475	0.9117739	0.89709073	0.89664483	0.67425096	0.8620781	0.9160049	0.79100615	0.9019424	0.8543557	0.90223837	0.8616612	0.9222394	0.87435967	0.9189271	0.88952565	0.9187783	0.8244863	0.9188421	0.86980855	0.94893575	0.9117635	0.8677822	0.81484544	0.9128897	0.9281419	0.8354075	0.8199369	0.88915694	0.86105525	0.8885648	0.71133673	0.7792655	0.91757286	0.8558662	0.781056	0.75845426	0.93228054	0.9238831	0.9187026	0.94057584	0.8319981	0.86043453	0.8496523	0.7778066	0.7195596	0.88504636	0.80071676	0.7681801	0.90768415	0.9151778	0.83806837	0.9071369	0.8969097	0.8814461	0.9225601	0.831988	0.81584513	0.83300185	0.8424406	0.9258113	0.9304137	0.8408687	0.9096719	0.83799845	0.915309	0.88257253	0.91926354	0.9094799	0.8625577	0.9139901	0.79853827	0.85725874	0.8863323	0.80076617	0.91641825	0.8709067	0.876104	0.8876003	0.8411657	0.86719507	0.8876941	0.9120254	0.84599745	0.81526136	0.837106	0.8800596	0.7849674	0.91676235	0.804265	0.9012413	0.8648399	0.7552933	0.78208005	0.9023423	0.79838806	0.8545648	0.8599571	0.8871354	0.8791356	0.84895676	0.77448356	0.8898986	0.78484076	0.84311223	0.8811878	0.8491147	0.90139586
activiteit/noun	0.7249787	0.82036424	0.8305087	0.7762079	0.8200292	0.92269194	0.88214266	0.92332757	0.0	0.85488844	0.9167411	0.7711328	0.5663523	0.7638729	0.75147927	0.7834033	0.7595337	0.8209905	0.80852336	0.7857841	0.79319215	0.8836033	0.7460525	0.8684355	0.7274245	0.78698254	0.8543694	0.88035744	0.8503898	0.8250223	0.58166504	0.8937539	0.9124435	0.82054937	0.90074074	0.72414255	0.90316427	0.82273376	0.7762883	0.8786875	0.77842045	0.8757486	0.7401238	0.8815464	0.82703865	0.7367355	0.7783339	0.7844826	0.76078886	0.7467706	0.7215794	0.82221884	0.7036284	0.8734995	0.7974433	0.67180014	0.8062984	0.90435857	0.6978321	0.7006422	0.7238935	0.9222346	0.88844204	0.8554168	0.7574527	0.82109714	0.76301247	0.8590751	0.74787486	0.79775596	0.8191399	0.75629634	0.7281562	0.7977021	0.93454075	0.84426236	0.7103228	0.58499515	0.81589717	0.84279513	0.75916165	0.88686824	0.74732757	0.8353809	0.88161755	0.7359461	0.8665904	0.861303	0.69170743	0.674713	0.8849802	0.87830156	0.86804974	0.8548558	0.8807676	0.7133093	0.7513594	0.77644604	0.77201706	0.84465814	0.7160468	0.9355884	0.8460269	0.8425294	0.8738861	0.8411281	0.8768568	0.68141055	0.7360769	0.9078302	0.6047977	0.85946524	0.82729083	0.88559604	0.83124006	0.89344746	0.7911285	0.77092737	0.82124424	0.6812612	0.7586963	0.5525771	0.84975016	0.90147495	0.8652591	0.8440569	0.71970177	0.5641279	0.8221448	0.7353027
dochter/noun	0.7652368	0.9354098	0.9346519	0.91829926	0.8122822	0.8570336	0.87985873	0.9050858	0.85488844	0.0	0.9302494	0.8901074	0.91288275	0.8995444	0.7987342	0.89386487	0.90606403	0.90898263	0.93069917	0.93445706	0.8700946	0.8798579	0.86966556	0.87749314	0.78451365	0.84023553	0.82097876	0.91708946	0.89936787	0.91597366	0.86074615	0.91235864	0.9563344	0.94389904	0.9419064	0.9064924	0.9436661	0.9419908	0.85387146	0.9382115	0.8881732	0.9014951	0.87920344	0.92499787	0.88355005	0.7335076	0.92129475	0.8021202	0.9210361	0.9050072	0.8380157	0.8625761	0.8206435	0.749972	0.9200849	0.9283212	0.8480221	0.9145176	0.9101855	0.7398969	0.84901285	0.9186131	0.8407868	0.9415044	0.89747596	0.9161253	0.934203	0.91284347	0.8068737	0.8084776	0.9292462	0.9439521	0.8439406	0.866213	0.9129936	0.8896307	0.8501657	0.9091976	0.9068277	0.80571634	0.92954177	0.90107644	0.9349511	0.94243354	0.8936213	0.8547724	0.8265531	0.856941	0.93910515	0.88714397	0.9347062	0.9134806	0.82708424	0.9030645	0.83044726	0.88128585	0.9181442	0.9192108	0.8174224	0.73931026	0.8968782	0.8852634	0.9048973	0.95239836	0.8464592	0.96728253	0.8550053	0.8259766	0.90334	0.8878541	0.93589735	0.8477473	0.879379	0.94003093	0.8785546	0.90383685	0.8307632	0.89778924	0.8322568	0.7826269	0.9449486	0.8046498	0.85704005	0.88539743	0.9148771	0.89919573	0.7872951	0.7922102	0.94736457	0.9233455
