	eind/adv	immers/adv	elektricien/noun	word/verb	plein/noun	bekom/verb	schepen/noun	carrière/noun	stadion/noun	mag/verb	aantal/noun	afgelopen/adj	16/noun	aanpak/noun	daar/adv	daarentegen/adv	dank/verb	eerder/noun	stap_af/verb	stelling/noun	mei/noun	schepen_college/noun	vrijdag/noun	Genkse/adj	gisteren/adv	burgemeester/noun	sociaal-democraat/noun	ere_podium/noun	jaarlijks/adj	diner/noun	ere_titel/noun	inwoner/noun	namelijk/adv	mening/noun	totnogtoe/adv	ook/adv	onderscheiding/noun	Ier/noun	persoonlijk/adv	maand_blad/noun	samenleving/noun	tegelijk/adj	Belgisch/adj	louter/adj	al/adv	nieuw/adj	passend/adj	sporter/noun	stad_bestuur/noun	dans/noun	kampioen/noun	campus/noun	stad/noun	winnares/noun	ingebruikname/noun	medaille/noun	sporthal/noun	9/noun	strijdlustig/adj	gesneuveld/adj	volg/adj	Frans/adj	weekend/noun	waarde/noun	be/noun	goed/adj	drager/noun	meest/adj	Brugse/adj	wetenschapper/noun	ondernemer/noun	voortaan/adv	morgenavond/adv	nationaal/adj	decennium/noun	vrijwilliger/noun	wedstrijd/noun	strategie/noun	jong/adj	gemeente_bestuur/noun	vasten/noun	premier/noun	minstens/adv	succesvol/adj	credo/noun	ploeg_makker/noun	2003/noun	vier/verb	maart/noun	helder/adj	ploeg/noun	sport_raad/noun	begrip/noun	bovendien/adv	u/noun	filosofie/noun	filosoof/noun	inzicht/noun	ga_op/verb	bewogen/adj	ere_burger/noun	jaar/noun	uur/noun	visie/noun	start/adj	numerus/noun	openbaar/noun	wereldbeker/noun	Oudenaardse/adj	reder/noun	rij/noun	opvatting/noun	sport_mens/noun	laureaat/noun	decor/noun	gisteravond/adv	misvatting/noun	vader/noun	Thais/adj	laat/verb	Sint-Niklase/adj	gereformeerd/adj	donderdag/noun	titel/noun	groente/noun	vrijwilliger_werk/noun	inzet/noun	eerst/adj	lid/noun	provincie/noun	winnaar/noun	nerveus/adj	eigenaardig/adj	genodigd/adj	ander/adj	verkoudheid/noun	idioot/adj	steeds/adv	minister/noun	kennelijk/adj	legislatuur/noun	muzikaal/adj	principe/noun	ideaal/noun	supporter/noun	kommer/noun	dienst/noun	loopbaan/noun	duidelijkheid/noun	yoga/noun	never/noun	vorig/adj	Spanjaard/noun	muze/noun	parool/noun	sterf_dag/noun	midden_stip/noun	stadhuis/noun	eind_winnaar/noun	briljant/adj	keer/noun	Ninoofse/adj	burgerlijk/adj	feest_zaal/noun	junior/noun	lang/adj	tienjarige/adj	gelovig/adj	waar/adv	seizoen/noun	persoon/noun	verdrijving/noun	aanvankelijk/adj	beeldhouwer/noun	behaal/verb	blijkbaar/adj	in/adj	indrukwekkend/adj	sport_laureaat/noun	reflex/noun	verdienstelijk/adj	aanvang/noun	standpunt/noun	week/noun	7/noun	voorzitter/noun	gemeente/noun	omroep/noun	neem_plaats/verb	drie/noun	officieel/adj	lijst/noun	restaurant/noun	traditie/noun	kring/noun	loos/adj	overtuiging/noun	simplistisch/adj	top_schutter/noun	judoka/noun
eind/adv	0.0	0.8120486	0.86244094	0.7045953	0.8602002	0.83278096	0.8203339	0.87341285	0.84911215	0.87592006	0.8424345	0.80166584	0.5824535	0.9346508	0.86868143	0.90845644	0.95048076	0.7549189	0.8831003	0.91215646	0.58173895	0.65962666	0.6615387	0.82203436	0.71034366	0.80289733	0.8884804	0.93278825	0.76387984	0.8943328	0.8944233	0.8304277	0.8755017	0.9458646	0.78713953	0.91689885	0.8962549	0.8998567	0.8475784	0.8590537	0.9603929	0.884386	0.8126906	0.93286115	0.72806764	0.7615874	0.90029025	0.9146526	0.66619825	0.9499167	0.84337604	0.77915764	0.82744306	0.84757423	0.72562325	0.9048472	0.75376004	0.61289585	0.9071828	0.89885885	0.56871605	0.88347024	0.6899245	0.9372518	0.93993187	0.93000895	0.93003726	0.94015056	0.7843869	0.9146343	0.8990174	0.8036778	0.79476595	0.8611594	0.8741197	0.86904436	0.85600895	0.90254855	0.9243239	0.71133006	0.9136409	0.8580824	0.80944955	0.8431149	0.9143385	0.9122653	0.47691566	0.77591026	0.54588467	0.9592515	0.872512	0.7844994	0.945991	0.88839805	0.907483	0.9447533	0.9209654	0.954642	0.9342941	0.8746197	0.8281201	0.66736495	0.83050764	0.93470967	0.87732625	0.9105568	0.92098206	0.8580744	0.792537	0.87180907	0.928704	0.96503305	0.94909275	0.79219794	0.92400676	0.782054	0.9500086	0.9210783	0.8778183	0.9045609	0.7770208	0.9325777	0.6593088	0.8724818	0.96469194	0.8967912	0.93778485	0.69863856	0.8329109	0.8120007	0.8562614	0.9415819	0.9076769	0.87147486	0.9459287	0.9092551	0.93035674	0.9385959	0.8607462	0.9586912	0.7069675	0.9360703	0.8743005	0.95300186	0.8955474	0.9177916	0.83736765	0.8601487	0.83569604	0.91997355	0.9574879	0.54443574	0.92900586	0.92353433	0.8956164	0.8199049	0.9337691	0.7824432	0.86551887	0.9384012	0.8801001	0.7940688	0.8755311	0.78559613	0.84548867	0.8957147	0.85914236	0.9386566	0.8812937	0.7876807	0.8899767	0.9239078	0.8536141	0.8863667	0.83679247	0.9182587	0.929803	0.9156249	0.846628	0.92469573	0.8673196	0.8100241	0.8870427	0.6546774	0.60399497	0.8465595	0.78587806	0.87846965	0.90978634	0.887275	0.6819215	0.84625876	0.8875525	0.9423149	0.9062823	0.91914034	0.964456	0.96015686	0.8828828	0.8770116
immers/adv	0.8120486	0.0	0.86221457	0.68669415	0.82302594	0.76691234	0.891513	0.8523124	0.83714545	0.6876355	0.7382551	0.8429678	0.90936834	0.75868666	0.78075945	0.6412518	0.8370518	0.83239156	0.8062356	0.77893794	0.9007807	0.76313555	0.90905	0.79637647	0.84878147	0.88819975	0.7717662	0.8691515	0.7789598	0.85778373	0.82700497	0.808643	0.3753062	0.7799159	0.6152425	0.64910126	0.843997	0.85322344	0.7908531	0.8524958	0.7060114	0.69250417	0.7803447	0.7156056	0.7043725	0.7389648	0.7678696	0.7047988	0.73783803	0.88060635	0.8575805	0.814105	0.790005	0.87705296	0.83317435	0.86418	0.8290031	0.9228581	0.8357754	0.8509905	0.78709716	0.8776174	0.7742499	0.7365955	0.89069533	0.7485496	0.7375709	0.7370559	0.8322711	0.76237893	0.7087404	0.5951866	0.8128109	0.76141185	0.7438039	0.7709972	0.770194	0.7269498	0.8300512	0.73758125	0.8320209	0.89340806	0.77530235	0.81016314	0.81378406	0.8560159	0.81493366	0.87938005	0.9054964	0.7887931	0.724774	0.8187467	0.7499173	0.38423598	0.9042786	0.7818545	0.8847627	0.72519946	0.85079575	0.82704055	0.88917303	0.8523946	0.92497635	0.75604427	0.7417113	0.85859805	0.81196475	0.86446923	0.83463603	0.76143634	0.85008585	0.7261572	0.78910553	0.86091584	0.816888	0.85361683	0.7571253	0.90519345	0.81802744	0.8026844	0.7998166	0.82829934	0.9070977	0.835223	0.82431906	0.72980857	0.7750429	0.86200947	0.8515241	0.78180444	0.84381104	0.8195089	0.7523014	0.79968953	0.7548766	0.7625098	0.78274775	0.6614808	0.90595317	0.66032445	0.7409799	0.79890156	0.6089635	0.7602442	0.81458366	0.83651793	0.787274	0.8530922	0.78261805	0.84750664	0.92810863	0.81966156	0.8427005	0.8556567	0.8593584	0.9099973	0.90694493	0.8627569	0.8884282	0.8498668	0.8344403	0.8120656	0.79198205	0.85656655	0.8823745	0.8067217	0.84804523	0.7368792	0.7858895	0.792981	0.789001	0.8730849	0.7093368	0.87497705	0.8341373	0.6172521	0.78696865	0.8284676	0.9025443	0.76827574	0.8073213	0.8690666	0.77428854	0.81706876	0.924285	0.9306076	0.707905	0.7552142	0.87669146	0.8526866	0.77717125	0.80178285	0.876927	0.7778762	0.8044577	0.78294647	0.73620474	0.79616845	0.8501333	0.79352486
elektricien/noun	0.86244094	0.86221457	0.0	0.856639	0.8803962	0.87523174	0.8774809	0.86561763	0.8987492	0.8708279	0.8915458	0.90990996	0.8998886	0.9335332	0.84084535	0.88095105	0.90388364	0.88611746	0.85817015	0.9158584	0.90117675	0.8877983	0.8995254	0.83207726	0.8705282	0.85586965	0.90430605	0.8929045	0.87105125	0.88562727	0.90411854	0.8468025	0.86350214	0.91856205	0.86824256	0.8721697	0.8880248	0.89132285	0.8705646	0.9092002	0.9256867	0.87236047	0.86618686	0.88937086	0.86497134	0.8886752	0.8892899	0.864861	0.8710605	0.9155339	0.88813436	0.8616951	0.85372597	0.8987328	0.89491487	0.8864169	0.87562025	0.90179217	0.8957482	0.8683486	0.916562	0.8525238	0.88187295	0.92005336	0.91767573	0.8963108	0.8719262	0.8971899	0.8534167	0.85705936	0.8175222	0.8511564	0.8895236	0.91865796	0.9056356	0.8261914	0.9073637	0.931589	0.83969074	0.8721694	0.90105844	0.9126252	0.87656885	0.8916816	0.8674866	0.8673452	0.89369637	0.88521945	0.89382714	0.93300855	0.8940677	0.8841473	0.93259054	0.86437565	0.90417457	0.89334357	0.83345723	0.9369368	0.897446	0.8762977	0.85750234	0.8655893	0.9022673	0.92626494	0.8396416	0.9296628	0.90840006	0.9093777	0.8330518	0.8596268	0.92257994	0.9290124	0.8732211	0.8563091	0.9039513	0.88663995	0.89665264	0.7736348	0.8780356	0.88984203	0.84511137	0.8626996	0.88934666	0.91871065	0.9031125	0.8634201	0.9129424	0.89885527	0.8775338	0.8888236	0.90155673	0.8966649	0.91072816	0.8587573	0.89636534	0.897306	0.89226466	0.90313375	0.92077684	0.88167906	0.9134381	0.8880555	0.9261536	0.90802836	0.88678473	0.91014665	0.85220134	0.86128867	0.9234311	0.9076308	0.9467111	0.8943718	0.89300925	0.87563586	0.899175	0.8992374	0.91795474	0.8714063	0.904653	0.87602067	0.892762	0.85681975	0.8619844	0.85943776	0.9010372	0.89348096	0.84779227	0.88714826	0.8221089	0.9052088	0.8581526	0.90486896	0.8866995	0.79835284	0.8816149	0.88070685	0.9174398	0.8984454	0.9409516	0.90685916	0.8741006	0.929673	0.93959576	0.8872518	0.9020182	0.85622174	0.8688305	0.8997065	0.8611952	0.8802855	0.9015631	0.93905747	0.8489492	0.92582077	0.90834975	0.8855889	0.91354823	0.9272539	0.8693479	0.8667671
word/verb	0.7045953	0.68669415	0.856639	0.0	0.79643345	0.8362284	0.8538011	0.8568107	0.8410068	0.6779508	0.74024975	0.8029201	0.806872	0.8123366	0.8035047	0.7953503	0.9335929	0.71457005	0.82244533	0.79419816	0.7828026	0.6877874	0.79562104	0.7775698	0.77194977	0.8447731	0.8089969	0.8904629	0.76707816	0.8214005	0.85315424	0.8364725	0.69391763	0.8606385	0.72306603	0.76245224	0.84560984	0.8405199	0.7347294	0.8245883	0.81011087	0.7218999	0.8647174	0.79967135	0.77257097	0.7551556	0.7666396	0.7373681	0.6867528	0.883348	0.8985067	0.7937413	0.8027681	0.8675424	0.80676526	0.8864994	0.80481434	0.8256212	0.85880333	0.8020493	0.7655528	0.8817942	0.8074018	0.8408691	0.89255154	0.8510217	0.77361596	0.85129863	0.79499805	0.7665814	0.76504344	0.61318207	0.83050835	0.859048	0.8254456	0.7592046	0.8468141	0.79167545	0.86962765	0.66222715	0.84060466	0.83104706	0.8008544	0.8508207	0.84587055	0.8838295	0.72464716	0.8739124	0.76757187	0.84587806	0.8668083	0.7734139	0.8611048	0.6321593	0.9148437	0.8590923	0.879174	0.82797736	0.8629079	0.8736514	0.85727906	0.83243024	0.84654284	0.84748673	0.7905669	0.85579646	0.76815706	0.88054466	0.7880614	0.7728219	0.8900041	0.8374178	0.85012436	0.82099605	0.84879625	0.79120415	0.84305465	0.830045	0.7824859	0.7529343	0.7727483	0.8519793	0.7716445	0.8822502	0.84667623	0.78619146	0.8544987	0.7828731	0.85525143	0.7733119	0.859915	0.85963297	0.8383407	0.79545516	0.81170774	0.7978366	0.81671804	0.77455056	0.874632	0.8135192	0.7587567	0.8587294	0.75479376	0.84196955	0.8288754	0.8935246	0.792101	0.8324032	0.83955437	0.8692235	0.927175	0.7636981	0.84317285	0.8544416	0.8529086	0.86627537	0.88654673	0.8330776	0.8998393	0.8810576	0.82738364	0.79970914	0.80631053	0.80177724	0.9044262	0.85283256	0.8186364	0.7921644	0.8190674	0.8713876	0.6900027	0.8625318	0.78772706	0.87440383	0.9081737	0.8440304	0.8541607	0.8579417	0.88935626	0.81546056	0.85800767	0.8668264	0.81592864	0.7652125	0.8249443	0.9217255	0.6758575	0.75976413	0.85933936	0.81464946	0.71630085	0.7629384	0.85093343	0.8580787	0.81734633	0.82077163	0.84854025	0.8472893	0.90905046	0.82568735
plein/noun	0.8602002	0.82302594	0.8803962	0.79643345	0.0	0.8628132	0.88709944	0.9224224	0.61277634	0.87614846	0.87465584	0.9131352	0.8690585	0.91583186	0.7221143	0.8864062	0.93581545	0.9034076	0.8228922	0.8775433	0.907452	0.82351357	0.9089984	0.8184895	0.89119023	0.89966553	0.90618324	0.8731098	0.8667574	0.7763064	0.90579665	0.8203543	0.8506727	0.92755294	0.8800903	0.8789966	0.9086802	0.919702	0.90355587	0.9007573	0.8615433	0.79347646	0.9112001	0.9003348	0.90643054	0.78851485	0.8316743	0.88427573	0.7585037	0.84248674	0.96039563	0.6626673	0.57170963	0.9394404	0.7921973	0.92136645	0.6302308	0.88060266	0.8986749	0.82449985	0.88325256	0.90881634	0.80861706	0.9308408	0.9044617	0.914434	0.8410716	0.8808194	0.7580279	0.91539395	0.8689465	0.78251684	0.84303975	0.90215534	0.87145317	0.84120584	0.9133947	0.9337028	0.9103024	0.7679768	0.9241845	0.95682085	0.9112115	0.9154417	0.88429224	0.9430793	0.90578175	0.8635746	0.91254	0.866207	0.90854466	0.8639139	0.89847773	0.81240726	0.91549665	0.89855945	0.92128605	0.9169404	0.8100556	0.8847964	0.8886167	0.9285935	0.85393834	0.89429384	0.876901	0.9547887	0.9019122	0.9178901	0.8133451	0.8785919	0.8173034	0.90020645	0.91880023	0.8818705	0.64658093	0.8513981	0.89564335	0.9371371	0.8409336	0.8772294	0.7267058	0.86655545	0.9130716	0.92659795	0.88646674	0.8918397	0.9174526	0.9211228	0.91413623	0.84036463	0.95124084	0.8755204	0.8628024	0.73195934	0.8480849	0.9170891	0.8807927	0.8661429	0.97001	0.91586316	0.86069727	0.83806574	0.9062983	0.8702101	0.841661	0.9285259	0.8545114	0.92027843	0.9303197	0.891479	0.9521482	0.9293891	0.90232015	0.8617577	0.93375796	0.8952268	0.82643175	0.5864595	0.9320072	0.8913199	0.93571246	0.7878363	0.88917816	0.62409794	0.9485332	0.89855075	0.8874178	0.8402226	0.6224633	0.91950136	0.9002961	0.9237306	0.8915459	0.82758904	0.95828056	0.91993386	0.9157661	0.7539622	0.9110254	0.90203035	0.9153964	0.86551476	0.92129767	0.9134418	0.8939873	0.94767326	0.78721046	0.90125686	0.76507264	0.8707554	0.85433406	0.85312724	0.62694335	0.8859461	0.85986394	0.8823274	0.92528135	0.9460631	0.94319445	0.9117572
bekom/verb	0.83278096	0.76691234	0.87523174	0.8362284	0.8628132	0.0	0.83753234	0.91630274	0.87819606	0.8186774	0.82338077	0.9163555	0.8767451	0.8875506	0.8792675	0.82987803	0.8594323	0.88695127	0.79472977	0.8760383	0.90627813	0.7440407	0.8932986	0.8069073	0.8403194	0.84419215	0.8755644	0.93030053	0.8423183	0.8514473	0.8788317	0.81917465	0.81975627	0.89072	0.7744001	0.8322439	0.87712055	0.8928449	0.8422039	0.8963387	0.8870908	0.85557115	0.82143426	0.8496633	0.86157775	0.801308	0.8030005	0.84751546	0.73012364	0.8909948	0.8848586	0.83629483	0.8471033	0.9063283	0.86537933	0.91103154	0.83384997	0.8893981	0.87464005	0.904656	0.8606752	0.88864434	0.841771	0.8863431	0.91050667	0.8732636	0.8604437	0.8857528	0.7941291	0.89693606	0.8176397	0.72534347	0.8442197	0.86850274	0.90354127	0.8285134	0.86447126	0.87910503	0.9084645	0.71819806	0.9080773	0.905118	0.82791865	0.89572567	0.88032305	0.8853604	0.87724006	0.85393083	0.89982307	0.8716777	0.8460791	0.7885973	0.8633833	0.78142893	0.8847139	0.89593077	0.9122017	0.8625245	0.8716866	0.86804307	0.870762	0.9118575	0.8625702	0.8985517	0.8485719	0.9013015	0.88985676	0.9136734	0.81352353	0.83889234	0.9116463	0.8948916	0.9102731	0.836812	0.87787575	0.86385125	0.89601904	0.9185063	0.8670713	0.863097	0.7810929	0.8947318	0.8858696	0.90705216	0.8649439	0.82947654	0.8641325	0.94560206	0.88477385	0.82591385	0.8840761	0.88631415	0.8525485	0.85132015	0.8710859	0.881036	0.87002796	0.8904823	0.8882801	0.88053423	0.825992	0.87156177	0.8293524	0.9034982	0.85868734	0.92390335	0.762288	0.9004263	0.81137764	0.8517978	0.9627213	0.8972283	0.90866077	0.9104791	0.9118334	0.9352692	0.9322019	0.8238895	0.9263657	0.89942616	0.90932137	0.7861064	0.7847373	0.81491673	0.9005766	0.898248	0.87781847	0.901556	0.86796594	0.8588905	0.83077526	0.935191	0.84473884	0.8933355	0.84265864	0.82270515	0.8623332	0.8853123	0.903972	0.8808484	0.8416647	0.8547336	0.8563595	0.85602945	0.89892125	0.8570806	0.73538804	0.87410563	0.8601699	0.87985206	0.8199347	0.87023354	0.8672228	0.9016718	0.87696403	0.8765577	0.8938587	0.89379865	0.8767708	0.8636854
schepen/noun	0.8203339	0.891513	0.8774809	0.8538011	0.88709944	0.83753234	0.0	0.94917333	0.9220354	0.9337003	0.93668175	0.9661481	0.9226354	0.9256611	0.94860685	0.90665084	0.93345535	0.89185727	0.8729911	0.868688	0.9295218	0.6132503	0.90396523	0.7746005	0.72207063	0.32836282	0.8632511	0.9478338	0.9139049	0.9295791	0.8398436	0.87882084	0.93855333	0.91520953	0.8355028	0.92250776	0.8825866	0.88715315	0.81820583	0.89647305	0.9392989	0.91220754	0.8450853	0.93931764	0.95130616	0.8688885	0.9103058	0.9413886	0.6750061	0.9514321	0.8340264	0.8178297	0.8518871	0.89086884	0.8664732	0.92586493	0.8494559	0.9373748	0.8048821	0.9250354	0.89556617	0.82305926	0.89129484	0.95446765	0.9389021	0.95005924	0.91731125	0.9653996	0.6895449	0.9051652	0.880579	0.80703145	0.85631037	0.8948866	0.96081114	0.8985913	0.96067595	0.9064796	0.9387521	0.70181644	0.9661632	0.78580636	0.9608623	0.9562352	0.90417206	0.7512215	0.914754	0.85008854	0.93574655	0.9537652	0.89946496	0.71570575	0.9367296	0.89140546	0.90696317	0.9171862	0.76144713	0.9644762	0.9649734	0.8801409	0.69278103	0.97093	0.96130884	0.88701504	0.9302049	0.93140745	0.9155705	0.9319881	0.72270787	0.86111873	0.9590136	0.94491047	0.94506013	0.67568386	0.93618506	0.79979324	0.9452782	0.7924687	0.91283405	0.931992	0.6913192	0.91434	0.89273393	0.9297404	0.9610424	0.91198504	0.94851667	0.9634692	0.87240493	0.8255734	0.85183674	0.941636	0.90852064	0.8745773	0.94913846	0.95337397	0.93740016	0.9607559	0.5575774	0.9623579	0.681722	0.9290493	0.91871446	0.9487743	0.9174547	0.94418734	0.8080268	0.91465294	0.9059801	0.9475026	0.9545357	0.9046627	0.9163981	0.8914821	0.9545189	0.9317803	0.96386945	0.7604255	0.85458726	0.90378875	0.976621	0.7455083	0.8241816	0.83569336	0.7987341	0.9789499	0.8872565	0.9403246	0.9381856	0.9285433	0.94154257	0.969082	0.9141221	0.7082303	0.90922594	0.92521524	0.97595966	0.9468921	0.8375253	0.90856165	0.80748785	0.9068917	0.82408285	0.92510366	0.9289058	0.45581806	0.77851695	0.90892726	0.8820355	0.93873394	0.8668118	0.8278376	0.92979527	0.9501725	0.91832703	0.91982925	0.94234574	0.9330233	0.7769473	0.8676275
carrière/noun	0.87341285	0.8523124	0.86561763	0.8568107	0.9224224	0.91630274	0.94917333	0.0	0.89419466	0.876118	0.8966625	0.8597452	0.93124264	0.8531803	0.9141939	0.864138	0.84113747	0.87953174	0.8844625	0.87070704	0.91049385	0.9488886	0.941217	0.8691292	0.8804205	0.9439153	0.87987334	0.8492169	0.905972	0.85232306	0.8575963	0.9455255	0.8761003	0.8909348	0.83427143	0.8790378	0.7889923	0.88832223	0.8477988	0.87559485	0.8874447	0.8419014	0.83970666	0.8173714	0.78363776	0.867152	0.87420505	0.81498456	0.9310506	0.87599295	0.8427813	0.91348225	0.91657853	0.84398735	0.92342395	0.8275073	0.94011754	0.943091	0.86601245	0.9235774	0.819509	0.8686906	0.8236418	0.91226274	0.91650194	0.81918436	0.8779649	0.822725	0.89396834	0.86221796	0.85270035	0.91732836	0.85498476	0.86082006	0.74336857	0.8851182	0.79077893	0.8261051	0.7905571	0.92832613	0.8374512	0.9211021	0.8879354	0.6764692	0.82127464	0.8690533	0.8782178	0.8595109	0.9072675	0.88444614	0.81447434	0.9106493	0.9100623	0.88405824	0.9231608	0.84467053	0.8565092	0.8496739	0.91515285	0.71550965	0.8980026	0.79188913	0.9422211	0.8315247	0.88495207	0.95395494	0.901588	0.8378516	0.9014395	0.9098266	0.8203468	0.8590832	0.8640322	0.85508525	0.82914615	0.8829924	0.9061639	0.8297646	0.8972613	0.90374815	0.9045882	0.8823479	0.93427205	0.8101434	0.9538574	0.8602694	0.8398609	0.85127115	0.91788095	0.9394349	0.8709293	0.8587931	0.8703162	0.89379865	0.9170999	0.87182546	0.90311927	0.8775833	0.9599947	0.8977407	0.80232424	0.74388015	0.91761637	0.8153297	0.9037193	0.8799571	0.90834963	0.18560326	0.9313706	0.8888894	0.90361804	0.84024	0.87776417	0.84151894	0.92855895	0.859016	0.91511536	0.94255704	0.88918114	0.7613578	0.8486875	0.88497126	0.9118084	0.9223301	0.85049826	0.8562323	0.8225781	0.9220823	0.9136976	0.65329707	0.92616874	0.90829563	0.87005323	0.8343814	0.799139	0.9123088	0.936034	0.74061364	0.9176469	0.86696917	0.78813714	0.920157	0.8965765	0.81882435	0.95122516	0.9304465	0.9352647	0.9195023	0.88984126	0.9037038	0.9051411	0.89442277	0.93379074	0.7933066	0.8370572	0.90367335	0.8520944	0.9150996	0.8738935	0.8091505
stadion/noun	0.84911215	0.83714545	0.8987492	0.8410068	0.61277634	0.87819606	0.9220354	0.89419466	0.0	0.8339256	0.89440185	0.85780203	0.8352627	0.9152161	0.78889614	0.8435046	0.9094815	0.86778104	0.86372334	0.9227093	0.8776223	0.8631476	0.84921515	0.7500565	0.8199905	0.8921598	0.92987317	0.8400159	0.8383714	0.82722044	0.900159	0.8183095	0.8802666	0.9509855	0.85105383	0.9020417	0.89922124	0.85625935	0.8709248	0.9142307	0.9124327	0.8462159	0.84091806	0.9062037	0.8880068	0.8196726	0.8629978	0.8214547	0.79260975	0.90579337	0.72778606	0.691224	0.6733873	0.87825006	0.83352894	0.8427415	0.59460294	0.86710054	0.8741332	0.8665113	0.80348134	0.9046848	0.7675699	0.9385478	0.9173735	0.9035578	0.8862452	0.91204137	0.78711486	0.93637836	0.8808579	0.83336705	0.6451942	0.85050094	0.90848243	0.86332095	0.6504954	0.93673074	0.91790915	0.818052	0.9414807	0.9430155	0.8786355	0.86577547	0.88603115	0.88879865	0.8821101	0.80530906	0.8928399	0.9351344	0.70562136	0.84630126	0.94168806	0.85037327	0.83804256	0.9284285	0.95249504	0.9305747	0.8693825	0.8779494	0.8742338	0.91775936	0.8673851	0.92862135	0.86655474	0.9668779	0.9106449	0.8021157	0.8557596	0.86175656	0.8090227	0.94050133	0.9110148	0.8786955	0.7745349	0.6732292	0.9213797	0.9380008	0.8675669	0.89089143	0.826452	0.898397	0.8643406	0.83517355	0.93029267	0.91441095	0.8684332	0.868294	0.9137723	0.852542	0.87095547	0.849441	0.89840275	0.74316925	0.9168144	0.9339042	0.90437305	0.9080414	0.96410835	0.9287384	0.8899536	0.8834709	0.90882623	0.9038192	0.5276977	0.9126343	0.8775705	0.8586334	0.9234145	0.93835396	0.94796795	0.8412154	0.83593416	0.9043959	0.92345387	0.92299503	0.7545495	0.7003875	0.9198216	0.9124091	0.88907826	0.8371239	0.9263259	0.70543516	0.8905282	0.92164296	0.8997546	0.873317	0.7255051	0.71151614	0.88580173	0.93367004	0.88017917	0.894169	0.79854584	0.9093854	0.9329407	0.8384086	0.8975495	0.8982972	0.8419295	0.80961263	0.94027543	0.8505912	0.87163943	0.87655675	0.78436315	0.90500283	0.78064626	0.86776733	0.8499154	0.9096502	0.7606644	0.91581947	0.89086425	0.90284526	0.9125256	0.9587115	0.7951914	0.82817626
mag/verb	0.87592006	0.6876355	0.8708279	0.6779508	0.87614846	0.8186774	0.9337003	0.876118	0.8339256	0.0	0.8400199	0.90125406	0.90554565	0.897452	0.7024343	0.80617505	0.87071353	0.8529952	0.83319485	0.8709043	0.91310966	0.8423681	0.90492916	0.81654483	0.8668667	0.9104084	0.8655695	0.869388	0.83045906	0.83972186	0.8295009	0.8729076	0.70023155	0.84684956	0.7504817	0.66616476	0.8670974	0.8650042	0.76272196	0.8988054	0.88195705	0.80438423	0.8390722	0.8329349	0.8122188	0.8634516	0.82478464	0.7518991	0.8295614	0.9184049	0.8682713	0.8642468	0.8872635	0.87644595	0.900651	0.81393754	0.8786424	0.92585176	0.86499846	0.89018387	0.78778183	0.9230681	0.81417894	0.8795398	0.9076267	0.804451	0.8354575	0.85475934	0.86896986	0.85622865	0.8213974	0.6515292	0.79611325	0.84639305	0.8976025	0.8433186	0.7898942	0.8732863	0.872661	0.82891476	0.86333025	0.90573967	0.8363755	0.90503883	0.8449288	0.859263	0.884947	0.8737583	0.9217669	0.8995359	0.77410424	0.8707571	0.88212633	0.72266793	0.9128831	0.89384854	0.9135374	0.87032145	0.8811743	0.8929639	0.8984716	0.88395774	0.88468313	0.8982286	0.8301849	0.8930868	0.7503228	0.8562378	0.8541795	0.8497693	0.87487227	0.88189024	0.8592571	0.86102587	0.91308314	0.85476846	0.8510102	0.85630345	0.84446996	0.7092134	0.8248016	0.8795513	0.8922235	0.8357917	0.8594652	0.83879197	0.8525284	0.8300446	0.912656	0.88943565	0.869409	0.81444496	0.82324016	0.80413234	0.84887135	0.82901216	0.7960432	0.79694986	0.93730146	0.763974	0.86673117	0.89766264	0.75838035	0.85967815	0.7932451	0.85855305	0.8734138	0.86958265	0.84435	0.8765834	0.8780563	0.8722136	0.88428783	0.871221	0.8706428	0.93167543	0.8826168	0.8851785	0.90073025	0.8845938	0.791996	0.85720706	0.86806715	0.89224726	0.86899894	0.85816115	0.8720481	0.81075585	0.7973426	0.8071268	0.8233097	0.9038026	0.8059206	0.93199533	0.8717751	0.7487365	0.8359182	0.8875002	0.9205903	0.85898995	0.85071284	0.87740934	0.8627832	0.8151497	0.9334387	0.94272715	0.8042694	0.8430042	0.8337005	0.8464582	0.82183325	0.8688196	0.8877886	0.8844489	0.8723954	0.8355022	0.8207269	0.8614855	0.8672264	0.7819522
