	inhoud/noun	jurk/noun	stadion/noun	prachtig/adj	feestelijk/adj	scherm/noun	pantoffel/noun	vis/noun	substantie/noun	bij/noun	pasta/noun	vlak/noun	stoel_DIM/noun	vlag_DIM/noun	boei/noun	T-shirt/noun	bloedrood/adj	tegel/noun	minderheid/noun	bal_DIM/noun	tatoeages/noun	kip/noun	blok_DIM/noun	mascara/noun	oog/noun	op/adj	lingerie/noun	samenleving/noun	vredig/adj	knot_gek/adj	stuk/noun	versie/noun	straat_beeld/noun	smaak/noun	podium/noun	onder_klasse/noun	bril_DIM/noun	intens/adj	water/noun	letterlijk/adj	publiek/noun	streep/noun	potlood/noun	zand/noun	zangeres/noun	kop_DIM/noun	flard/noun	trui/noun	aquarel/noun	glas/noun	jongen/noun	sterk/adj	bovenlaag/noun	overhemd/noun	gevel/noun	kunstmatig/adj	unilateralisme/noun	bord_DIM/noun	kleding/noun	imago/noun	ding_DIM/noun	groot/adj	informatie/noun	tekst/noun	bruin/adj	zeil/noun	bont/adj	anders/adj	politiek/adj	erg/adj	geheel/adj	laan/noun	lijn/noun	kaart/noun	plastic/noun	gezien/adj	medemens/noun	matras/noun	episode/noun	variant/noun	tros/noun	thema/noun	tatoeage/noun	helder/adj	kaart_DIM/noun	vreemd/adj	begrip/noun	voetballer/noun	hemd/noun	vrouw/noun	bol_DIM/noun	Mechelaar/noun	thee/noun	trappenhuis/noun	vrolijk/adj	bril/noun	verhaal/noun	waarheid/noun	diamant/noun	visie/noun	plexiglas/noun	bevolking/noun	stip_DIM/noun	haar/noun	wereld/noun	haar/pron	papier/noun	lichtbruin/adj	vloeistof/noun	afval_water/noun	verschil/adj	links/adj	mens/noun	bord/noun	groente/noun	vrouw_DIM/noun	licht/adj	jas_DIM/noun	hagel_slag/noun	tamelijk/adj	doek/noun	ideologisch/adj	perspectief/noun	glas_DIM/noun	vlek/noun	ets/noun	melancholisch/adj	kamer/noun	licht/noun	huis/noun	bal/noun	geheugen/noun	ronde_DIM/noun	alge/noun	bliksem/noun	staaf_DIM/noun	baksteen/noun	hemel/noun	monster/noun	scheidsrechter/noun	sfeer/noun	ring/noun	regionaal/adj	huid/noun	ballon/noun	tol/noun	stap_pers/noun	genre/noun	contour/noun	kous/noun	cast/noun	fel/adj	portret/noun	opvallend/adj	grillig/adj	rechthoek/noun	standpunt/noun	beeld/noun	tint_DIM/noun	blad/noun	band_DIM/noun	lichaam/noun	barst_DIM/noun	veel/adj	bedevaart/noun	boot_DIM/noun	vleugel/noun	rood/adj	onderdaan/noun	voering/noun	rood_wit/adj	Frans/noun	huis_DIM/noun	berichtgeving/noun	glasplaat/noun	inkt/noun	noot/noun	zwart/adj	speler/noun	afkomst/noun
inhoud/noun	0.0	0.8504203	0.9203164	0.7886831	0.838073	0.8273287	0.88198227	0.84152406	0.7643025	0.82896835	0.8118905	0.7966664	0.8866926	0.8682976	0.8897698	0.8306684	0.90548986	0.85177857	0.8734791	0.84649676	0.8832857	0.8584903	0.80932975	0.9243206	0.87492204	0.8915626	0.8273967	0.7906666	0.8918076	0.9041736	0.783031	0.75232136	0.83058643	0.7293675	0.9024291	0.9242857	0.8978684	0.75736845	0.8291774	0.802551	0.8250614	0.9254749	0.83421755	0.84503615	0.8937793	0.8407818	0.795315	0.90100884	0.8264176	0.82104534	0.9149908	0.8181191	0.8945543	0.86480606	0.8556919	0.8393419	0.89520645	0.84136117	0.7260406	0.807931	0.8305417	0.8622736	0.6707884	0.60909706	0.8085099	0.870927	0.8209301	0.89225525	0.72353005	0.80581754	0.7476935	0.9107575	0.8542173	0.8715072	0.78375345	0.804348	0.8300258	0.85165155	0.79557955	0.7863757	0.85642	0.68418694	0.90357965	0.68649644	0.84208405	0.8529728	0.7510804	0.92554075	0.8680251	0.90866256	0.81176347	0.90731	0.8223889	0.9149893	0.80181295	0.81543475	0.7093256	0.7762387	0.8042112	0.6738107	0.8735439	0.87204456	0.91328824	0.8868732	0.85164803	0.8470889	0.72741157	0.8701607	0.7629377	0.87380373	0.73177826	0.865921	0.86979437	0.83710307	0.797909	0.8604537	0.83884674	0.8214473	0.9208617	0.7322022	0.79998004	0.7139879	0.7751869	0.87642205	0.84133834	0.82595897	0.8154758	0.88095963	0.87448436	0.91004	0.8995005	0.80188143	0.9114462	0.87927616	0.90019375	0.86892724	0.80628437	0.893694	0.7977371	0.907281	0.79132676	0.870359	0.8238126	0.8548507	0.82957757	0.88388026	0.9403973	0.7455011	0.77372897	0.8770231	0.81131077	0.8435561	0.8212635	0.77946156	0.7731262	0.9109187	0.7387098	0.7161985	0.81707007	0.7633271	0.81721264	0.8103941	0.95443	0.797777	0.892782	0.9000993	0.87500715	0.8785518	0.8538943	0.8981586	0.9035779	0.8167164	0.88768077	0.8024077	0.88089806	0.7802972	0.77503496	0.8650056	0.9012719	0.8736185
jurk/noun	0.8504203	0.0	0.8743739	0.65685856	0.7392078	0.78085715	0.71408737	0.8040689	0.8320126	0.7821747	0.7729718	0.89424264	0.72666705	0.7082553	0.8375919	0.45158142	0.7405394	0.67869985	0.92946637	0.7610418	0.7107482	0.8305986	0.7382072	0.79412603	0.72680664	0.8975487	0.5775641	0.90314656	0.8313756	0.87862784	0.7374958	0.78612393	0.7605947	0.8075651	0.71819615	0.9161454	0.6755723	0.79515386	0.8380177	0.719448	0.81271136	0.7054883	0.7624712	0.7530821	0.7535681	0.7329557	0.76766086	0.5180573	0.7824806	0.67930853	0.7387544	0.91073984	0.8622004	0.4425496	0.7092124	0.8503422	0.9667263	0.7627826	0.4792667	0.83194214	0.75857276	0.901713	0.9259895	0.7999033	0.51180995	0.75839525	0.6499892	0.92640233	0.92650974	0.81938577	0.8326552	0.8179628	0.8053608	0.843506	0.6613405	0.8791555	0.83951277	0.75165576	0.85015976	0.7515596	0.77150285	0.845363	0.78490347	0.76571965	0.8085941	0.82150936	0.8991615	0.83395463	0.4265278	0.74175835	0.7281312	0.93488955	0.7771795	0.81536674	0.6268882	0.5556625	0.805894	0.9021847	0.7524296	0.8947699	0.7930664	0.92210746	0.7720356	0.5192125	0.86259717	0.7192944	0.7466848	0.7212493	0.7972626	0.92978346	0.8481306	0.8737689	0.87844515	0.7634938	0.80223686	0.7316335	0.75187385	0.4210449	0.87661386	0.74550694	0.5854235	0.8510862	0.86205804	0.8082439	0.6609497	0.8058979	0.80448335	0.7826969	0.75906974	0.8266733	0.82830507	0.87249476	0.8040189	0.860821	0.8895009	0.7923673	0.7142304	0.74817103	0.7514728	0.8985634	0.79978657	0.7311298	0.94037986	0.63702893	0.679013	0.8997058	0.8426461	0.8050519	0.73578143	0.5902991	0.8279407	0.7924812	0.7291507	0.69028914	0.7748363	0.79080755	0.9213306	0.75545055	0.76712394	0.7613397	0.6965431	0.74526674	0.90842336	0.8551949	0.9128095	0.8090419	0.7528269	0.56005836	0.8729453	0.67268145	0.72712153	0.86391956	0.76705194	0.94167125	0.83413166	0.7291783	0.76477253	0.5211124	0.88755214	0.8723798
stadion/noun	0.9203164	0.8743739	0.0	0.8020288	0.7778555	0.81095356	0.9185763	0.9123219	0.93938386	0.86184764	0.9262611	0.89941216	0.7719874	0.81123054	0.88817626	0.8281545	0.90695107	0.8424367	0.91973776	0.8451472	0.89625823	0.9118466	0.88762784	0.94728994	0.9031359	0.8964218	0.8909293	0.9078015	0.82475185	0.8951652	0.8647023	0.91588575	0.8250368	0.90552545	0.6908478	0.9568962	0.89798015	0.8654913	0.84639466	0.836355	0.7691053	0.88260126	0.9193276	0.85827875	0.9011949	0.85787004	0.88091093	0.87881947	0.9198202	0.8279711	0.8811827	0.92141867	0.91965	0.89565974	0.74430394	0.8788354	0.962198	0.815697	0.85874426	0.89420706	0.9071784	0.863109	0.91842806	0.8994132	0.86780554	0.84841627	0.85417295	0.9328756	0.9234616	0.9251869	0.81867373	0.8096291	0.8749475	0.87325245	0.8769296	0.9072442	0.9004276	0.84269035	0.9112105	0.9035584	0.8957758	0.9201689	0.9130355	0.9165203	0.7913422	0.8994724	0.9315197	0.8252319	0.8902807	0.9248591	0.874434	0.9100883	0.88942343	0.78395367	0.8334136	0.8684515	0.93103325	0.95261854	0.8753104	0.92184484	0.90870386	0.90378743	0.92741495	0.9216841	0.87167394	0.898592	0.892595	0.93687195	0.86637163	0.86619616	0.8687384	0.88453764	0.8712648	0.8060805	0.9125704	0.8858208	0.8999841	0.86439824	0.960456	0.889793	0.8559872	0.9101106	0.90101266	0.88229024	0.8853359	0.9191938	0.8929112	0.720598	0.86536276	0.66361463	0.8492013	0.89498603	0.82061124	0.92571455	0.88187826	0.92391115	0.81872827	0.84658813	0.87694263	0.81185234	0.7928059	0.7774004	0.8807178	0.90239644	0.7657822	0.8817295	0.8818201	0.9032856	0.86497784	0.901047	0.8840987	0.8637793	0.8951571	0.85575336	0.8808839	0.87308675	0.93023074	0.86626023	0.88751245	0.8882387	0.8607583	0.860288	0.9460641	0.86535764	0.8726946	0.8234204	0.75854635	0.86227	0.89841044	0.9526439	0.7786838	0.91412115	0.7208193	0.92574626	0.9187706	0.90857613	0.90476185	0.8670323	0.79215443	0.937966
prachtig/adj	0.7886831	0.65685856	0.8020288	0.0	0.6574785	0.77562344	0.84081984	0.8260381	0.8582679	0.79365814	0.8273232	0.8644545	0.7589885	0.76333964	0.89837605	0.7213763	0.763629	0.704587	0.941627	0.81848687	0.8297141	0.8673482	0.7995323	0.8856925	0.82482505	0.90013784	0.76028764	0.8843099	0.71122146	0.79149115	0.66417074	0.69875765	0.76055634	0.76439583	0.70652026	0.93712187	0.7951411	0.63139284	0.8023486	0.69061816	0.79091156	0.80818254	0.79047585	0.76582354	0.7157332	0.7828351	0.6529014	0.776695	0.6540197	0.7155944	0.8431622	0.8550178	0.9010124	0.7541268	0.64402664	0.76832044	0.95527387	0.7521955	0.70408475	0.866735	0.8054399	0.8129035	0.8899255	0.59523165	0.66565824	0.7969835	0.6279106	0.9161554	0.89717495	0.8203506	0.7578654	0.77334017	0.82939386	0.8744536	0.7374039	0.84039855	0.8610257	0.8061129	0.73690367	0.7593657	0.81027114	0.7153841	0.8435279	0.57156456	0.85056555	0.7215262	0.8603866	0.84735715	0.7480401	0.87348044	0.8096442	0.9166137	0.8131297	0.79343873	0.561682	0.7605723	0.63453484	0.8628176	0.813485	0.81326973	0.7743764	0.94485223	0.7779077	0.75952154	0.8196345	0.8244964	0.7784945	0.82114637	0.85300493	0.9118724	0.73606116	0.8849412	0.8821224	0.789641	0.8220338	0.8032366	0.76985085	0.69803846	0.91378355	0.68047434	0.60323286	0.8614323	0.78568816	0.83352655	0.73539424	0.6919342	0.643015	0.7332696	0.71588606	0.77747273	0.8549444	0.8025674	0.80242264	0.84780526	0.8392026	0.8619608	0.7024771	0.7284459	0.76922816	0.90160537	0.6842154	0.81853265	0.9174467	0.77139044	0.7500348	0.8940872	0.87776965	0.69393873	0.6542239	0.83904314	0.7405704	0.83608687	0.6007197	0.6328994	0.6091012	0.78659225	0.91270494	0.5996217	0.71909827	0.76725495	0.75506777	0.808399	0.9208325	0.81943846	0.86191845	0.78187037	0.7678247	0.70915675	0.8960491	0.8399049	0.77904636	0.80160224	0.6622895	0.94114953	0.8036566	0.77796686	0.6684284	0.69416106	0.9077274	0.90855587
feestelijk/adj	0.838073	0.7392078	0.7778555	0.6574785	0.0	0.80292046	0.8725705	0.8369353	0.89110714	0.8310852	0.7896607	0.89061844	0.8239367	0.7893791	0.89832115	0.7614065	0.8537053	0.8472678	0.9301809	0.8482499	0.88460875	0.8619959	0.83751106	0.92935735	0.89076984	0.91924727	0.8203523	0.8887828	0.7896541	0.824548	0.8057702	0.8136055	0.8005717	0.7858367	0.7086529	0.9275402	0.84792763	0.750372	0.8725606	0.80644935	0.72192955	0.8836078	0.8776128	0.86658376	0.78650355	0.7683815	0.79174757	0.8131441	0.8592238	0.77043366	0.89397544	0.8908415	0.928152	0.8137159	0.7882967	0.8466443	0.9683016	0.79987895	0.7641517	0.86995655	0.85687315	0.85116994	0.8937765	0.78222436	0.7605937	0.83297765	0.6952676	0.9051865	0.8930448	0.85301685	0.8026548	0.83572435	0.90268606	0.8725224	0.82861865	0.8631457	0.86640763	0.86026514	0.8090416	0.81806743	0.83628833	0.76299536	0.89327514	0.78233254	0.8126266	0.8273532	0.87211466	0.8862403	0.8142495	0.90577304	0.8761255	0.89568174	0.7461982	0.86025906	0.5766245	0.8317702	0.8267955	0.9086323	0.85083973	0.8670097	0.88884544	0.9066813	0.91889805	0.8380632	0.8679467	0.8418298	0.8725568	0.8772886	0.88384426	0.93376136	0.7852167	0.89335227	0.88653314	0.7946124	0.81057	0.842561	0.8103028	0.76780635	0.90083194	0.77219284	0.7820562	0.8749147	0.8465203	0.7398796	0.8497332	0.86116743	0.75100094	0.8210256	0.8207666	0.86897945	0.9290542	0.8733691	0.8082868	0.9022076	0.89907193	0.90441096	0.8118459	0.8115802	0.86096764	0.9095303	0.7142558	0.8532337	0.87320507	0.867885	0.7379792	0.9020519	0.83272225	0.79672587	0.83183414	0.88473827	0.7877754	0.84029233	0.80778825	0.7272737	0.77602684	0.9091407	0.906294	0.7979848	0.6822705	0.84618473	0.7955899	0.894625	0.9548874	0.8515317	0.80188894	0.8433093	0.8226302	0.7836638	0.85548824	0.90850013	0.80552226	0.84367913	0.8406406	0.90571547	0.90933436	0.87085867	0.7466254	0.7995245	0.8965926	0.91226053
scherm/noun	0.8273287	0.78085715	0.81095356	0.77562344	0.80292046	0.0	0.8605318	0.8531993	0.8830133	0.83334506	0.87975454	0.8565345	0.7790891	0.8229885	0.8756862	0.7826303	0.83380246	0.772342	0.91350824	0.7402863	0.85648006	0.88810265	0.77258843	0.9017985	0.7448888	0.9188841	0.8233913	0.87186784	0.84209025	0.888122	0.8216603	0.78258616	0.77696437	0.8935791	0.66002923	0.9209237	0.8133002	0.7848809	0.814831	0.7533508	0.77140033	0.8238993	0.7967085	0.80189085	0.84833086	0.8032531	0.80525815	0.8477588	0.84136814	0.7500927	0.8752275	0.92140764	0.8980972	0.82819325	0.72534525	0.82468253	0.952771	0.76480913	0.8116894	0.8954962	0.84984076	0.8690995	0.8597883	0.7716828	0.7742033	0.77224064	0.7727747	0.9136844	0.86110467	0.88362056	0.8038562	0.8472985	0.8361048	0.85190725	0.7622849	0.86046046	0.86429983	0.79908895	0.8097441	0.8323243	0.79015267	0.8448347	0.85539657	0.79223573	0.82594097	0.8472727	0.9160708	0.9007259	0.8086509	0.8914565	0.79242104	0.9311514	0.8561327	0.8263649	0.76304865	0.77053	0.843105	0.9017193	0.8401916	0.8862539	0.8193387	0.9244906	0.8489244	0.81903625	0.8040897	0.8424773	0.78805256	0.85186076	0.80627495	0.90567243	0.79579437	0.861383	0.8673361	0.7165934	0.8841288	0.8259777	0.85801864	0.81621253	0.9101201	0.7952101	0.6585465	0.86414474	0.8279288	0.88133204	0.76908267	0.8477725	0.86465955	0.7858508	0.7484476	0.8697637	0.816007	0.8013722	0.8128378	0.89422107	0.85870504	0.8278328	0.79636335	0.77041936	0.823741	0.89788955	0.8487122	0.77869093	0.8568674	0.7540649	0.75097	0.8932044	0.906563	0.83225197	0.78569245	0.86455244	0.8114754	0.82908297	0.7677362	0.8078261	0.7938659	0.82177424	0.90254486	0.69519055	0.87525904	0.77869886	0.7930021	0.79839784	0.8959488	0.8787758	0.8983749	0.8295834	0.8018547	0.7956124	0.8904772	0.8879879	0.82984805	0.85538083	0.82076454	0.9122758	0.8486361	0.7901391	0.83215666	0.78318584	0.89389443	0.9184293
pantoffel/noun	0.88198227	0.71408737	0.9185763	0.84081984	0.8725705	0.8605318	0.0	0.85732293	0.87105286	0.8664861	0.8520605	0.9440846	0.80256295	0.80772316	0.9006797	0.70987743	0.84530896	0.7860227	0.95944715	0.8122948	0.8783739	0.81550914	0.83663857	0.87165684	0.84817636	0.91408074	0.7532747	0.96132785	0.8880975	0.9339638	0.844184	0.90422857	0.8960104	0.8676978	0.85296005	0.9697008	0.8107002	0.89718354	0.8360238	0.827986	0.9025818	0.8357157	0.8279369	0.80085605	0.9148226	0.78867185	0.85596263	0.6961497	0.91383314	0.7605045	0.83277184	0.9262692	0.9139513	0.6815855	0.85618865	0.9013796	0.9620842	0.8249756	0.7174899	0.9216255	0.8371754	0.9164056	0.94059485	0.9068237	0.71356887	0.8355297	0.825194	0.9231073	0.9562497	0.9046353	0.90500784	0.9080583	0.90453476	0.8891911	0.77733666	0.9130167	0.8874013	0.7580682	0.93325096	0.8853799	0.8369774	0.9456088	0.9008428	0.8906441	0.87985545	0.8930229	0.9614937	0.92159086	0.684762	0.86222345	0.8448308	0.9338722	0.7830004	0.8844466	0.8105618	0.73709893	0.93349874	0.94283223	0.86056566	0.9541265	0.84890217	0.9532005	0.90304273	0.74649906	0.92672765	0.8237202	0.84878844	0.8140283	0.8572656	0.9427888	0.9152052	0.9343915	0.8888303	0.8265893	0.8457874	0.83005536	0.85939	0.6945995	0.90220356	0.8794037	0.82657754	0.9392984	0.92107624	0.8209147	0.8197105	0.9347899	0.90991026	0.8262651	0.83887434	0.8523566	0.84632075	0.91494286	0.87521255	0.901965	0.90346515	0.87490654	0.79619694	0.86142445	0.8647925	0.9031402	0.90069544	0.85241973	0.942701	0.82124335	0.8405545	0.936435	0.88351446	0.93499434	0.894992	0.70277905	0.912677	0.891094	0.90380913	0.8507489	0.8997653	0.87046397	0.946464	0.9012654	0.90431595	0.8855834	0.8380597	0.8511824	0.91596425	0.9096356	0.89414847	0.8447772	0.8797977	0.75514877	0.92929494	0.82821065	0.7992694	0.8905355	0.82957387	0.960971	0.89729464	0.8398456	0.88323003	0.748978	0.91734326	0.9405981
vis/noun	0.84152406	0.8040689	0.9123219	0.8260381	0.8369353	0.8531993	0.85732293	0.0	0.70840746	0.7360079	0.46928322	0.9237281	0.8314717	0.8307345	0.84034103	0.7890549	0.8222394	0.76790416	0.92767686	0.6745542	0.8565381	0.37506574	0.5653726	0.88423413	0.8295053	0.9073201	0.82429177	0.91174036	0.82452303	0.9039997	0.7102647	0.8776398	0.84892946	0.5892836	0.8739113	0.9132752	0.85484505	0.80292857	0.5365169	0.75268877	0.8729632	0.86671865	0.8153707	0.64916736	0.90346575	0.6274353	0.8171446	0.84206235	0.8527581	0.61778855	0.84286773	0.90157753	0.8476537	0.8140548	0.83591294	0.7412393	0.950439	0.7037969	0.74178433	0.8857862	0.8190236	0.859982	0.89044815	0.87636685	0.5560505	0.78923726	0.81856054	0.9133709	0.94006634	0.84961	0.873742	0.90700483	0.91257054	0.8778004	0.645321	0.8851455	0.83725184	0.7587466	0.9189464	0.76280457	0.7726604	0.893073	0.8679805	0.8282808	0.85991836	0.82672745	0.91259336	0.89080244	0.8059559	0.8604551	0.6761651	0.9449253	0.57527137	0.8859625	0.7955553	0.7963125	0.88387275	0.9318341	0.74880874	0.94536775	0.86455756	0.90070695	0.8568894	0.7556332	0.87320375	0.84424555	0.77166253	0.6827957	0.66975415	0.8256214	0.8319527	0.91703135	0.78128207	0.63317513	0.35279047	0.71555126	0.79691875	0.8102462	0.7341093	0.83448786	0.77031195	0.8981466	0.8996021	0.67882276	0.721533	0.8894446	0.8664297	0.85235244	0.8499751	0.84407437	0.8493074	0.83515733	0.8047507	0.68165934	0.8504746	0.76651657	0.74602044	0.828772	0.6953293	0.9239824	0.87162006	0.78369683	0.9305796	0.6559249	0.7907402	0.90487266	0.89189285	0.8600379	0.8551188	0.8672513	0.8735315	0.885034	0.8805001	0.85956526	0.8284973	0.88346696	0.95651	0.84918666	0.86549294	0.79211086	0.8542673	0.70802355	0.9285122	0.8181992	0.9088198	0.71619165	0.8308159	0.70376605	0.8741944	0.8825073	0.8592133	0.8843892	0.7914822	0.9498323	0.8665781	0.7711339	0.6969679	0.7401299	0.9294543	0.9154289
substantie/noun	0.7643025	0.8320126	0.93938386	0.8582679	0.89110714	0.8830133	0.87105286	0.70840746	0.0	0.85334826	0.68225306	0.8758038	0.85339713	0.86311394	0.87142736	0.8426196	0.8517319	0.7920834	0.92141205	0.7875838	0.8579905	0.7561902	0.7220708	0.8631376	0.8623031	0.8978442	0.8695517	0.88422287	0.877796	0.90448314	0.8137939	0.87376034	0.87252116	0.70199764	0.9180914	0.93185866	0.8775229	0.8213194	0.68143433	0.80252063	0.9055656	0.86410093	0.8263926	0.7633258	0.91802996	0.75551784	0.8495368	0.86000705	0.8485577	0.71475196	0.9003451	0.8768436	0.8547083	0.83110845	0.8704332	0.77470434	0.94389385	0.8160259	0.77681553	0.8500981	0.8357672	0.8840183	0.81782186	0.87293124	0.68597126	0.8653893	0.8513793	0.9150362	0.8836434	0.85231733	0.84522516	0.9080817	0.8791234	0.8963189	0.6819147	0.8626356	0.8708762	0.8211101	0.8782181	0.7697177	0.84465027	0.86774296	0.89953756	0.7828064	0.9154058	0.8306249	0.88936555	0.90644205	0.840297	0.8890249	0.6941588	0.93042505	0.7085278	0.87573266	0.85735035	0.8488047	0.8681798	0.872031	0.7825756	0.87581307	0.86393195	0.89641225	0.85727686	0.782933	0.8876864	0.85798925	0.7751099	0.7579642	0.57431537	0.7951222	0.78828746	0.9209696	0.857597	0.7959113	0.7001611	0.83352745	0.7761136	0.8168705	0.84320486	0.7962618	0.8002856	0.85295826	0.8821104	0.80213714	0.74265665	0.87006456	0.8755082	0.86738497	0.81889945	0.90839005	0.8915012	0.8382408	0.89927167	0.74301034	0.8749081	0.7882425	0.78077555	0.8761407	0.75673103	0.92822623	0.8615187	0.8565343	0.90678215	0.7104587	0.8341628	0.9044646	0.9171783	0.86202705	0.8193981	0.86678183	0.8808047	0.8765732	0.90143675	0.8435216	0.83195084	0.87339896	0.87631214	0.8470504	0.89178944	0.8074849	0.82441366	0.68895423	0.9210248	0.8095505	0.93063045	0.87263685	0.8582141	0.7706717	0.8791042	0.86323464	0.8849435	0.9342982	0.86568385	0.9047764	0.8630329	0.7355509	0.7853658	0.77718955	0.9175865	0.9054333
bij/noun	0.82896835	0.7821747	0.86184764	0.79365814	0.8310852	0.83334506	0.8664861	0.7360079	0.85334826	0.0	0.75059116	0.8616512	0.8069625	0.83483136	0.8674411	0.7942555	0.8567581	0.80084825	0.9180868	0.8077309	0.8514064	0.7294526	0.77464867	0.8824986	0.8463783	0.875093	0.8435463	0.8805067	0.83056027	0.90549463	0.8030186	0.8394065	0.845543	0.80437183	0.8243852	0.9106152	0.82050097	0.7966526	0.7657262	0.7773933	0.8217086	0.85199386	0.8171678	0.7777792	0.83304125	0.73998487	0.81817234	0.82800984	0.86154294	0.7400151	0.76361614	0.86361736	0.88191044	0.8086122	0.8267417	0.79960114	0.9517718	0.76663435	0.7877806	0.85171556	0.82386184	0.8773532	0.8577187	0.8273692	0.71503854	0.8266207	0.80487704	0.8679711	0.9000857	0.8341866	0.851881	0.8642263	0.8662666	0.86857426	0.76809096	0.8460055	0.83923316	0.7975955	0.86448467	0.7837036	0.84829396	0.8537459	0.8683155	0.838061	0.84404385	0.82616293	0.8709288	0.81256485	0.81950474	0.80983377	0.80025434	0.9164978	0.7518947	0.8388772	0.7675156	0.77467704	0.8443397	0.878796	0.84348714	0.89406884	0.88044274	0.8733622	0.9023032	0.7917806	0.85986054	0.80911934	0.82554865	0.8272391	0.79683495	0.8859331	0.83662945	0.87851495	0.77117026	0.7947843	0.7411722	0.7631947	0.80690145	0.7998767	0.8595266	0.80562097	0.8449526	0.87278223	0.8614875	0.7629716	0.824033	0.87804884	0.8486396	0.83164454	0.85024273	0.8374383	0.8083712	0.8178146	0.81087327	0.81718606	0.85067666	0.86063004	0.817045	0.8472749	0.7827933	0.88434166	0.84785235	0.80890423	0.89090073	0.7696323	0.79273003	0.8813901	0.87351257	0.8371307	0.8600428	0.8288803	0.8492155	0.8510723	0.84875697	0.8144479	0.8235105	0.8372578	0.89940923	0.84390426	0.8690618	0.82965344	0.8008987	0.8066371	0.90168864	0.77660733	0.89915884	0.81884754	0.82343245	0.79129916	0.8490899	0.9113716	0.8050232	0.82344437	0.8093405	0.91287273	0.8739181	0.8328237	0.76973903	0.80193377	0.84810984	0.88941854
