	Charlie/name	EU/name	Albanees/noun	winkel/verb	baas/noun	vrijheid/noun	inmiddels/adv	zoals/comp	Anthuenis/noun	vergadering/noun	prostituee/noun	klus/noun	vanwege/prep	Blair/name	prietpraat/noun	immigrant/noun	Linda/name	Amerikaan/noun	in/adv	journalist/noun	stilaan/adv	Leys/name	hoewel/comp	Arabier/noun	jodendom/noun	moeder/noun	gij/pron	Cools/name	alles/noun	platteland/noun	heb_lief/verb	namelijk/adv	kunst/noun	woord/noun	Duitser/noun	islam/noun	systeem/noun	om/comp	meute/noun	Olympische/name	type/noun	hoe/noun	overigens/adv	politiek/noun	Friesland/name	super_held/noun	kind/noun	sinds/comp	Syriër/noun	evenzeer/adv	elkaar/pron	intens/adj	VS/name	oorlog/noun	stad/noun	wegens/prep	die/det	Irving/name	zij/pron	regel_DIM/noun	diep/adj	daarna/pp	zo/adv	je/pron	vrede/noun	hartstochtelijk/adj	eigenlijk/adj	moslim/noun	pas/noun	Waal/noun	laconiek/adj	Tutsi/noun	Barend/name	en/vg	liefde/noun	maar/vg	ding/noun	vijand/noun	erg/adj	hartgrondig/adj	premier/noun	om/prep	zozeer/adj	geit/noun	iedereen/pron	realiteit/noun	tegenstander/noun	ze/pron	destijds/adv	Bardot/name	niet/adv	tennis/noun	man/noun	Wout/name	gelijkelijk/adv	maandag/noun	Borms/name	vrouw/noun	armband/noun	film/noun	als/comp	ons/noun	etiket/noun	omdat/comp	oprichter/noun	toch/adv	het/det	geweld/noun	men/pron	soms/adv	Sperwer/name	wereld/noun	haar/pron	anderzijds/adv	Amerika/name	genocide_wet/noun	gezeik/verb	vader/noun	Mondriaan/name	aartsvijand/noun	NAVO/name	mens/noun	misschien/adv	volk/noun	ras/noun	ik/pron	tuig/noun	van/pron	Mona/name	perfectie/noun	terwijl/comp	al/comp	toerist/noun	gewoon/adj	dat/det	voordracht/noun	dirigent/noun	Cézanne/name	waarschijnlijk/adj	erom/pp	gevoel/noun	Mussolini/name	jullie/pron	hier/adv	u/pron	staat/noun	ongelijkheid/noun	voetbal/noun	mij/pron	natuurlijk/adj	hen/pron	hij/pron	we/pron	ander/noun	Boudewijn/name	me/pron	ons/pron	strafschop/noun	huis_werk/noun	wanneer/comp	Engelsman/noun	Schenk/name	kerst/noun	jezelf/pron	pop_ster/noun	Derksen/name	fel/adj	regelrecht/adj	wat/pron	Frank/name	sprookje/noun	overzee/pp	mezelf/pron	jood/noun	muziek/noun	zichzelf/pron	wij/pron	Nederlander/noun	hem/pron	Reagan/name	zwart/adj	president/noun
Charlie/name	0.0	0.92489415	0.9019687	0.8903405	0.77804875	0.91175663	0.8037796	0.81376445	0.8787559	0.9310256	0.83243567	0.9032181	0.8753081	0.81502444	0.90679604	0.86075646	0.69235754	0.75760704	0.91774994	0.7415389	0.8788296	0.78425175	0.85171086	0.85921276	0.8941691	0.763865	0.8343968	0.7779674	0.8995751	0.8728179	0.8366569	0.86501557	0.8937659	0.8642916	0.79299027	0.91796905	0.9190441	0.8932046	0.8558675	0.91933036	0.8313353	0.8188658	0.8652751	0.9033211	0.89330477	0.7862191	0.8469019	0.76844704	0.8935752	0.81787944	0.8737186	0.8083524	0.7838687	0.9034243	0.90848297	0.9066214	0.8565971	0.6810951	0.83533186	0.8943604	0.9079093	0.85129225	0.86998695	0.8647611	0.9199777	0.76037884	0.884342	0.9065181	0.88536423	0.83094406	0.8169853	0.8943347	0.7915393	0.71828413	0.806538	0.85176754	0.8820815	0.87448204	0.88123316	0.90258163	0.8631036	0.9296506	0.8680419	0.85855776	0.87890595	0.8888427	0.8810446	0.82114005	0.73801255	0.77959454	0.9043694	0.8342856	0.80635285	0.7453339	0.9240685	0.89216584	0.81737983	0.782206	0.8860652	0.6428629	0.8757988	0.86447895	0.8550683	0.8884832	0.71916115	0.86657447	0.87830037	0.91267467	0.88225734	0.8253031	0.91310954	0.8830814	0.7953266	0.87576896	0.8289789	0.91249454	0.9078756	0.6778039	0.81176853	0.811118	0.90131927	0.8708816	0.8727298	0.88357246	0.84553206	0.8650486	0.8578818	0.90570736	0.77905077	0.8264417	0.8282174	0.8659323	0.8937166	0.87881356	0.89224946	0.8690059	0.69631875	0.8626784	0.883232	0.86169994	0.89265835	0.7983242	0.85397696	0.88086075	0.87451863	0.91059154	0.9066127	0.8850645	0.87500805	0.8776245	0.8629841	0.7825085	0.88422316	0.88285875	0.74626184	0.8820186	0.8969972	0.88189113	0.8726425	0.8334135	0.7241401	0.8254389	0.8465129	0.882799	0.67854416	0.8015133	0.90923494	0.8435199	0.8965903	0.7198654	0.7210485	0.89702475	0.89541435	0.8736022	0.76223916	0.84658307	0.8788501	0.82447726	0.8254527	0.73433626	0.8024258	0.8329872
EU/name	0.92489415	0.0	0.7356958	0.903273	0.8813851	0.7911154	0.7970638	0.81788397	0.8476089	0.76955616	0.8336258	0.9139516	0.7683953	0.7060598	0.93278086	0.6816313	0.95259047	0.75080305	0.88816184	0.85723925	0.890657	0.92871016	0.7539731	0.78386945	0.8266466	0.9264778	0.9115475	0.9446704	0.9076865	0.8189774	0.9247575	0.77334327	0.89136714	0.91411304	0.8653438	0.75026727	0.7337494	0.72423553	0.9197382	0.8996124	0.9186772	0.8785853	0.76653266	0.7046994	0.8411164	0.93458813	0.91425806	0.7778424	0.8427956	0.794845	0.88791555	0.89152706	0.5805981	0.74830866	0.83035827	0.8189693	0.7906506	0.9116654	0.7179677	0.8481104	0.93316036	0.89347565	0.90878	0.91848654	0.72399485	0.84179735	0.93241125	0.77383834	0.89219725	0.8505188	0.8679733	0.843572	0.9420455	0.76637626	0.94420636	0.8677056	0.9273587	0.78342664	0.9256551	0.87903094	0.68651915	0.9303664	0.8538722	0.8930545	0.8876996	0.8419183	0.8184287	0.8575218	0.7846062	0.90034467	0.8679029	0.9141474	0.9373032	0.93193513	0.8339965	0.8663914	0.94760287	0.898853	0.92962426	0.92871004	0.84172106	0.8719131	0.8703546	0.76565707	0.92382103	0.9058355	0.81577975	0.7831381	0.7939645	0.9183781	0.903145	0.8686441	0.90105623	0.72245735	0.6999708	0.75017226	0.93844783	0.92811954	0.91111714	0.77357155	0.46372974	0.88882244	0.92812216	0.8224151	0.84287536	0.93249595	0.8759824	0.9132815	0.9006919	0.8864375	0.82205844	0.895995	0.84340036	0.92813283	0.84861577	0.86891395	0.9275783	0.9437362	0.80948544	0.85336196	0.9170913	0.8522533	0.90098774	0.92894095	0.90535605	0.68026066	0.7378284	0.90254563	0.91488695	0.91603905	0.8275002	0.85269284	0.8501326	0.8855251	0.9047175	0.9284947	0.87266845	0.9552417	0.8691066	0.8303942	0.8925867	0.8809257	0.8892798	0.8835931	0.8930924	0.9222597	0.82781696	0.8546257	0.90694344	0.95987535	0.94506913	0.7981397	0.8944658	0.78994477	0.94093466	0.8543237	0.7994025	0.8724223	0.87266576	0.82005835	0.9256412	0.6912575
Albanees/noun	0.9019687	0.7356958	0.0	0.9091216	0.90418124	0.8121017	0.7585475	0.8814032	0.8931616	0.89831525	0.7020209	0.92876774	0.788991	0.8064795	0.9243056	0.6290251	0.92389643	0.65545106	0.8096292	0.7470832	0.88738763	0.9000288	0.8092864	0.547381	0.84773886	0.8451842	0.84972525	0.8930328	0.9066373	0.7813449	0.8653232	0.8287431	0.90562284	0.9035151	0.73704803	0.7445617	0.8956117	0.81847733	0.78962445	0.95126116	0.8883572	0.8808832	0.86222315	0.82281446	0.8283737	0.9148753	0.78071827	0.75664884	0.75978744	0.81391394	0.83816755	0.8805948	0.7820937	0.65333074	0.747845	0.7557125	0.8392644	0.9105892	0.6678645	0.89499944	0.90457094	0.82739484	0.90705955	0.8999397	0.7341221	0.8245406	0.94207644	0.43949836	0.9116474	0.78533435	0.8939863	0.5432552	0.93466127	0.7586616	0.89734185	0.8727355	0.90933514	0.710179	0.9262191	0.8889051	0.815084	0.87971014	0.862213	0.84306914	0.85793906	0.8568808	0.802001	0.7590241	0.77885664	0.89177185	0.8875017	0.9347099	0.6547501	0.9355634	0.8373005	0.87286174	0.93356365	0.7135435	0.8877823	0.9316391	0.8556789	0.82235944	0.8979596	0.7590024	0.91862607	0.91205335	0.8482762	0.58059937	0.8386017	0.86960375	0.89248985	0.84907395	0.81288624	0.8118566	0.76656914	0.87681407	0.92714536	0.83995086	0.9032634	0.771222	0.5746598	0.68336093	0.93196946	0.7184688	0.83841455	0.9068975	0.78467	0.90506494	0.8921526	0.8985637	0.77451825	0.8873769	0.72782063	0.90189445	0.8955226	0.91808456	0.9298763	0.9382392	0.81890666	0.8631906	0.8872337	0.81057066	0.8272291	0.8525699	0.9202935	0.71154594	0.81606704	0.95088583	0.89930815	0.9263607	0.67666984	0.7730833	0.8804004	0.8913539	0.9224778	0.9040565	0.86921287	0.9409709	0.92113566	0.8318887	0.7813937	0.91751224	0.88556117	0.85462844	0.85259485	0.9012641	0.8190367	0.79932445	0.9104993	0.96247876	0.906824	0.81368536	0.8719851	0.58689785	0.9283407	0.80568635	0.8312063	0.7206992	0.7872993	0.84185004	0.84985864	0.7552249
winkel/verb	0.8903405	0.903273	0.9091216	0.0	0.8667307	0.8749625	0.8634169	0.8265669	0.887417	0.8855541	0.8310778	0.8404714	0.880705	0.9161221	0.9082483	0.8538326	0.86893886	0.88362306	0.90329325	0.90544885	0.8238074	0.9179785	0.82487726	0.878062	0.8971882	0.81275755	0.8252848	0.9158734	0.82137454	0.81400025	0.8365164	0.7652823	0.81935096	0.8826918	0.90131104	0.9042923	0.83698225	0.78640664	0.81935406	0.9393849	0.82560587	0.80600935	0.8444334	0.8770446	0.8577229	0.8817596	0.75838196	0.867262	0.9113922	0.8474923	0.8327002	0.85037386	0.94398975	0.92958486	0.7377503	0.92809165	0.8083341	0.92146313	0.81833494	0.8507638	0.92294097	0.82193506	0.7887326	0.708348	0.8897778	0.8740425	0.79842496	0.8905044	0.8468329	0.8391059	0.87589705	0.9104431	0.90308946	0.7293305	0.8569001	0.7984714	0.786704	0.89517415	0.81206226	0.9139513	0.9530572	0.89037156	0.8733865	0.84339356	0.7423599	0.86148125	0.89276206	0.7196777	0.8838203	0.90379035	0.8366478	0.80065215	0.83304036	0.8820183	0.9132057	0.8872593	0.9361888	0.8156047	0.8444991	0.8864785	0.7622218	0.79120815	0.83153296	0.80294335	0.94241756	0.7784426	0.84724396	0.90417683	0.7766832	0.78056127	0.8943345	0.84678155	0.79692334	0.8315009	0.8705983	0.9376406	0.85224026	0.8632984	0.8786678	0.9090323	0.92461014	0.76724756	0.82061195	0.8661039	0.87218595	0.73807824	0.8221046	0.8387162	0.85069275	0.8672406	0.7434691	0.8112341	0.71922326	0.66883504	0.8185704	0.8662553	0.9211622	0.9348286	0.8740489	0.82934445	0.851099	0.90284324	0.7759927	0.6973245	0.76507795	0.9400452	0.8705581	0.8437449	0.78208864	0.7901567	0.80560875	0.82678425	0.75924015	0.8878586	0.90509516	0.7943648	0.8059161	0.94488144	0.7574323	0.75581956	0.8451588	0.9033726	0.7134042	0.7917468	0.8493135	0.8961084	0.91624916	0.87028563	0.8218498	0.94550043	0.86693907	0.87439495	0.8161096	0.8906447	0.78547585	0.8515635	0.7899727	0.8296207	0.8235903	0.89272785	0.8823939	0.9578628
baas/noun	0.77804875	0.8813851	0.90418124	0.8667307	0.0	0.90232587	0.81689346	0.8273508	0.8405292	0.88162434	0.85185564	0.8777736	0.86526346	0.7913505	0.91393936	0.9052001	0.8225882	0.81347203	0.9368479	0.76909685	0.90428644	0.8426497	0.839806	0.8840424	0.9128775	0.77402306	0.83319825	0.8135924	0.88380724	0.9146382	0.8670764	0.8588045	0.9368181	0.887055	0.8629521	0.90950954	0.8924042	0.8709587	0.8769605	0.9482728	0.860254	0.82801944	0.8569329	0.86506057	0.8735219	0.88524306	0.85906154	0.76856726	0.9315008	0.86684537	0.8769586	0.90045035	0.8495598	0.93441176	0.9168502	0.89625597	0.8751512	0.84768176	0.78026	0.8743086	0.92781734	0.8777194	0.86487997	0.8217245	0.9237954	0.8463985	0.8752227	0.9074307	0.9155358	0.84284055	0.82437694	0.91289425	0.800377	0.77032024	0.8697159	0.8532791	0.8780852	0.82430565	0.8848599	0.8739773	0.764472	0.92212784	0.86941564	0.9047109	0.82940197	0.920102	0.8187811	0.7750235	0.7321302	0.8666741	0.8638544	0.8833201	0.820361	0.8361981	0.91524196	0.8757869	0.87799376	0.8109894	0.9197628	0.88120526	0.8111685	0.84122515	0.8853758	0.82477975	0.69926405	0.8555443	0.88102806	0.9233898	0.8556376	0.8723366	0.9085896	0.9126274	0.798402	0.87704957	0.87719995	0.8926381	0.89621675	0.71666694	0.89173543	0.7732329	0.8630748	0.85543895	0.8922875	0.89739305	0.8936246	0.81844985	0.87520313	0.8939049	0.85239655	0.88010764	0.8091877	0.8721791	0.9114628	0.83338475	0.8922121	0.8712485	0.7643906	0.93702555	0.8959186	0.85785216	0.88888407	0.8423342	0.80552405	0.85696393	0.831654	0.8856675	0.889107	0.8453411	0.83454704	0.88494736	0.84289646	0.7713439	0.8418236	0.8760787	0.803372	0.8543268	0.8661853	0.89547515	0.84340334	0.82504886	0.815934	0.8230574	0.8660417	0.8542417	0.81224877	0.82526183	0.8852842	0.88309574	0.86991906	0.7883894	0.88777	0.8868154	0.8674554	0.9151517	0.90124404	0.85637414	0.8231402	0.8302248	0.7835036	0.78388697	0.8983896	0.7592255
vrijheid/noun	0.91175663	0.7911154	0.8121017	0.8749625	0.90232587	0.0	0.8993107	0.80819046	0.87735075	0.93234	0.8660812	0.9277005	0.7882649	0.85829055	0.90131044	0.7902566	0.9426716	0.83481747	0.9163039	0.8694854	0.86783344	0.9469141	0.7906796	0.76137197	0.73998415	0.9070829	0.8291706	0.9556901	0.83679223	0.8368261	0.7641402	0.7523875	0.73442507	0.8432565	0.9009999	0.61632836	0.76305896	0.7523937	0.90227306	0.95608073	0.8696904	0.79741305	0.8266336	0.7261593	0.89854735	0.87572896	0.81794214	0.8848171	0.87946326	0.70444286	0.8352551	0.76611507	0.88135767	0.80492365	0.891181	0.8707895	0.74378514	0.9002677	0.7064825	0.78997004	0.84713805	0.928879	0.8691449	0.78905344	0.62763786	0.7426812	0.8699126	0.7178341	0.90386796	0.8751127	0.8939291	0.85790056	0.9409608	0.7386478	0.6891608	0.77625453	0.8281315	0.72946894	0.88036555	0.863438	0.91540104	0.897398	0.8168403	0.8898969	0.77742624	0.7756469	0.85012734	0.80235565	0.853667	0.91475266	0.8252068	0.88548493	0.91296995	0.92556584	0.861673	0.9666563	0.9571423	0.8635318	0.91221195	0.89732796	0.82367486	0.8200189	0.8505925	0.7805682	0.93443084	0.8401939	0.8401426	0.7641251	0.7587326	0.82892716	0.92393833	0.7612616	0.836626	0.64706284	0.7847505	0.8227204	0.86844414	0.8872172	0.8972053	0.86596036	0.8139701	0.77432895	0.8658131	0.70550466	0.74207306	0.8313109	0.8627928	0.86953104	0.9126841	0.73868644	0.8421439	0.81702363	0.8977181	0.8526541	0.79301405	0.9028812	0.9254804	0.942773	0.90125746	0.7720178	0.70919204	0.86589044	0.8208536	0.8523445	0.85020036	0.68984234	0.6905626	0.90600544	0.8278506	0.7972216	0.7879137	0.8366354	0.80877876	0.84181356	0.9220994	0.86564267	0.81634253	0.95219886	0.8637016	0.8051072	0.89445627	0.9049085	0.88333225	0.7264683	0.8577991	0.9121728	0.8684061	0.80885226	0.8301335	0.9730518	0.84319323	0.8372056	0.81525105	0.7980263	0.84276885	0.75976115	0.71836877	0.89273304	0.835107	0.86749864	0.9187848	0.88703436
inmiddels/adv	0.8037796	0.7970638	0.7585475	0.8634169	0.81689346	0.8993107	0.0	0.79501235	0.84377366	0.86598456	0.7297729	0.86886835	0.7548245	0.8333051	0.90341365	0.743523	0.82811177	0.7733079	0.6836082	0.7625731	0.74147254	0.8332741	0.6984352	0.7998696	0.8529409	0.8060125	0.86918133	0.85122067	0.87489897	0.8144391	0.88132495	0.73165214	0.8877424	0.89488345	0.8026777	0.87393063	0.8058454	0.8126165	0.8534917	0.9322255	0.84000474	0.8349962	0.6954311	0.8444844	0.7562394	0.879381	0.7944287	0.67987484	0.8327792	0.81969273	0.86368096	0.8846331	0.81907266	0.8484976	0.81829345	0.74317336	0.8126734	0.8217893	0.7044068	0.84545887	0.90239906	0.76647955	0.88076705	0.88717115	0.89746976	0.8317308	0.8794898	0.79869795	0.84687763	0.81809515	0.8267478	0.82057345	0.8605967	0.7621443	0.89277315	0.8323139	0.88083774	0.85545266	0.8946787	0.8996308	0.842258	0.9178938	0.8137354	0.807348	0.85296774	0.8619012	0.8840132	0.7684014	0.63351804	0.85392755	0.84823376	0.89199764	0.7276778	0.8381219	0.86911684	0.8067403	0.8947188	0.7562735	0.8709572	0.8519002	0.8292839	0.8755078	0.8608357	0.7408886	0.7608998	0.85971326	0.81530833	0.86249906	0.8220716	0.87118715	0.8454902	0.83957964	0.8369938	0.80406964	0.7701777	0.8435472	0.9049211	0.8032669	0.8529856	0.81056476	0.7963984	0.72946036	0.88113636	0.8768534	0.81284	0.86645514	0.8207468	0.88659185	0.830811	0.8844343	0.7591586	0.81549764	0.77638304	0.87896824	0.85085094	0.87064016	0.85015017	0.9195112	0.7540823	0.856416	0.92728335	0.833905	0.87966096	0.831694	0.8967801	0.7937112	0.845563	0.8991403	0.89839315	0.89609396	0.79148877	0.73925024	0.8301701	0.8635422	0.83489114	0.9042266	0.8872385	0.8860609	0.85991836	0.7940011	0.8179609	0.81851774	0.82223403	0.897882	0.74732727	0.8068146	0.8780359	0.83372545	0.89534366	0.8845395	0.86168355	0.8265194	0.9172344	0.80300754	0.88772106	0.85652804	0.8327716	0.695688	0.80772966	0.80259454	0.87110054	0.81643766
zoals/comp	0.81376445	0.81788397	0.8814032	0.8265669	0.8273508	0.80819046	0.79501235	0.0	0.8821722	0.8793446	0.84812033	0.8969214	0.799094	0.8269894	0.861287	0.8052504	0.88219166	0.83441806	0.93174267	0.7748436	0.84972966	0.9068122	0.6886318	0.813799	0.80971074	0.89543676	0.82021844	0.90647876	0.8551614	0.8095223	0.82907	0.6846932	0.7563113	0.80485636	0.87206113	0.772479	0.7770952	0.829309	0.8940981	0.94120854	0.7447566	0.7555535	0.7657556	0.8150614	0.8703568	0.8578431	0.86246926	0.80141467	0.87750083	0.7337263	0.8756396	0.8061427	0.81922907	0.83724415	0.86067617	0.8766489	0.76268053	0.79805344	0.81485564	0.76984286	0.90202016	0.9007079	0.746837	0.82043344	0.85974646	0.7876187	0.8261502	0.8159897	0.90304893	0.8518227	0.7966101	0.90380263	0.8486246	0.63671964	0.77787495	0.832954	0.7958229	0.8017113	0.83167005	0.87795323	0.8681729	0.9028991	0.8178843	0.8276966	0.8554217	0.82251537	0.8765766	0.8230575	0.72428614	0.86156726	0.8563284	0.8609789	0.9128881	0.8975326	0.87270325	0.9209175	0.91296655	0.8723334	0.8731198	0.7462107	0.7917909	0.86388147	0.7442326	0.7933219	0.84317416	0.86769545	0.8250429	0.8429166	0.7705488	0.77206504	0.9029049	0.8072527	0.8810384	0.7672081	0.75861263	0.8530642	0.8871102	0.86120266	0.8311368	0.8067378	0.864067	0.8172702	0.82868975	0.84555125	0.76517516	0.84535396	0.8271749	0.83764875	0.8111987	0.8038826	0.76242423	0.80864894	0.84730154	0.7968161	0.810518	0.8125618	0.8512522	0.8786558	0.8515045	0.8036693	0.8522997	0.82724804	0.8472551	0.8085072	0.84039557	0.84221274	0.796271	0.8707301	0.8639368	0.80828315	0.8751509	0.8288376	0.8562516	0.87805206	0.84847313	0.88512754	0.87348497	0.9622998	0.86726207	0.7880552	0.8278952	0.8564827	0.81625223	0.8562565	0.77486736	0.865862	0.88310057	0.78712976	0.7854306	0.89096195	0.76166254	0.8552531	0.8739489	0.81338495	0.7275554	0.8383535	0.81146574	0.832648	0.88593197	0.8018113	0.85199106	0.8532542
Anthuenis/noun	0.8787559	0.8476089	0.8931616	0.887417	0.8405292	0.87735075	0.84377366	0.8821722	0.0	0.87224925	0.90842193	0.84638095	0.8306674	0.8009643	0.90147686	0.89499867	0.88948053	0.8293031	0.93053406	0.8711848	0.7711624	0.8262706	0.77447134	0.8705071	0.88634205	0.90386134	0.83754194	0.852919	0.8385776	0.92086464	0.8724484	0.84203506	0.9278559	0.8773402	0.8485868	0.88529533	0.8696225	0.80129206	0.8665695	0.8871808	0.89338815	0.8302196	0.7876664	0.8535396	0.8986284	0.9103851	0.90741736	0.84053266	0.8836295	0.79927945	0.8653257	0.8448221	0.90893036	0.9227617	0.91996294	0.8545221	0.7611144	0.8822569	0.76570076	0.85143924	0.8753223	0.8204537	0.81870294	0.7790524	0.8824538	0.8257557	0.81374955	0.8978962	0.89838535	0.7990489	0.81806046	0.89589787	0.8902044	0.83277225	0.88370776	0.72087854	0.8299874	0.8734391	0.8109281	0.8703408	0.8489804	0.8971291	0.8444876	0.9144959	0.7399068	0.87816834	0.7427642	0.75084853	0.8147456	0.9072707	0.75984627	0.8464046	0.8948308	0.8531224	0.91225547	0.86541426	0.8741338	0.89804745	0.9000484	0.905463	0.77271634	0.80979943	0.8665918	0.7966552	0.93295914	0.7019197	0.8651284	0.9119875	0.7309702	0.79413706	0.92494273	0.90052104	0.8193715	0.7584841	0.8838762	0.8404742	0.90136534	0.8900609	0.9193406	0.8563322	0.8432853	0.8442465	0.7575576	0.8608031	0.886466	0.70892847	0.86589223	0.86115813	0.8463653	0.86693037	0.8364103	0.7205309	0.90162873	0.8273975	0.77876747	0.88170826	0.8752679	0.93606377	0.81964415	0.8674723	0.8416855	0.86873484	0.74007803	0.8381613	0.78732616	0.9188358	0.88285995	0.74203527	0.7538838	0.7936676	0.81001407	0.70326644	0.6705225	0.8509334	0.8438256	0.7817627	0.7515557	0.8145975	0.85253567	0.7865786	0.82463783	0.8365042	0.877707	0.79057467	0.88341653	0.8344164	0.83013755	0.84724456	0.81716496	0.83329356	0.8864376	0.8949248	0.761759	0.9063591	0.91758865	0.82887876	0.6830973	0.8770383	0.76562285	0.84410214	0.9193196	0.8702173
vergadering/noun	0.9310256	0.76955616	0.89831525	0.8855541	0.88162434	0.93234	0.86598456	0.8793446	0.87224925	0.0	0.9010248	0.8850896	0.87579423	0.7920362	0.94053936	0.9215213	0.9168991	0.91915476	0.93482834	0.8530932	0.9323485	0.8945764	0.86647314	0.9224425	0.9106837	0.9479333	0.92675596	0.90109056	0.92022735	0.9323023	0.96262443	0.8600764	0.9280926	0.91351277	0.9431461	0.92355835	0.89869076	0.84197557	0.897767	0.83958435	0.9346217	0.8996906	0.82779425	0.8722079	0.8516009	0.94438225	0.93314797	0.84545225	0.90103763	0.88746107	0.9323843	0.902377	0.9106517	0.8686287	0.8782233	0.89032423	0.8842433	0.9343675	0.8293075	0.89075416	0.97158647	0.8487981	0.92112476	0.9398043	0.9207796	0.8931196	0.9576771	0.923273	0.9178098	0.8920479	0.86664397	0.91504604	0.86594605	0.8767848	0.93996966	0.9141074	0.9314461	0.92145	0.9408438	0.9023831	0.767167	0.7794862	0.9209833	0.94612694	0.9027603	0.93936807	0.9276516	0.89541006	0.84394515	0.93269265	0.92432123	0.9396633	0.92333275	0.9103852	0.8930052	0.62306774	0.9426266	0.9349902	0.9369921	0.91942656	0.9161288	0.91553944	0.92022395	0.8620038	0.8993884	0.92684966	0.8229136	0.92279273	0.8802459	0.9208314	0.8994618	0.9552409	0.915504	0.8942072	0.9340076	0.8462767	0.9454782	0.9480101	0.90855336	0.9069763	0.8093967	0.9129693	0.94795233	0.89188325	0.9172256	0.9289214	0.91447604	0.93692225	0.87505233	0.9308833	0.9178198	0.9359333	0.908006	0.9254419	0.9126426	0.6191	0.9191905	0.9427204	0.84417534	0.9298078	0.9374968	0.90263635	0.9218583	0.93732834	0.8706208	0.8840766	0.9138712	0.90804726	0.92436254	0.9560642	0.89642465	0.85627955	0.8798031	0.90446496	0.8509801	0.93128276	0.913485	0.9567664	0.8131856	0.8594941	0.93725824	0.88000274	0.86637163	0.95189387	0.8898071	0.916921	0.8823192	0.9101229	0.93301105	0.89537543	0.92814744	0.91041464	0.95617324	0.92730933	0.9441737	0.9366103	0.8874185	0.9263762	0.89761674	0.87351304	0.96390224	0.80545044
