	word/verb	mogelijk/adj	slecht/adj	aan/adj	momenteel/adj	enigszins/adv	afgelopen/adj	patiënt/noun	helemaal/adv	nog/adv	muur/noun	blijk/verb	reliëf/noun	termijn/noun	tijdig/adj	water_kanon/noun	gisteren/adv	kosten/noun	schouder_blessure/noun	alles/noun	installatie/noun	reputatie/noun	trauma/noun	consumentenvertrouwen/noun	geraakt/adj	onafhankelijkheid/noun	lijk/verb	geleidelijk/adj	help_mee/verb	operatie/noun	economie/noun	net/adv	systeem/noun	samenleving/noun	balans/noun	vanmiddag/adv	woning/noun	lever_in/verb	Champions/noun	politiek/noun	doelman/noun	leiding/noun	geloofwaardigheid/noun	probeer/verb	echter/adv	gisterenavond/adv	strand/verb	verbeter/verb	patiënte/noun	vervolgens/adv	dien/verb	zodanig/adj	fiets/noun	fonds/noun	koers_val/noun	ziekenhuis/noun	zal/verb	middag/noun	contact/noun	letsel/noun	populatie/noun	krachtig/adj	goed/adj	voet_blessure/noun	zuiverheid/noun	land/noun	paars_wit/adj	snel/adj	beurs_fonds/noun	euvel/noun	spel_maker/noun	thuisploeg/noun	tijd/noun	vergeef/verb	veiligheid/noun	mede/adv	onbemand/adj	geheel/adj	normaal/adj	vrijwel/adv	36-jarige/adj	laat/adj	bevolking_groep/noun	kerk_toren/noun	voldoende/adj	kan/verb	pas_aan/verb	niet/adv	moet/verb	norm/noun	verbetering/noun	pas/adv	ploeg/noun	golfer/noun	weer/adv	maand/noun	natuur/noun	toestand/noun	ingreep/noun	griep_aanval/noun	gebouw/noun	voldoende/adv	thuis/adv	misstap/noun	contract_uur/noun	Amsterdams/adj	glorie/noun	rij_richting/noun	rust/noun	ben/verb	blessure/noun	val_partij/noun	eveneens/adv	gezag/noun	opnieuw/adv	kom_terug/verb	democratie/noun	meer/adv	water_kwaliteit/noun	middenvelder/noun	intussen/adv	hart_operatie/noun	wereld_gemeenschap/noun	sluit_post/noun	olie_prijs/noun	meteen/adv	tijdelijk/adj	laat/verb	winstwaarschuwing/noun	evenwicht/noun	nodig/adj	kraan/noun	aandeel_beurs/noun	weeg/verb	bilateraal/adj	bezoeker/noun	fout_DIM/noun	geschonden/adj	griep/noun	volk/noun	terug/adv	licht/adj	vanzelf/adv	op_doffer/noun	wegdek/noun	volledig/adj	breuk/noun	lies_blessure/noun	orde/noun	waarschijnlijk/adj	wil/verb	situatie/noun	gebied/noun	herneem/verb	opening_fase/noun	lever/noun	onderhoud/verb	staat/noun	allicht/adv	ere/noun	dak/noun	markt/noun	geloof/noun	veerkrachtig/adj	oorspronkelijk/adj	wonderbaarlijk/adj	kiezer/noun	oud/adj	vanochtend/adv	naai/verb	electrisch/adj	schade/noun	kwetsuur/noun	redelijk/adj	Amerikaans/adj	eer/noun	spectaculair/adj	effect_beurs/noun	opereer/verb	voorlopig/adj	wat/adv	gemeente/noun	help/verb	eventueel/adj	gezondheid_probleem/noun	enkel_blessure/noun	knie_operatie/noun	vertrouwen/noun	onmiddellijk/adj	iets/adv	traditie/noun	kliniek/noun	ziekte/noun	stijl/noun	nauwelijks/adv	cabaretier/noun	sars/noun	autonomie/noun
word/verb	0.0	0.66120374	0.82829946	0.69778454	0.79236245	0.7719451	0.85798526	0.61307544	0.77630216	0.71090305	0.85176784	0.73046976	0.7974396	0.67721725	0.6654108	0.91409636	0.81507015	0.6126418	0.80086714	0.6825181	0.6911191	0.8504286	0.8646179	0.84167665	0.7474387	0.8715467	0.80035496	0.67141634	0.8041491	0.6111	0.80482256	0.9114093	0.52999246	0.7771101	0.7809666	0.66823274	0.6438728	0.7169391	0.85266054	0.88015664	0.8049776	0.7134394	0.8458171	0.6607114	0.67383444	0.67734694	0.84743315	0.68079555	0.8077362	0.6375582	0.43466228	0.6123237	0.74865264	0.79523635	0.852006	0.6574801	0.4462151	0.6551559	0.7487949	0.72162116	0.66141236	0.75134146	0.83820146	0.6271795	0.8693622	0.7994497	0.87202823	0.657912	0.86450225	0.56347275	0.8770154	0.80057555	0.77568233	0.74212587	0.7547006	0.86998945	0.7387196	0.72541815	0.62866807	0.7178294	0.8032022	0.7183628	0.8307512	0.87339365	0.776205	0.5549399	0.4696312	0.71939874	0.46185255	0.7257887	0.7374318	0.64015913	0.8704954	0.89758193	0.61613333	0.8072769	0.7871054	0.59195465	0.56930435	0.80018014	0.63443315	0.7720286	0.79686385	0.6867339	0.7165254	0.88055956	0.75021183	0.56241596	0.8571355	0.7204893	0.7429384	0.7784445	0.7547956	0.7546809	0.6243643	0.7576179	0.8383635	0.7961316	0.8388503	0.8179507	0.6268759	0.71755457	0.7983371	0.7582902	0.73038405	0.7648072	0.59943736	0.6300578	0.8510752	0.7826544	0.75695485	0.6058232	0.86382776	0.8132413	0.6819633	0.82181823	0.7597184	0.8672211	0.8142946	0.8666314	0.72182536	0.83550215	0.74407256	0.8276434	0.62259495	0.6051328	0.7545953	0.7440164	0.7563103	0.6382116	0.72885346	0.6676192	0.74341655	0.7469687	0.8948548	0.6870185	0.795084	0.76998544	0.6851753	0.6890193	0.7554951	0.7434516	0.927673	0.88584346	0.66848874	0.8065066	0.85927343	0.7355069	0.76951206	0.600955	0.77950984	0.6942255	0.8054997	0.77860177	0.91016865	0.91644865	0.8331537	0.8421351	0.61235833	0.79097384	0.68141127	0.6495648	0.71562743	0.59906054	0.7566049	0.68451643	0.69363344	0.863763	0.641902	0.7794477	0.7339064	0.6743525	0.82347363	0.7000987	0.79088205	0.87202793	0.83824253	0.86361176
mogelijk/adj	0.66120374	0.0	0.876261	0.8698314	0.78483087	0.76404566	0.8365785	0.5369623	0.82168055	0.7709591	0.9590037	0.6888498	0.8525463	0.6365862	0.72179466	0.8534039	0.8653421	0.675442	0.88946563	0.7206335	0.84000427	0.82159925	0.7751963	0.86880255	0.85286474	0.81528056	0.7401061	0.7966453	0.79877084	0.6229638	0.7344762	0.8603977	0.6969391	0.8257092	0.8604276	0.8397535	0.79919285	0.85678595	0.96901965	0.9022225	0.88815784	0.86698896	0.7823114	0.6627797	0.64740837	0.7878143	0.932088	0.67936766	0.749813	0.76331574	0.6983217	0.80299	0.84227234	0.8676024	0.88430166	0.7029103	0.55655944	0.8868375	0.7341367	0.748163	0.74380744	0.7491157	0.88029224	0.8487382	0.92585695	0.72423947	0.9368866	0.61052155	0.8677417	0.6313454	0.8670013	0.8364159	0.7501281	0.75756264	0.79977477	0.75068974	0.85914075	0.80315524	0.66412127	0.7877737	0.94291675	0.8783243	0.79393214	0.9535993	0.71896416	0.47420806	0.69227946	0.79454887	0.5507516	0.87110555	0.738129	0.8144143	0.85596275	0.8561628	0.6983155	0.83706695	0.7879809	0.73337877	0.59894276	0.8725493	0.83665323	0.80966336	0.77777517	0.7914412	0.91984004	0.92559624	0.9333694	0.76522624	0.8447195	0.75652933	0.714906	0.82040167	0.73989415	0.7737626	0.72066295	0.75034827	0.7895947	0.8163526	0.83629316	0.86425674	0.6564047	0.7710495	0.844189	0.85832906	0.809306	0.8282468	0.58390653	0.8210002	0.8981777	0.78313476	0.6893063	0.8805195	0.87623054	0.82665765	0.7109393	0.89475423	0.8144592	0.86130244	0.7407361	0.9004801	0.7476989	0.77433145	0.74399996	0.84683305	0.72967935	0.64422613	0.85254884	0.84321636	0.7787175	0.63215613	0.6286541	0.6412753	0.7034731	0.76809806	0.89030766	0.79353577	0.76586246	0.8333118	0.7529868	0.9100787	0.8863983	0.8050676	0.91035295	0.79690886	0.82703775	0.7576953	0.82141644	0.8798788	0.8606256	0.8475348	0.8706762	0.6823127	0.8577731	0.6325872	0.87440586	0.9150828	0.7574934	0.91354287	0.71723807	0.73639417	0.7370571	0.7176435	0.5229559	0.53486675	0.6837244	0.8647908	0.8474277	0.8062556	0.7356741	0.7620547	0.9110564	0.7560098	0.63301575	0.878435	0.71138567	0.9682958	0.69036674	0.8311548
slecht/adj	0.82829946	0.876261	0.0	0.9119408	0.694544	0.7015057	0.7133219	0.8528212	0.83603525	0.8389875	0.97902936	0.717195	0.8664113	0.8209964	0.8463523	0.9836297	0.73744905	0.8948538	0.9327204	0.93871605	0.7982545	0.7746784	0.9776336	0.75069577	0.82864	0.85400414	0.756292	0.87576246	0.8598193	0.87608814	0.6841805	0.8535764	0.89348197	0.85600376	0.8757755	0.8603785	0.8802118	0.7927496	0.9265525	0.8498142	0.88488156	0.8916371	0.8295703	0.8892976	0.77499175	0.8715167	0.90300083	0.4506148	0.90878004	0.8096183	0.8071685	0.5523716	0.88069373	0.73128533	0.7113246	0.8626517	0.8621274	0.93670124	0.7972889	0.88956237	0.962964	0.85907984	0.50026697	0.93219197	0.805291	0.65440255	0.84912974	0.7979615	0.71340454	0.9533007	0.8818374	0.86528635	0.83543825	0.9635123	0.7891793	0.59112585	0.8942263	0.82427514	0.785856	0.75360715	0.91053116	0.8640024	0.9222721	0.9208472	0.73825586	0.87438774	0.80929613	0.86024207	0.8947626	0.8630784	0.5391784	0.9157197	0.85542804	0.8258927	0.7808717	0.77742743	0.808493	0.7265875	0.8543058	0.91616637	0.83372	0.9398458	0.88621986	0.95461017	0.95099777	0.7337115	0.9794692	0.8348179	0.8979083	0.74229914	0.85610986	0.8592493	0.78065807	0.84221506	0.77157295	0.8897283	0.8074144	0.82977796	0.70044667	0.90845484	0.63452816	0.9187474	0.88476676	0.9462881	0.7488798	0.81887907	0.85680044	0.8882655	0.690724	0.8347664	0.7376499	0.8806064	0.7215557	0.7510955	0.8450525	0.90097064	0.94455576	0.7790772	0.90863323	0.8519473	0.8671828	0.8042503	0.9013752	0.87402344	0.62091446	0.76159155	0.9225363	0.94476867	0.93488836	0.8528379	0.9200567	0.81790996	0.73573315	0.8882413	0.9153929	0.8175274	0.8267623	0.6146953	0.8931527	0.90313876	0.9179239	0.69896805	0.90295565	0.8496158	0.7657576	0.811253	0.88410974	0.86456245	0.7011078	0.90011764	0.92553145	0.6789931	0.9024303	0.55731726	0.5271958	0.8161732	0.7150451	0.832106	0.82101303	0.77731407	0.8605888	0.859416	0.8117465	0.91293603	0.88068634	0.939265	0.9392331	0.76293147	0.9192782	0.7880173	0.9140263	0.93778324	0.90746045	0.94514143	0.6617388	0.95500857	0.92011636	0.9309195
aan/adj	0.69778454	0.8698314	0.9119408	0.0	0.7832966	0.84629333	0.8334262	0.85150903	0.7761078	0.7400228	0.9553522	0.905609	0.8598098	0.8112109	0.9221799	0.8321007	0.92452544	0.9283072	0.80024433	0.8386632	0.95117354	0.9527923	0.8904987	0.8830479	0.86043	0.92916924	0.7673731	0.65371084	0.8399211	0.8640001	0.8281218	0.7938601	0.7497947	0.93243986	0.8378695	0.68894047	0.97433317	0.91019404	0.8971107	0.9035263	0.9043737	0.8683045	0.850307	0.8219894	0.7728201	0.8411394	0.9095073	0.76854205	0.9193241	0.71487486	0.8938758	0.9162847	0.7898853	0.92060786	0.85666627	0.8602667	0.7539576	0.542956	0.954373	0.8977376	0.7708983	0.82114196	0.8211633	0.8364273	0.93159175	0.870104	0.90652245	0.8510133	0.9211835	0.8675855	0.87847406	0.7745977	0.816056	0.9081887	0.9034298	0.9141565	0.92665076	0.8517346	0.81452364	0.88418764	0.9565321	0.7495538	0.9660897	0.9697204	0.8096291	0.8670377	0.7604473	0.89345175	0.7800105	0.8821813	0.73922646	0.7217652	0.8627682	0.95517385	0.65291256	0.8436278	0.92563516	0.8386068	0.85827756	0.8528858	0.94459087	0.83435625	0.80400854	0.9361934	0.79485387	0.95562726	0.88975024	0.816723	0.8256314	0.79642445	0.77529895	0.8334667	0.8860777	0.82725143	0.8200636	0.80576766	0.8662848	0.9273637	0.9423885	0.82371235	0.83260393	0.8599633	0.8834646	0.90040237	0.7971497	0.8876328	0.8142023	0.80364335	0.9409629	0.68654114	0.86923224	0.90039957	0.8987308	0.7865928	0.9766917	0.8783771	0.91379887	0.8893383	0.7877162	0.9337271	0.769912	0.74141484	0.8248756	0.7623639	0.84639275	0.80014145	0.7997818	0.83366513	0.8243015	0.75018376	0.8763143	0.90222764	0.88144624	0.73608017	0.9095556	0.9184472	0.953714	0.9642392	0.84682786	0.8455564	0.9344752	0.8510942	0.9549779	0.8288902	0.8870063	0.86167866	0.9538258	0.7976343	0.79270303	0.9279851	0.8877498	0.91486114	0.83850837	0.88345265	0.9415992	0.9218651	0.9204903	0.8686296	0.873801	0.88407904	0.60398436	0.93057084	0.8693495	0.88223445	0.93095106	0.8430859	0.8370142	0.8179834	0.93360287	0.7646953	0.9057577	0.94421405	0.9369492	0.8159486	0.7824513	0.9359952	0.96202415	0.92019576
momenteel/adj	0.79236245	0.78483087	0.694544	0.7832966	0.0	0.86699116	0.6494137	0.73542905	0.7590695	0.69195545	0.92839307	0.8189354	0.9412523	0.74559724	0.7108679	0.86766744	0.74759674	0.80760634	0.6995771	0.880412	0.84868807	0.9075431	0.87987345	0.8581901	0.76543045	0.92992723	0.68231833	0.733799	0.88294476	0.6248463	0.82607347	0.7261244	0.88893116	0.92606914	0.8489255	0.8909273	0.8331362	0.8724358	0.9227195	0.89494306	0.54740727	0.86742604	0.9430138	0.90272427	0.8248573	0.8088031	0.9262648	0.80018	0.77078176	0.6997546	0.6849477	0.7945372	0.7826848	0.8648474	0.86738104	0.6245825	0.8528892	0.89261615	0.84433424	0.7622132	0.9117735	0.8824855	0.78177834	0.8006695	0.92374796	0.852063	0.82398045	0.83828354	0.88094467	0.86979985	0.67674375	0.80340475	0.65447617	0.929755	0.8194658	0.69224787	0.88729423	0.77932215	0.6451979	0.75645006	0.6446024	0.8868675	0.91694707	0.8839238	0.70632344	0.8324506	0.82680404	0.88755864	0.63147426	0.9579298	0.8519837	0.63457084	0.7890497	0.9100253	0.6764443	0.6081715	0.8650737	0.7270068	0.6517026	0.7392976	0.84223646	0.71860254	0.751041	0.8893114	0.9112844	0.8752006	0.95797807	0.8389602	0.6784078	0.73433656	0.6295564	0.76512253	0.5810412	0.86431175	0.59871316	0.6530217	0.89862764	0.86763954	0.91379905	0.4940573	0.68682903	0.8402257	0.93375134	0.9150872	0.8299811	0.87648416	0.72113216	0.8065472	0.84047765	0.846636	0.77717656	0.8101232	0.85428965	0.80526173	0.85864365	0.9633266	0.9391821	0.90979034	0.6580025	0.9455853	0.60088027	0.52034676	0.8545785	0.8644059	0.82729614	0.59228253	0.6989217	0.6955685	0.859319	0.67623687	0.92273295	0.86402494	0.86548316	0.634423	0.83169115	0.88386345	0.8313173	0.82983094	0.5431951	0.94818187	0.8911561	0.80877537	0.94832605	0.87616456	0.8593963	0.8300919	0.9399173	0.77827924	0.8546932	0.914781	0.8421737	0.8521927	0.7423485	0.7389152	0.8212372	0.9621384	0.904392	0.88933235	0.5694201	0.5885689	0.7721415	0.79973954	0.7838715	0.84478414	0.8094847	0.81845057	0.81302464	0.8681944	0.8498374	0.83880097	0.92624605	0.84057796	0.73613787	0.9034258	0.6547117	0.90380585	0.8616651	0.9306654
enigszins/adv	0.7719451	0.76404566	0.7015057	0.84629333	0.86699116	0.0	0.72389525	0.8656169	0.7165797	0.80528814	0.9115949	0.76892686	0.93363744	0.7307587	0.74633604	0.8042702	0.61735433	0.8095032	0.9299879	0.77698666	0.8955958	0.612807	0.7848973	0.73345995	0.74064195	0.9420861	0.65013933	0.7018753	0.83070964	0.84332657	0.56484437	0.6774503	0.7587636	0.64324725	0.63382167	0.7060845	0.84053993	0.77445227	0.73304534	0.8870783	0.81254154	0.834857	0.7169794	0.5490197	0.74884254	0.7727896	0.8442762	0.76689625	0.9192344	0.76542586	0.77794176	0.66788375	0.935835	0.6343502	0.739348	0.8950028	0.75814056	0.7969507	0.9099254	0.9087323	0.84482	0.8330165	0.67357814	0.9005816	0.85002774	0.7279248	0.7549916	0.611743	0.6629243	0.827023	0.7868145	0.66851115	0.7278788	0.9115284	0.7433382	0.7149178	0.90708137	0.822955	0.7294769	0.77803826	0.94131064	0.8221433	0.8394684	0.95008045	0.7530284	0.69560087	0.83302224	0.8488674	0.70815086	0.74814326	0.8564916	0.76506543	0.5856466	0.72966456	0.57652783	0.7886255	0.65068185	0.837908	0.8779666	0.9104949	0.796713	0.8623744	0.8517498	0.8831995	0.7753884	0.6771718	0.76266396	0.916965	0.73154855	0.74794537	0.81062627	0.8413837	0.7717258	0.8034806	0.61999285	0.7730632	0.7780272	0.8626053	0.8923527	0.83097154	0.60104764	0.9265883	0.8983693	0.90479773	0.7004205	0.73184747	0.82806146	0.7214688	0.65820104	0.6687603	0.78641605	0.91011393	0.70281434	0.8283816	0.8199993	0.6708282	0.8636957	0.71909124	0.8635656	0.8146173	0.7824369	0.70759284	0.7560222	0.7980484	0.8268896	0.68629205	0.94670266	0.9190218	0.7987187	0.79739046	0.8382464	0.73605305	0.77055806	0.80644333	0.87256676	0.7886127	0.9565753	0.94492173	0.842687	0.7771514	0.9013298	0.5827381	0.7663282	0.8938494	0.7599566	0.7594028	0.8146305	0.82604593	0.6834341	0.91000026	0.9606036	0.7384691	0.8405128	0.5686904	0.65834355	0.71527827	0.5953559	0.74753904	0.92043453	0.7165037	0.50060123	0.8764256	0.7726919	0.7404269	0.8917414	0.81488174	0.8819319	0.634022	0.74472	0.5500258	0.72822577	0.9090504	0.9329381	0.86491555	0.5891203	0.94156456	0.93585736	0.94235283
afgelopen/adj	0.85798526	0.8365785	0.7133219	0.8334262	0.6494137	0.72389525	0.0	0.8698875	0.8643491	0.7301284	0.97789717	0.78434	0.95775914	0.753163	0.7954354	0.9755613	0.4267441	0.8976444	0.86001354	0.8933419	0.9726738	0.9315443	0.94365346	0.57038975	0.7910485	0.97801065	0.66459286	0.81940013	0.78486985	0.8120473	0.684496	0.76512426	0.9154	0.89914703	0.8569	0.6765662	0.94714075	0.5896857	0.8962246	0.89193857	0.7283497	0.9600647	0.9679687	0.8751129	0.7719738	0.898667	0.88268757	0.8003169	0.8769206	0.7404775	0.8254756	0.83973277	0.93407154	0.5401194	0.48425323	0.8448012	0.83457965	0.8141899	0.9203185	0.89671385	0.8228805	0.8136387	0.88775474	0.8048173	0.99064344	0.826704	0.81709075	0.7912868	0.52377766	0.895904	0.82024854	0.8828823	0.65925914	0.9555903	0.86385053	0.58973855	0.96873885	0.7768476	0.7999982	0.64580977	0.7709582	0.5562948	0.90272325	0.9931998	0.77954316	0.85767657	0.8964424	0.94554764	0.72715586	0.9719221	0.85869914	0.72738373	0.8715984	0.7389202	0.67743886	0.50194526	0.86335903	0.83998114	0.8225193	0.8566274	0.96845716	0.8315047	0.8890035	0.96722835	0.97122157	0.6128454	0.9643046	0.9759034	0.8393532	0.819592	0.78788507	0.8432884	0.57920074	0.96074414	0.65222716	0.80174243	0.941153	0.8629396	0.8614168	0.73091364	0.7618327	0.9021812	0.90718883	0.8822269	0.5129038	0.84334344	0.82967484	0.8538983	0.44174445	0.85536426	0.80688965	0.95459956	0.5640147	0.7119969	0.92545843	0.95071167	0.9245474	0.88599384	0.81336933	0.97196305	0.7761045	0.7129375	0.8807055	0.9132604	0.94091004	0.7585491	0.92344636	0.8497343	0.92652935	0.7111091	0.89944553	0.78523105	0.8822243	0.736413	0.8716685	0.96113235	0.91402143	0.89476514	0.76133645	0.9699504	0.9329734	0.55234325	0.9513563	0.8800227	0.94283	0.7824396	0.9411862	0.82052493	0.44116795	0.9787513	0.98414963	0.89689845	0.8608376	0.8023535	0.6088469	0.9726926	0.6951912	0.60303557	0.7609223	0.70894265	0.8857982	0.94548565	0.79900336	0.86344934	0.9219981	0.85161066	0.81537914	0.7834128	0.8640162	0.6964271	0.94427556	0.9564265	0.88930666	0.9271654	0.6062244	0.93080586	0.94821167	0.9714256
patiënt/noun	0.61307544	0.5369623	0.8528212	0.85150903	0.73542905	0.8656169	0.8698875	0.0	0.88976717	0.8336214	0.9003668	0.71153295	0.9166767	0.6565213	0.72106206	0.96737623	0.89473766	0.6722128	0.8349272	0.87301075	0.8764532	0.92313266	0.62966144	0.898409	0.86824864	0.7993611	0.791032	0.85946894	0.8134974	0.40262485	0.77089113	0.86579716	0.8062505	0.84613824	0.8860357	0.8941204	0.85058963	0.8715452	0.98706263	0.913011	0.92969924	0.8368699	0.85611594	0.82737875	0.7399764	0.7574855	0.95922846	0.711824	0.388826	0.8016582	0.74202704	0.72863483	0.91598606	0.90819615	0.954452	0.38609707	0.69664943	0.8924465	0.8521763	0.6081902	0.802173	0.86989635	0.8770426	0.7781894	0.90859884	0.7982589	0.9446669	0.7461147	0.9126903	0.7252547	0.9136432	0.92901915	0.8497624	0.96234834	0.74916583	0.7342385	0.9337858	0.8361674	0.7344695	0.89322627	0.9297618	0.9154943	0.7826233	0.96261114	0.784601	0.5910734	0.7795137	0.798514	0.56582385	0.93207604	0.7568197	0.8323144	0.9271969	0.93913716	0.81650853	0.8356049	0.83759964	0.5635387	0.42410618	0.8850553	0.8240456	0.7093537	0.72232413	0.9133885	0.9168806	0.93752307	0.9462523	0.8798286	0.91009605	0.77166843	0.75032425	0.7936478	0.86656797	0.7822107	0.8279873	0.7977737	0.820998	0.80775857	0.83851403	0.83681935	0.7672597	0.60429966	0.9167788	0.9124771	0.91187394	0.8468507	0.67443764	0.8045167	0.937701	0.8629491	0.6098255	0.86654425	0.9505573	0.847348	0.7783989	0.9175238	0.9262397	0.88505304	0.65743643	0.88607776	0.7262322	0.7632716	0.8548413	0.9365388	0.7957179	0.70145106	0.73350686	0.7842996	0.872561	0.7212862	0.7857483	0.73090935	0.6681281	0.84093285	0.9287007	0.5148413	0.849186	0.88783395	0.8109331	0.95694774	0.9228971	0.84060967	0.95498914	0.91933227	0.9209615	0.81835	0.88440776	0.940279	0.93236136	0.7750671	0.86402553	0.79597414	0.73138094	0.7732109	0.9157277	0.9774272	0.84120506	0.98070514	0.54569054	0.83985794	0.894989	0.71258867	0.52771163	0.58918834	0.62243915	0.8050325	0.80188644	0.89733076	0.75714207	0.91081214	0.96467674	0.46000457	0.46195644	0.9262039	0.758551	0.93356514	0.5851202	0.81646246
helemaal/adv	0.77630216	0.82168055	0.83603525	0.7761078	0.7590695	0.7165797	0.8643491	0.88976717	0.0	0.72451305	0.8575148	0.7889404	0.9385416	0.8365744	0.67439675	0.83776665	0.84695816	0.901504	0.7595697	0.6504094	0.8830606	0.8860995	0.9088888	0.86688286	0.8208626	0.9671183	0.67997956	0.8100032	0.9245653	0.83228934	0.8511894	0.64409226	0.8550616	0.9066991	0.84327203	0.8561411	0.8463893	0.87606233	0.9414793	0.8923533	0.76049334	0.8777128	0.9284447	0.772122	0.6089777	0.83967257	0.8427824	0.8783471	0.90609264	0.7522094	0.8060271	0.73873234	0.75079197	0.91883093	0.9659745	0.8960642	0.73409355	0.76953757	0.917389	0.89878	0.8477227	0.895232	0.7879283	0.8441856	0.89481753	0.8735036	0.8568709	0.67854905	0.94993025	0.7581745	0.8422508	0.7534419	0.55552906	0.86273515	0.8889025	0.8855567	0.9567259	0.6652595	0.6723237	0.894027	0.9293725	0.778445	0.9170199	0.8316087	0.6701231	0.7087183	0.8295443	0.63090277	0.7598593	0.8505208	0.9040394	0.65991664	0.7435663	0.92304504	0.6300771	0.8155736	0.84379077	0.8819543	0.86474645	0.79404414	0.80517936	0.8245438	0.60502255	0.8248278	0.8791268	0.9701422	0.7843548	0.91481775	0.6647675	0.6016879	0.67377627	0.7888129	0.8430452	0.85342795	0.7472364	0.63344437	0.88554335	0.6218271	0.8973153	0.8014773	0.6742355	0.83652234	0.85678893	0.85466945	0.91415966	0.63358784	0.85116947	0.75944114	0.9253011	0.7094892	0.7802025	0.7880317	0.838734	0.8793771	0.95483285	0.8464436	0.84949	0.89663935	0.78166854	0.92478174	0.61891747	0.74946815	0.6466665	0.77439296	0.83904576	0.62794316	0.8431655	0.74952495	0.74889195	0.7661564	0.70240057	0.825405	0.9121745	0.72611165	0.8869707	0.8198153	0.90949297	0.89491284	0.7078831	0.7581451	0.87548596	0.9154891	0.89484924	0.92676216	0.7730189	0.83497524	0.8549727	0.7141705	0.8849515	0.86653924	0.8595079	0.86801493	0.7460009	0.8185154	0.94112384	0.95011985	0.86156845	0.920484	0.83392155	0.6276953	0.73012424	0.914025	0.82547075	0.8660899	0.7755581	0.8018925	0.73831	0.76991946	0.67047924	0.81660557	0.842325	0.9105339	0.8572762	0.8225711	0.65165067	0.9500288	0.9283347	0.9777973
nog/adv	0.71090305	0.7709591	0.8389875	0.7400228	0.69195545	0.80528814	0.7301284	0.8336214	0.72451305	0.0	0.9573827	0.6386306	0.8776366	0.6801058	0.723763	0.87667865	0.8459315	0.8173508	0.71504706	0.7046453	0.89579695	0.83720636	0.854006	0.7660185	0.76707774	0.94287187	0.36795956	0.7034328	0.82077014	0.77891195	0.82449913	0.64370036	0.85390204	0.9040449	0.5979284	0.8365279	0.8827509	0.8458048	0.7540631	0.9148081	0.6397834	0.8359081	0.9447748	0.71891814	0.5801182	0.84706014	0.7369998	0.81025195	0.92143875	0.80226487	0.7694196	0.8411757	0.86425275	0.7940491	0.8334227	0.80868316	0.6492765	0.774634	0.863237	0.7719574	0.8618058	0.84796894	0.6657382	0.79992235	0.91317403	0.8979762	0.6850341	0.6520122	0.87301236	0.68909985	0.72857165	0.67257464	0.5897311	0.7885528	0.82169366	0.79775155	0.89376575	0.9186367	0.62047416	0.8387392	0.8238807	0.54630893	0.8219007	0.9435152	0.65740615	0.60669506	0.7627443	0.646634	0.7519836	0.92178273	0.86916006	0.5209552	0.69583523	0.89021677	0.5752779	0.7450396	0.838587	0.7452074	0.78681475	0.7429836	0.9024338	0.8620565	0.7511903	0.6711817	0.8259647	0.91188955	0.9266699	0.842908	0.5913851	0.5138123	0.6485473	0.8023348	0.7840314	0.9231852	0.5576745	0.63777626	0.9223684	0.5023695	0.7954214	0.6878334	0.7629306	0.86224145	0.84302974	0.8465975	0.7630397	0.7397825	0.81236136	0.6415367	0.8713477	0.7392302	0.78657556	0.85372233	0.7533023	0.7795189	0.85066086	0.74065197	0.7058654	0.78484166	0.77088356	0.9020268	0.68173516	0.68553936	0.8182848	0.65876496	0.8572858	0.79036874	0.86335796	0.70775473	0.6504176	0.68832135	0.76581395	0.6639987	0.9100089	0.69817173	0.67079693	0.9016615	0.8353972	0.9148605	0.69395566	0.907271	0.94836324	0.82481015	0.95341617	0.76680064	0.92357826	0.8851767	0.83633864	0.81856024	0.8583817	0.84129643	0.9439336	0.7612928	0.71996486	0.7923568	0.9517607	0.8400035	0.80269766	0.81407046	0.7660149	0.6953999	0.6813619	0.85930246	0.75165176	0.8197407	0.82333267	0.7052686	0.68429804	0.8224224	0.82540405	0.6844933	0.94793504	0.91458493	0.860739	0.8420012	0.6309445	0.9500771	0.8910511	0.88821787
