	dans/noun	opgaaf/noun	avontuur/noun	bijzonder/adj	parkoers/noun	toestand/noun	plotseling/adj	impasse/noun	hoe/adj	even/adj	toch/adv	zo/adv	zo/adj	klus/noun	veiligheid_situatie/noun	het/det	toer/noun	exercitie/noun	meest/adj	bestaan/noun	moment/noun	soms/adv	strijd/noun	tocht/noun	voorspel/verb	kwestie/noun	stand_DIM/noun	reis/noun	oversteek/noun	behoorlijk/adj	sport/noun	zaak/noun	vergelijk/verb	koor/noun	rit/noun	standpunt/noun	genoeg/adv	wat/adv	omstandigheid/noun	positie/noun	prognose/noun	opdracht/noun	poging/noun	uiterst/adj	besluit/noun	onderweg/adj	even/adv	op/adj	operatie/noun	structuur/noun	publicitair/adj	trek_aan/verb	onderneming/noun	tafereel/noun	al/adv	dat/det	onderwerp/noun	steeds/adv	situatie/noun	capriool/noun	stunt_werk/noun	onderdeel/noun
dans/noun	0.0	0.89844286	0.72851974	0.7329929	0.8362164	0.89349216	0.8365692	0.8884858	0.84505767	0.8525651	0.87806803	0.826263	0.85031015	0.91442376	0.9482784	0.83034104	0.7776226	0.89186656	0.7660923	0.82512385	0.864239	0.669219	0.9140906	0.8338818	0.93747234	0.860765	0.7974998	0.8387583	0.8977396	0.8253229	0.6889932	0.9274045	0.8357618	0.6620415	0.9313706	0.88109	0.8441587	0.7967354	0.90729105	0.93423784	0.93335074	0.9131206	0.90360093	0.7807857	0.9430068	0.8552029	0.7471833	0.91937333	0.92165655	0.7575851	0.89667755	0.8949943	0.9175331	0.6790506	0.93904227	0.8823496	0.74278545	0.8362159	0.9141175	0.8290658	0.8738042	0.83141136
opgaaf/noun	0.89844286	0.0	0.8681797	0.849587	0.8081753	0.86054724	0.8393365	0.8595397	0.8107659	0.86073667	0.8126036	0.79714435	0.86295134	0.74082243	0.8917779	0.8623742	0.890386	0.8613421	0.86027086	0.88021344	0.865237	0.7946834	0.8582874	0.89559364	0.8423698	0.8132373	0.8985102	0.8872309	0.9087392	0.82636034	0.8808303	0.8394996	0.8589784	0.9051817	0.81831557	0.83640134	0.8393366	0.8465927	0.7926767	0.827562	0.82985836	0.7148837	0.87666225	0.8262995	0.8465415	0.8741226	0.8213627	0.8832962	0.80935705	0.8255315	0.89398	0.9219815	0.8504941	0.85676706	0.8739929	0.79549235	0.82508963	0.8443065	0.81675696	0.8934684	0.90657264	0.85675305
avontuur/noun	0.72851974	0.8681797	0.0	0.77171016	0.8146808	0.8133695	0.7955753	0.8383376	0.7827141	0.8235027	0.7405766	0.78175145	0.8240473	0.8367621	0.9141598	0.8379508	0.7568404	0.8082996	0.77629876	0.7753008	0.77861017	0.6867844	0.8300571	0.685632	0.8832887	0.87110204	0.8124709	0.6390312	0.7835009	0.8135401	0.80789226	0.8741708	0.8601749	0.8464487	0.8281596	0.8885356	0.82280636	0.8063153	0.83137083	0.90295523	0.8851732	0.853507	0.81709075	0.787667	0.89324105	0.7994062	0.7271447	0.8809614	0.7867476	0.8569729	0.8800087	0.89816993	0.8250197	0.6657967	0.8902725	0.8262251	0.78013736	0.81696784	0.8253603	0.7924557	0.84942174	0.8852239
bijzonder/adj	0.7329929	0.849587	0.77171016	0.0	0.8180471	0.80702406	0.79998285	0.8704233	0.6865758	0.76042145	0.6875025	0.5854292	0.60030687	0.8341051	0.9035275	0.8267708	0.8193334	0.8281173	0.5868803	0.79573584	0.7737852	0.5959234	0.876628	0.8195025	0.87320113	0.80881685	0.8500206	0.82898873	0.8852278	0.6008148	0.75868636	0.8291891	0.8159217	0.7978368	0.91850716	0.8414661	0.6170314	0.6257093	0.7824574	0.8630446	0.8626203	0.8293361	0.86880624	0.4269817	0.84660834	0.8681605	0.5618131	0.89195955	0.85267985	0.74643576	0.82202566	0.8815794	0.83489263	0.710352	0.88423264	0.7848289	0.7189681	0.69800174	0.7897201	0.84433734	0.86933005	0.8130857
parkoers/noun	0.8362164	0.8081753	0.8146808	0.8180471	0.0	0.86040044	0.81675154	0.91448116	0.871085	0.8085918	0.8288316	0.820074	0.8389067	0.79925305	0.9272967	0.83656996	0.8109282	0.8937217	0.8416285	0.9039312	0.8605067	0.7764429	0.921458	0.6262758	0.8782362	0.9105311	0.81038415	0.8082932	0.7783991	0.7795493	0.8392136	0.89084303	0.8806905	0.86831117	0.65408784	0.88259405	0.82736933	0.78650194	0.7787832	0.8592428	0.8840123	0.82716686	0.9131082	0.82469386	0.9163671	0.7254496	0.7891731	0.88807815	0.8758504	0.7935642	0.8898417	0.90337586	0.9139518	0.79502076	0.87129176	0.8574642	0.84122735	0.86937666	0.8398404	0.85758245	0.85254246	0.8516277
toestand/noun	0.89349216	0.86054724	0.8133695	0.80702406	0.86040044	0.0	0.8177135	0.79129297	0.7580786	0.864932	0.8283508	0.7670639	0.76134276	0.88507473	0.68939996	0.813246	0.860357	0.85271025	0.7960548	0.80950534	0.80763805	0.73003566	0.8926646	0.86707664	0.85158056	0.78994644	0.90036845	0.8773184	0.8810144	0.78527325	0.89784133	0.75031507	0.87830025	0.90383434	0.92649806	0.82545817	0.81306005	0.8285301	0.605387	0.7799287	0.81176376	0.8864106	0.85789543	0.748438	0.8573891	0.87406653	0.7560121	0.90105796	0.8031583	0.7564396	0.9168235	0.92723745	0.8581112	0.72451115	0.8897068	0.7879811	0.81408745	0.7969167	0.321411	0.8653268	0.9166217	0.9043324
plotseling/adj	0.8365692	0.8393365	0.7955753	0.79998285	0.81675154	0.8177135	0.0	0.8186321	0.7791423	0.63723177	0.7681955	0.75826234	0.7619052	0.88165903	0.8704992	0.7735884	0.8110456	0.91625845	0.8074488	0.82740754	0.68681663	0.6300955	0.85581124	0.8027019	0.7899849	0.84870803	0.8636911	0.85127956	0.8596486	0.7353165	0.83592314	0.8666063	0.85367024	0.8353531	0.87276185	0.8743499	0.8189062	0.72424185	0.81598026	0.87632227	0.8679576	0.91841197	0.8360964	0.80997413	0.8598156	0.70539576	0.66493404	0.8620788	0.8564717	0.8417263	0.86664724	0.8834703	0.87628156	0.7239882	0.8154176	0.83302855	0.8277152	0.68085897	0.82434225	0.8370812	0.90126634	0.8841645
impasse/noun	0.8884858	0.8595397	0.8383376	0.8704233	0.91448116	0.79129297	0.8186321	0.0	0.86106527	0.8980458	0.8746995	0.8653724	0.8914228	0.9061079	0.86175525	0.8381707	0.86870146	0.86506593	0.8666256	0.8527514	0.89075565	0.8187394	0.7856152	0.8653823	0.856343	0.7653084	0.9220122	0.8872182	0.90723675	0.8758056	0.9005534	0.8443574	0.9080057	0.9143889	0.91992134	0.82554257	0.9013571	0.9042535	0.85025585	0.81881	0.88646644	0.86445034	0.75155735	0.81593245	0.815616	0.8901531	0.85890114	0.90442663	0.8165463	0.8106687	0.88589424	0.9281573	0.85927117	0.8609859	0.8582858	0.85277027	0.8158479	0.8390628	0.74403584	0.91207445	0.91160744	0.8934538
hoe/adj	0.84505767	0.8107659	0.7827141	0.6865758	0.871085	0.7580786	0.7791423	0.86106527	0.0	0.7224097	0.65711296	0.46042025	0.5978287	0.8465265	0.8632167	0.839973	0.88762665	0.85890335	0.74466807	0.8065432	0.7579662	0.59668154	0.89278156	0.87356377	0.8751862	0.78571945	0.8860687	0.85631144	0.8752317	0.74017066	0.8320607	0.784533	0.82238257	0.89256537	0.9367117	0.7988231	0.6149422	0.6931691	0.73856556	0.85181075	0.87459683	0.8478975	0.8571242	0.6724254	0.88297546	0.8619412	0.65358204	0.89546245	0.8659148	0.78232574	0.88392836	0.9163924	0.8716885	0.729476	0.8333854	0.6445417	0.7507739	0.6756848	0.67857814	0.83415484	0.8923515	0.8853718
even/adj	0.8525651	0.86073667	0.8235027	0.76042145	0.8085918	0.864932	0.63723177	0.8980458	0.7224097	0.0	0.5987869	0.6284292	0.73847616	0.8119453	0.924938	0.8356404	0.83637965	0.9151877	0.83393455	0.86939806	0.70014197	0.60091305	0.92767984	0.81642663	0.8999122	0.84120864	0.82330936	0.84088415	0.86632425	0.72621703	0.8749816	0.84344506	0.90907794	0.8648749	0.8704846	0.88783073	0.714252	0.5558713	0.84606296	0.9208559	0.88090134	0.90650225	0.8668716	0.76314104	0.8930359	0.72540605	0.54204595	0.837945	0.88300663	0.8861269	0.87799203	0.91750854	0.93843234	0.77595854	0.8264494	0.79930115	0.85234743	0.7574066	0.85058045	0.8500213	0.8775216	0.92737913
