	gehandicapt/adj	opticien/noun	en/comp	alleen/adj	carrière/noun	dan/adv	ver/adj	Rineke/name	aanschaf/noun	C2/name	Amerikaan/noun	wel/adv	weg/noun	maar/adv	probleem/noun	trouwens/adv	ook/adv	op/adj	weduwe/noun	systeem/noun	of/comp	om/comp	zelfs/adv	uit/prep	ouder/noun	ginds/adj	niets/noun	vriend/noun	zogezegd/adj	daaraan/pp	elkaar/pron	juist/adj	te/comp	fiets/noun	zij/pron	god/noun	zo/adv	Sparta/name	cursist/noun	jongen/noun	computer/noun	lezer/noun	Europa/name	bouw/noun	je/pron	snel/adj	imago/noun	iemand/noun	broer/noun	buur/noun	mede/adv	markt_economie/noun	vakantieganger/noun	gemeente_bestuur/noun	het/noun	dokter/noun	ze/pron	weinig/det	niet/adv	wijze/noun	regeringstroepen/noun	weer/adv	werkloos/adj	valk/noun	vrouw/noun	bovendien/adv	daarmee/pp	bij/prep	aan/prep	maatregel/noun	drugsverslaafd/adj	graag/adj	1-1_gelijkspel/noun	familie_lid/noun	als/comp	ons/noun	honderdduizenden/noun	buitenlander/noun	door/comp	toch/adv	dus/adv	het/det	niemand/pron	echt/adj	stage/noun	soms/adv	democratie/noun	familie/noun	wereld/noun	haar/pron	hulp/noun	af/adv	met/prep	Amerika/name	creativiteit/noun	tijdelijk/adj	vader/noun	dame/noun	door/prep	mens/noun	klant/noun	overeind/adv	Kosovo/name	misschien/adv	vooruit/adv	ik/pron	oog_arts/noun	tegen/prep	huis_bezitter/noun	al/comp	therapeut/noun	dat/det	allochtoon/noun	u/pron	mij/pron	natuurlijk/adj	zoon/noun	hen/pron	ervaring/noun	hij/pron	kopman/noun	we/pron	bovenop/prep	partner/noun	even/adj	me/pron	ons/pron	gelukkig/adj	uitstekend/adj	tussenstap/noun	amateur_club/noun	persoon/noun	zeker/adj	mee/adv	boer/noun	beetje/noun	gemeente/noun	niks/noun	veel/adj	mezelf/pron	daarbij/pp	tekort/noun	handjevol/noun	index/noun	zichzelf/pron	Ambiorix/name	IBA/name	hem/pron	chauffeur/noun	president/noun	of/vg
gehandicapt/adj	0.0	0.8995453	0.9226879	0.8065569	0.9171625	0.9234808	0.8866704	0.920394	0.8707256	0.94203424	0.8892086	0.9246332	0.8951399	0.9085671	0.7699446	0.868171	0.80427873	0.89795864	0.7731657	0.8217038	0.8986171	0.7999758	0.8419172	0.8454128	0.615506	0.854027	0.9530405	0.81794643	0.7923893	0.8775447	0.8765471	0.8770119	0.8176057	0.8173073	0.74593586	0.89483124	0.9036608	0.9207989	0.73285294	0.75634444	0.8434474	0.874942	0.8973749	0.8524753	0.87267226	0.89441156	0.8885777	0.8333576	0.82936275	0.8136687	0.86651766	0.87480336	0.7858031	0.8251567	0.940007	0.7974658	0.8049123	0.86164606	0.89511245	0.8455379	0.91709083	0.9101667	0.6413854	0.9169291	0.67153925	0.7464565	0.8867194	0.80886436	0.8240555	0.8577133	0.6699022	0.8625982	0.9557859	0.67323554	0.86648107	0.86824024	0.81590956	0.7592358	0.81267947	0.91058815	0.87484574	0.8747028	0.91508377	0.8998024	0.81831247	0.8335862	0.8731564	0.78093624	0.88853	0.82060254	0.716028	0.90863305	0.8269746	0.904252	0.8426058	0.73563755	0.75529724	0.8170379	0.7931926	0.6903207	0.807451	0.8738749	0.90310216	0.91626304	0.91221917	0.8978861	0.82805085	0.8997517	0.84831035	0.90889657	0.73551023	0.9068501	0.65182024	0.89950883	0.9004845	0.9032725	0.8018399	0.74936634	0.8550514	0.8668268	0.8935684	0.8564744	0.8337748	0.82074225	0.922344	0.8945839	0.8676445	0.871056	0.8560383	0.8989186	0.88257533	0.6954868	0.9119563	0.8468841	0.8012967	0.92379946	0.7690934	0.9447347	0.84338164	0.90729606	0.8172971	0.80581236	0.8411001	0.9303823	0.8520354	0.93052906	0.9178628	0.8673378	0.8282079	0.945754	0.71478754
opticien/noun	0.8995453	0.0	0.887053	0.8319713	0.90807486	0.8857089	0.89801115	0.91142476	0.8617488	0.917659	0.87617075	0.88898903	0.9213119	0.8801186	0.8790605	0.83783036	0.8400109	0.9116004	0.864474	0.86808956	0.8798094	0.830629	0.88003314	0.88159317	0.8410655	0.8705208	0.8990845	0.852849	0.8428828	0.89542556	0.88833106	0.8545129	0.8218099	0.86598694	0.7745509	0.9175317	0.8725813	0.91933036	0.8359838	0.8763491	0.83916783	0.8354635	0.8899155	0.9315969	0.8475573	0.87044764	0.88522047	0.8293155	0.85218376	0.8533905	0.87974477	0.8755284	0.80294573	0.8443099	0.8894982	0.77505094	0.7910883	0.8571123	0.8870641	0.8749012	0.9390102	0.8707591	0.88273466	0.9036652	0.8622594	0.8054696	0.8806729	0.86079025	0.8670253	0.8730965	0.8808836	0.8641609	0.93117803	0.8711194	0.87133944	0.858454	0.8822236	0.8703075	0.8353472	0.86369914	0.85018617	0.90101427	0.8743203	0.87736505	0.8872133	0.87444425	0.9162902	0.8807828	0.9057877	0.8313881	0.87328565	0.91404676	0.8835832	0.87817526	0.90876305	0.8919558	0.8559925	0.8197857	0.86000764	0.8499592	0.7781016	0.8848236	0.9203827	0.9023724	0.92380244	0.8560371	0.7885407	0.932179	0.8592253	0.8708838	0.7903668	0.8752291	0.8699713	0.8380605	0.8468565	0.9003359	0.85847855	0.8423933	0.8949065	0.8105413	0.8914485	0.84908086	0.9037634	0.86912555	0.87456656	0.8647746	0.8594064	0.89686453	0.90485793	0.91649216	0.90328455	0.8906921	0.9348962	0.879133	0.84653735	0.9079676	0.8497988	0.9032682	0.87092197	0.89912254	0.88470113	0.90924245	0.85121715	0.90412194	0.87983793	0.9120791	0.8828218	0.839342	0.8636381	0.9188307	0.84652567
en/comp	0.9226879	0.887053	0.0	0.6762699	0.8844639	0.38706118	0.832188	0.8909355	0.89471745	0.93919796	0.86730033	0.504339	0.8722898	0.50230646	0.83982754	0.6186095	0.56166	0.884437	0.91785055	0.8815333	0.66234547	0.7910975	0.7244229	0.9218215	0.8251555	0.7221931	0.68908787	0.81540716	0.78858334	0.8234881	0.7851933	0.7875509	0.7566415	0.8338542	0.7261693	0.68835807	0.592825	0.9360382	0.8532625	0.7212832	0.87055486	0.75776744	0.89451194	0.9672543	0.38994586	0.7891337	0.82391936	0.5602585	0.9288618	0.82588434	0.91144603	0.8697723	0.84078217	0.9453736	0.62731695	0.8391279	0.5059266	0.78753525	0.52610415	0.8651186	0.9607746	0.636572	0.90654576	0.86137086	0.83628684	0.7634378	0.8561829	0.8982901	0.9080693	0.91323173	0.89565325	0.6424302	0.9364798	0.9001257	0.4481333	0.65373397	0.8696029	0.8327782	0.79970264	0.45582443	0.5368875	0.8607513	0.62611663	0.5434637	0.91574895	0.5681639	0.8548535	0.9043679	0.8179296	0.68309575	0.9103479	0.6662419	0.8539938	0.84978914	0.7899448	0.945052	0.8551469	0.79332423	0.90870464	0.69035256	0.84409887	0.79615915	0.9433805	0.51103663	0.7769172	0.3933847	0.90718275	0.93510455	0.8708509	0.51691365	0.8187486	0.50115585	0.86350197	0.5639012	0.51353085	0.49055928	0.9154256	0.76357704	0.8098213	0.63631517	0.88155115	0.5110401	0.87731385	0.9043696	0.6143317	0.5644907	0.62216365	0.61479914	0.8453237	0.8843132	0.87284213	0.9158943	0.7588891	0.73619103	0.85865384	0.53445375	0.9460865	0.5803989	0.6849064	0.6135999	0.86497176	0.9250581	0.84335154	0.9233998	0.7739782	0.9204002	0.9097027	0.6911958	0.9008417	0.96242285	0.7645189
alleen/adj	0.8065569	0.8319713	0.6762699	0.0	0.8798299	0.68259287	0.80528224	0.9138669	0.78154737	0.9351964	0.82093865	0.63403296	0.86938244	0.6656547	0.7629682	0.7013196	0.5999581	0.9122193	0.8794408	0.73967886	0.71063066	0.6854898	0.7337383	0.9050978	0.7675439	0.77128536	0.7128729	0.84917927	0.72468376	0.7765627	0.8394279	0.732468	0.6523521	0.8455004	0.60665905	0.7643763	0.7264876	0.92733157	0.80149347	0.82377404	0.785245	0.75682646	0.8197622	0.89170533	0.62947625	0.81567997	0.7931547	0.68350434	0.9314938	0.855493	0.77541625	0.81066763	0.78669256	0.84335065	0.73379374	0.81273484	0.6311734	0.697526	0.5624279	0.7708155	0.9095769	0.82509404	0.82684636	0.8766157	0.82636464	0.6105504	0.7491644	0.84322023	0.8226023	0.7680331	0.81572735	0.7069283	0.94238234	0.8262993	0.65310794	0.7091414	0.83378524	0.7496548	0.7000302	0.6859247	0.6188713	0.8361013	0.6779723	0.6978082	0.8958849	0.6878985	0.7942629	0.8551432	0.80790114	0.74535954	0.79260725	0.80664945	0.8108116	0.8226249	0.7867479	0.8198283	0.8820355	0.8375739	0.8206462	0.72264063	0.75795996	0.8438148	0.8686153	0.7335024	0.86660767	0.66051704	0.8150967	0.8967743	0.80919737	0.64443976	0.75822747	0.64888704	0.7495053	0.71562886	0.6820917	0.6630508	0.9191918	0.69537306	0.7942205	0.7078887	0.8951455	0.66835344	0.8750173	0.8234142	0.7996197	0.7160785	0.67692566	0.7555881	0.81483114	0.846086	0.87441504	0.8063098	0.7844068	0.7834519	0.80374134	0.7564972	0.8102841	0.7349646	0.67216134	0.71169335	0.7497107	0.84777546	0.7490134	0.8880156	0.7297216	0.92392516	0.8725402	0.7357534	0.8733536	0.9187111	0.73967123
carrière/noun	0.9171625	0.90807486	0.8844639	0.8798299	0.0	0.8895885	0.86969733	0.90875226	0.9182727	0.92087066	0.8759944	0.90930533	0.8840985	0.8867027	0.9231857	0.83970153	0.8790378	0.91651064	0.85635924	0.89139026	0.93863356	0.875854	0.8602007	0.86092234	0.8845668	0.85328174	0.92579585	0.8592976	0.87667894	0.87732184	0.88974655	0.9218901	0.84316194	0.9161453	0.86457574	0.9028849	0.869644	0.8930193	0.86067533	0.88823223	0.9292508	0.8961502	0.87115926	0.89574295	0.8702863	0.8777297	0.82127863	0.8854958	0.8702695	0.9175348	0.8342295	0.88144416	0.88190234	0.92832613	0.90802175	0.902425	0.85923326	0.89657867	0.90510195	0.79787403	0.91570204	0.85507494	0.9070189	0.92942464	0.8744315	0.88405824	0.82242656	0.90745586	0.8674707	0.92505705	0.9035663	0.87085116	0.92497927	0.9069097	0.8830944	0.9016645	0.90420973	0.903858	0.85978544	0.84896874	0.8885317	0.8749849	0.92477775	0.82953054	0.7840299	0.86951774	0.89148545	0.8639706	0.8329296	0.87481433	0.9163552	0.9385292	0.84050953	0.86926806	0.8434138	0.91979396	0.8297646	0.8847926	0.88065577	0.90227544	0.9169875	0.88037974	0.909904	0.8812117	0.8560001	0.8400663	0.9106665	0.9166229	0.9272893	0.8544034	0.86107266	0.89276105	0.8993635	0.89910394	0.88001674	0.8689953	0.85714173	0.90963775	0.7489617	0.79903466	0.84160745	0.8315151	0.926795	0.86867875	0.8802009	0.88800514	0.8893246	0.8559687	0.78581786	0.904508	0.88304	0.92616874	0.8837188	0.87959266	0.9274374	0.9085991	0.9352647	0.9095615	0.8761574	0.8828273	0.89494926	0.95292044	0.86937594	0.8892932	0.8620851	0.935585	0.89295596	0.8885269	0.9396684	0.9050342	0.89642215
dan/adv	0.9234808	0.8857089	0.38706118	0.68259287	0.8895885	0.0	0.7867417	0.92433256	0.86240435	0.9395176	0.88073826	0.51017857	0.8434295	0.53015935	0.84668255	0.6373116	0.59315205	0.88751745	0.93614334	0.852831	0.61713564	0.7164207	0.7002821	0.9181185	0.81043684	0.72129387	0.6859837	0.82659554	0.78574467	0.8072413	0.80521506	0.790804	0.6602398	0.7812665	0.68728137	0.74991107	0.6219796	0.90702784	0.83581936	0.76390904	0.86739445	0.7630676	0.9003631	0.93707997	0.39748144	0.71207833	0.8709178	0.5379234	0.93880016	0.81807184	0.8987728	0.88455206	0.81339294	0.8886962	0.6844717	0.7963784	0.48996627	0.8142014	0.5211723	0.8699119	0.93908143	0.5402019	0.90118295	0.873474	0.8661314	0.73995006	0.78869367	0.8624782	0.8975952	0.8526651	0.8919421	0.6836245	0.908211	0.8800409	0.35226166	0.68885654	0.87177217	0.822575	0.7487906	0.40093523	0.41190034	0.86363196	0.6237669	0.59403163	0.88361984	0.55919945	0.88081896	0.9035276	0.86349845	0.70523393	0.8794279	0.61433613	0.8598796	0.8699845	0.84738684	0.86493415	0.8710965	0.82282853	0.89747924	0.73157716	0.7991677	0.8156558	0.9275635	0.4803385	0.7607739	0.42111927	0.8724731	0.90572584	0.8523202	0.53779924	0.81397617	0.54058886	0.86041653	0.56001794	0.54406536	0.5132113	0.9241381	0.7541852	0.8652782	0.6218368	0.86120397	0.4732806	0.8525158	0.8821115	0.542644	0.56973433	0.61497307	0.6039834	0.8773936	0.86276406	0.8711581	0.9211376	0.75658333	0.70168275	0.85398495	0.58255655	0.90492654	0.600022	0.7222339	0.6272436	0.8151117	0.9040174	0.8558705	0.8941192	0.7870112	0.9170309	0.87844586	0.68563914	0.84179187	0.95612586	0.76527226
ver/adj	0.8866704	0.89801115	0.832188	0.80528224	0.86969733	0.7867417	0.0	0.9484288	0.8808954	0.94245815	0.9096338	0.8566647	0.83152014	0.80213296	0.87813884	0.85254854	0.8247628	0.8642742	0.928572	0.84825534	0.83033746	0.75051475	0.7820273	0.866516	0.8905949	0.8196867	0.8702346	0.90861535	0.8605468	0.8774591	0.84161973	0.81743443	0.70034325	0.8321392	0.8069787	0.93184745	0.85843533	0.9086925	0.876079	0.8950591	0.90524644	0.87714505	0.73296607	0.8713978	0.8192595	0.6778532	0.87399274	0.84852093	0.9429295	0.8925716	0.83191323	0.86020637	0.8029313	0.83380693	0.90730923	0.8917487	0.7762599	0.8530899	0.8251308	0.89609617	0.90254617	0.74553055	0.85695755	0.923137	0.91321844	0.74926275	0.7811061	0.87722623	0.8811707	0.8168606	0.8870074	0.8088253	0.927458	0.89646375	0.8206498	0.82798797	0.8813564	0.8720616	0.77586544	0.80615854	0.77825844	0.8417375	0.8388006	0.8591994	0.8880794	0.83010244	0.8570826	0.906624	0.88897145	0.85425556	0.8968582	0.8836048	0.8291054	0.83500063	0.84714365	0.835577	0.92866975	0.9227263	0.85386884	0.87115014	0.886904	0.8469436	0.8549704	0.8481573	0.74682295	0.8120823	0.8689649	0.8884303	0.8447504	0.80512184	0.86278516	0.83053005	0.8480487	0.8687275	0.873328	0.8651833	0.94933945	0.8523899	0.91394556	0.8023063	0.89957815	0.7274754	0.8538388	0.8598948	0.78420925	0.8620839	0.8318629	0.846787	0.8815778	0.84806514	0.8984991	0.91959256	0.86959493	0.7565862	0.87618047	0.8641722	0.83948374	0.8910815	0.83305204	0.8640711	0.8218833	0.8729303	0.8699209	0.8107236	0.86740494	0.95586056	0.8434596	0.8525395	0.8786756	0.93042624	0.8783213
Rineke/name	0.920394	0.91142476	0.8909355	0.9138669	0.90875226	0.92433256	0.9484288	0.0	0.919358	0.92008287	0.8672843	0.93023	0.95309424	0.93318975	0.9485356	0.9207051	0.8900487	0.9529797	0.89742357	0.9397348	0.95125455	0.9311105	0.9057437	0.8939893	0.9143907	0.9310178	0.9504915	0.8874749	0.91723055	0.9421069	0.9220131	0.92068887	0.90758026	0.92428094	0.8871751	0.92996204	0.89002067	0.9197805	0.90037686	0.8763719	0.91596264	0.90343654	0.9104733	0.9553297	0.8887214	0.92754835	0.9337539	0.90125287	0.8608211	0.9392214	0.9129785	0.92941916	0.8906934	0.9326024	0.90814245	0.9130914	0.87070596	0.9130431	0.93647534	0.9123351	0.94786686	0.9180182	0.9380947	0.9167584	0.88191223	0.90546316	0.91592205	0.9280014	0.94069535	0.9304657	0.9246362	0.90883833	0.954775	0.9015933	0.91401595	0.9159985	0.9202143	0.91156036	0.89518005	0.9083956	0.9392113	0.9178485	0.9463966	0.89549255	0.9264448	0.88630015	0.93803775	0.91220236	0.9082685	0.8798139	0.9455731	0.8966299	0.90237486	0.8841535	0.9078958	0.93491304	0.8693066	0.8663015	0.88632715	0.8946195	0.9384658	0.931106	0.94567436	0.91415614	0.920134	0.9124195	0.9191034	0.95719457	0.9427894	0.907595	0.9200478	0.9247004	0.9240307	0.9212609	0.9041185	0.9117454	0.86205494	0.91166216	0.91032475	0.88267696	0.90209347	0.9171801	0.9570024	0.92619634	0.9210156	0.8954892	0.9103246	0.93382514	0.89342594	0.9508532	0.9009577	0.93139595	0.9340003	0.93077475	0.9078106	0.9061793	0.92075527	0.9473644	0.90964794	0.9167523	0.91626185	0.9545806	0.8973386	0.9219265	0.8996483	0.92246693	0.92588574	0.9020381	0.93993586	0.928575	0.918626
aanschaf/noun	0.8707256	0.8617488	0.89471745	0.78154737	0.9182727	0.86240435	0.8808954	0.919358	0.0	0.93799156	0.87762094	0.87456715	0.8884689	0.8684181	0.88845015	0.8584177	0.8026242	0.8879647	0.91325134	0.741608	0.8353002	0.7221348	0.8033137	0.84691596	0.85784036	0.875622	0.90838647	0.92361176	0.7879213	0.8586874	0.88606066	0.83051765	0.77118945	0.80400157	0.80470896	0.91196567	0.8930273	0.9426162	0.8169886	0.9170809	0.7097039	0.8385331	0.855222	0.70877004	0.8481206	0.8503462	0.85492265	0.8592612	0.9511982	0.9100667	0.82594407	0.8510219	0.7697682	0.8191336	0.89831674	0.8745063	0.8337584	0.8225633	0.8804547	0.8571054	0.9294731	0.8961388	0.86256033	0.89787483	0.8928284	0.7034253	0.7974254	0.8689962	0.829018	0.73880243	0.8436896	0.88239986	0.9710476	0.8744903	0.8297775	0.8592546	0.80629563	0.84484017	0.74803436	0.8745014	0.7830558	0.8245195	0.9010457	0.87868494	0.89899147	0.8387867	0.8793205	0.9147424	0.8845175	0.87171805	0.8170593	0.90439427	0.75834453	0.8998463	0.8340204	0.82470167	0.93740505	0.8768155	0.83687866	0.83681476	0.72116256	0.86933184	0.9192867	0.8863553	0.91023785	0.89728636	0.8773672	0.9094739	0.7787984	0.8807598	0.82740736	0.8443872	0.8623373	0.8320018	0.88443905	0.8616166	0.95561457	0.8338619	0.8878552	0.871248	0.93776137	0.87486845	0.7698312	0.8376057	0.87047887	0.89261144	0.8779199	0.9285013	0.871589	0.85240436	0.90611935	0.81876576	0.8969494	0.85019696	0.79181767	0.8974415	0.77219754	0.90972644	0.8312767	0.8971096	0.813292	0.8248761	0.83779657	0.8752706	0.8767337	0.9359433	0.81255376	0.8630734	0.8540353	0.921375	0.6876924
C2/name	0.94203424	0.917659	0.93919796	0.9351964	0.92087066	0.9395176	0.94245815	0.92008287	0.93799156	0.0	0.93738693	0.94850385	0.9242582	0.9312634	0.9549236	0.9130354	0.9017267	0.945205	0.9215664	0.90942526	0.9690552	0.9317368	0.92426455	0.90470695	0.9568322	0.9099261	0.9608386	0.94440097	0.92853546	0.9659722	0.91976583	0.91906196	0.9313289	0.900409	0.9382337	0.9516724	0.92710924	0.8445179	0.90226126	0.93348396	0.9216072	0.93754107	0.92451847	0.94594353	0.9372842	0.926037	0.93389595	0.93824774	0.8845803	0.9295555	0.9323375	0.9329611	0.9212954	0.94468635	0.9484066	0.90482116	0.9286108	0.9451488	0.9371375	0.9286171	0.96154433	0.90449494	0.9383585	0.9292971	0.9301915	0.89474124	0.9300939	0.9062322	0.95841426	0.94982797	0.9418321	0.9285441	0.9012313	0.9663839	0.9425289	0.94406	0.940263	0.9519958	0.91338956	0.9270452	0.920135	0.93079996	0.95314693	0.9241072	0.9204448	0.92720914	0.95784056	0.9514992	0.93070614	0.94245845	0.958901	0.94150096	0.895582	0.94428676	0.92250466	0.93866116	0.9374204	0.92874515	0.9252297	0.93438977	0.93481785	0.93699515	0.9689212	0.93546987	0.9198177	0.9410379	0.9378737	0.925146	0.9409696	0.9146031	0.9433034	0.9467632	0.95273113	0.9318759	0.95024204	0.9421496	0.8878223	0.94755757	0.918208	0.92138886	0.89688724	0.9145169	0.91700727	0.94571555	0.9282876	0.9436845	0.92923075	0.912784	0.8802262	0.9436316	0.891693	0.9211293	0.95130324	0.93421674	0.9545633	0.9193274	0.9437293	0.9557537	0.90841603	0.94127035	0.9435384	0.9567898	0.9399307	0.9367458	0.9399632	0.9101802	0.93059146	0.9391252	0.922107	0.9558315	0.933988
